k	term	A	B
w0720	sold	למכור, מכר	מכר
w0723	sort	סוג, למיין	למיין
w0727	spicy	חריף, פיקנטי	פיקנטי
w0729	sponsor	נותן חסות	נותן חסות; לתת חסות
w0731	spray	תרסיס, לרסס, לפזר	לרסס, לפזר
w0736	storm	סערה	סערה; להסתער
w0741	such as	כמו למשל	כגון, כמו למשל
w0742	suggest	להציע	להציע; לרמז
w0750	tax	מס; למסות	מס
w0753	tiny	זעיר, קטנטן	קטנטן
w0754	tone	טון; נימה	טון
w0755	tour	סיור	סיור; לסייר
w0757	tower	מגדל	מגדל; להתנשא
w0761	treasure	אוצר, לנצור	אוצר, לנצור; להוקיר
w0762	triple	פי 3	פי 3; לשלש
w0770	unsafe	לא בטוח; מסוכן	לא בטוח
w0772	upgrade	שדרוג, לשדרג	לשדרג
w0773	use	תועלת, תכלית; לנצל; להשתמש	תועלת, תכלית; לנצל; להשתמש; שימוש
w0774	vacation	חופשה; לנפוש	חופשה
w0781	wave	גל; לנופף	גל
w0783	weight	משקל	משקל; חשיבות
w0787	wood	עץ; יער	עץ
w0788	worldwide	עולמי, כלל עולמי, בכל העולם	כלל עולמי, בכל העולם
w0790	zone	אזור; תחום	אזור
w0792	above all	מעל הכול, מעל לכל	מעל לכל
w0793	absurd	מגוחך, לא סביר	אבסורדי, מגוחך, לא סביר
w0796	according	לפי; על פי	לפי
w0797	across	מעבר ל, בצד השני, לרוחב	בצד השני, לרוחב
w0804	alarm	דאגה, להדאיג; אזעקה	דאגה, להדאיג; אזעקה; להבהיל
w0805	allow	להרשות	להרשות; לאפשר
w0808	as a result	כתוצאה	כתוצאה מכך, כתוצאה
w0810	attractive	נאה, מושך; אטרקטיבי	נאה, מושך
w0813	award	פרס, להעניק פרס; להעניק	פרס, להעניק פרס
w0814	badly	בצורה גרועה, רע; קשות, נואשות	בצורה גרועה, רע; קשות, נואשות; מאוד
w0819	beat	מקצב; מכה, להכות	לנצח, מקצב; מכה, להכות
w0825	blind	עיוור	עיוור; תריס
w0826	block	חסימה; לבנה, גוש, חלק	לחסום, חסימה; לבנה, גוש, חלק
w0833	capture	ללכוד; לכידה	ללכוד
w0835	carry	לשאת, לסחוב	לסחוב
w0843	cheer	לעודד	לעודד; קריאת עידוד
w0845	choice	בחירה; ברירה	בחירה
w0859	complex	מורכב, מסובך; מתחם	מסובך
w0864	content	תוכן; שביעות רצון	תוכן; שביעות רצון; מרוצה
w0865	core	ליבה	ליבה; מרכז
w0867	cost	מחיר, עלות; לעלות	מחיר, עלות
w0873	curious	סקרן; מוזר	סקרן
w0874	currently	כרגע, נכון לעכשיו	כרגע, נכון לעכשיו; כעת
w0876	daily	יומי, יומיומי; מדי יום	יומיומי
w0878	delay	עיכוב, לאחר, לדחות; לעכב	עיכוב, לאחר, לדחות
w0879	delivery	משלוח; לידה	משלוח
w0882	described	מתואר	לתאר, מתואר
w0884	deserve	להיות ראוי, מגיע (לו)	מגיע (לו)
w0886	destiny	גורל; ייעוד	גורל
w0889	device	מכשיר; אמצעי	מכשיר
w0891	disappear	להיעלם, להעלם	להעלם
w0895	display	להציג; תצוגה	להציג
w0898	dump	לשפוך	לזרוק, לשפוך; מזבלה
w0899	during	במהלך, תוך כדי, במשך	תוך כדי, במשך
w0903	education	השכלה	חינוך, השכלה
w0916	except	חוץ מ, מלבד, חוץ מ-	מלבד, חוץ מ-
w0917	except for	למעט	חוץ מ, למעט; פרט ל
w0918	exchange	להחליף, חלופה; חילופין	להחליף, חלופה
w0920	exercise	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית, תרגיל; להתאמן; לממש, ליישם
w0924	extraordinary	יוצא דופן, בלתי רגיל	בלתי רגיל
w0925	failure	כשלון	כישלון, כשלון; תקלה
w0927	farmer	חקלאי, חוואי; איכר	חוואי
w0929	fever	חום (של מחלה); קדחת	חום (של מחלה)
w0931	financial	כספי	כספי; פיננסי
w0935	flew	לטוס, עף	עף
w0936	flip	להפוך, לזרוק, להעיף; סלטה; להפוך צד	לזרוק, להעיף; סלטה; להפוך צד
