הדרן	הַדְרָן	בטוח
קיבורת	קִיבּוֹרֶת	בטוח
חשבונייה	חֶשְׁבּוֹנִייָּה	?
מהוקצע	מְהוּקְצָע	?
סייס	סַייָּס	בטוח
צביון	צִבְיוֹן	בטוח
מכורה	מְכוֹרָה	בטוח
אצטגנין	אִצְטַגְנִין	?
לודר	לוּדָר	?
קופיץ	קוֹפִיץ	בטוח
זרבובית	זַרְבּוּבִית	?
צפריר	צַפְרִיר	בטוח
מצודד	מְצוֹדֵד	בטוח
אפיל	אָפִיל	?
אסוך	אָסוּךְ	בטוח
אסל	אֵסֶל	?
צרי	צֳרִי	?
תרגימה	תַּרְגִּימָה	?
אבן שאין לה הופכין	אֶבֶן שֶׁאֵין לָהּ הוֹפְכִין	?
אור יקרות	אוֹר יְקָרוֹת	בטוח
חרב פיפיות	חֶרֶב פִּיפִיּוֹת	בטוח
לזות שפתיים	לְזוּת שְׂפָתַייִם	בטוח
סלע המחלוקת	סֶלַע הַמַּחֲלוֹקֶת	בטוח
שידוד מערכות	שִׁידּוּד מַעֲרָכוֹת	בטוח
סרח עודף	סֶרַח עוֹדֶף	בטוח
היינו הך	הַיְינוּ הָךְ	?
כיליון עיניים	כִּילְיוֹן עֵינַייִם	בטוח
לא יסולא בפז	לֹא יְסוּלָּא בְּפָז	?
קל רגליים	קַל רַגְלַייִם	בטוח
שעת כושר	שְׁעַת כּוֹשֶׁר	בטוח
עיר פרזות	עִיר פְּרָזוֹת	בטוח
נחל איתן	נַחַל אֵיתָן	בטוח
קירח מכאן ומכאן	קֵירֵחַ מִכָּאן וּמִכָּאן	בטוח
שוקת שבורה	שׁוֹקֶת שְׁבוּרָה	בטוח
עלה על שרטון	עָלָה עַל שִׁרְטוֹן	בטוח
לבטים	לְבָטִים	בטוח
לצמיתות	לִצְמִיתוּת	בטוח
גרידא	גְּרֵידָא	בטוח
בר מינן	בַּר מִינָּן	בטוח
כדבעי	כִּדְבָעֵי	?
אתרע מזלו	אִתְרַע מַזָּלוֹ	?
בוקי סריקי	בּוּקֵי סְרִיקֵי	?
בריש גלי	בְּרֵישׁ גַּלֵּי	?
אליבא ד	אַלִּיבָּא דְּ	?
שור	שׁוּר	בטוח
טס	טַס	בטוח
זוג	זוֹג	?
חלב	חֵלֶב	בטוח
גבר	גֶּבֶר	בטוח
מסה	מַסָּה	בטוח
כרוב	כְּרוּב	בטוח
יובל	יוֹבֵל	בטוח
ענק	עֲנָק	בטוח
אחשדרפן	אֲחַשְׁדַּרְפָּן	?
אחלמה	אַחְלָמָה	בטוח
מורסה	מוּרְסָה	?
רחת	רַחַת	בטוח
סודר	סוּדָר	בטוח
קבה	קֵבָה	בטוח
אפדן	אַפַּדָּן	?
כליב	כְּלִיב	בטוח
