q	item	score	unnatural	guess	unsure	adversarial
179	אקדמי#41	16	2	2	3	FAIL
193	מתקדם#47	15	2	2	2	FAIL
86	אקדמי#66	14	2	2	1	FAIL
1	אקדמי#67	11	1	1	3	FAIL
185	בסיס#22	11	2	0	2	FAIL
28	מתקדם#20	10	1	2	0	FAIL
53	מתקדם#37	10	0	2	3	FAIL
87	בסיס#20	10	2	0	3	WEAK
189	אקדמי#37	10	1	2	0	FAIL
70	אקדמי#18	9	2	0	0	FAIL
101	בינוני#34	9	1	0	3	FAIL
155	מתקדם#58	9	2	0	3	
177	בינוני#31	8	0	1	3	FAIL
20	אקדמי#27	7	2	0	1	
23	מתקדם#13	7	1	0	3	WEAK
52	מתקדם#36	7	0	2	0	FAIL
74	בינוני#11	7	2	0	0	WEAK
98	מתקדם#45	7	2	0	0	WEAK
128	מתקדם#9	7	0	2	0	FAIL
141	מתקדם#10	7	0	2	0	FAIL
169	אקדמי#57	7	0	2	0	FAIL
202	מתקדם#49	7	0	2	0	FAIL
10	אקדמי#17	6	0	1	1	FAIL
83	אקדמי#14	6	2	0	0	
93	אקדמי#30	6	2	0	0	
105	בסיס#8	6	1	0	0	FAIL
110	אקדמי#12	6	0	1	1	FAIL
122	בינוני#18	6	0	2	2	
129	בינוני#41	6	2	0	0	
136	בסיס#15	6	1	0	0	FAIL
158	בינוני#12	6	2	0	0	
165	בינוני#30	6	1	0	3	
196	מתקדם#55	6	2	0	0	
200	אקדמי#44	6	1	0	3	
204	בינוני#37	6	0	0	3	FAIL
45	אקדמי#5	5	0	1	0	FAIL
64	אקדמי#13	5	0	1	2	WEAK
73	אקדמי#60	5	0	1	0	FAIL
120	אקדמי#21	5	0	1	0	FAIL
161	אקדמי#32	5	0	2	0	WEAK
7	בינוני#25	4	1	0	0	WEAK
68	אקדמי#58	4	1	0	1	
95	אקדמי#40	4	1	0	0	WEAK
102	בינוני#6	4	0	2	0	
104	בינוני#8	4	0	0	3	WEAK
111	אקדמי#52	4	0	2	0	
143	מתקדם#5	4	1	0	0	WEAK
157	בסיס#10	4	0	0	1	FAIL
166	אקדמי#56	4	0	2	0	
190	מתקדם#30	4	1	0	1	
5	בסיס#1	3	0	0	0	FAIL
8	בסיס#6	3	0	0	0	FAIL
9	מתקדם#33	3	0	0	0	FAIL
11	בסיס#19	3	0	0	0	FAIL
13	בינוני#16	3	1	0	0	
18	אקדמי#24	3	0	0	0	FAIL
24	בינוני#29	3	0	0	0	FAIL
32	בסיס#14	3	0	0	0	FAIL
36	בסיס#5	3	0	0	0	FAIL
38	בסיס#17	3	0	0	0	FAIL
39	מתקדם#21	3	0	0	3	
41	מתקדם#59	3	0	0	0	FAIL
43	מתקדם#26	3	0	0	3	
47	אקדמי#47	3	0	1	1	
49	אקדמי#35	3	0	0	0	FAIL
59	מתקדם#42	3	0	0	3	
65	מתקדם#66	3	0	0	0	FAIL
66	אקדמי#49	3	0	0	3	
71	בסיס#7	3	0	0	0	FAIL
77	בסיס#18	3	0	0	0	FAIL
90	בסיס#16	3	0	0	0	FAIL
97	אקדמי#65	3	0	0	2	WEAK
100	מתקדם#11	3	0	0	0	FAIL
113	בסיס#12	3	0	0	0	FAIL
115	בסיס#2	3	0	0	0	FAIL
116	בסיס#13	3	0	0	0	FAIL
127	אקדמי#31	3	0	1	0	WEAK
130	בסיס#11	3	0	0	0	FAIL
133	אקדמי#33	3	0	0	3	
152	בינוני#13	3	0	0	3	
159	בינוני#10	3	0	0	0	FAIL
174	מתקדם#17	3	0	0	2	WEAK
175	אקדמי#4	3	0	1	0	WEAK
178	אקדמי#45	3	0	0	3	
180	מתקדם#22	3	0	0	3	
181	מתקדם#61	3	1	0	0	
188	אקדמי#38	3	1	0	0	
192	בסיס#21	3	0	0	0	FAIL
16	מתקדם#62	2	0	0	2	
27	מתקדם#65	2	0	0	2	
124	מתקדם#18	2	0	0	2	
146	אקדמי#9	2	0	0	1	WEAK
183	מתקדם#39	2	0	0	2	
194	מתקדם#38	2	0	1	0	
201	אקדמי#63	2	0	0	2	
2	מתקדם#67	1	0	0	0	WEAK
3	אקדמי#48	1	0	0	0	WEAK
4	מתקדם#51	1	0	0	0	WEAK
6	מתקדם#29	1	0	0	0	WEAK
14	בינוני#14	1	0	0	0	WEAK
15	בינוני#9	1	0	0	1	
17	אקדמי#61	1	0	0	1	
19	בינוני#42	1	0	0	0	WEAK
30	אקדמי#10	1	0	0	1	
51	אקדמי#23	1	0	0	0	WEAK
56	אקדמי#51	1	0	0	0	WEAK
69	אקדמי#20	1	0	0	0	WEAK
76	בסיס#3	1	0	0	0	WEAK
78	בינוני#45	1	0	0	1	
79	מתקדם#23	1	0	0	0	WEAK
80	מתקדם#52	1	0	0	1	
82	בינוני#38	1	0	0	0	WEAK
88	מתקדם#44	1	0	0	0	WEAK
94	אקדמי#68	1	0	0	0	WEAK
103	בינוני#24	1	0	0	1	
119	מתקדם#25	1	0	0	0	WEAK
123	בסיס#4	1	0	0	0	WEAK
125	מתקדם#56	1	0	0	0	WEAK
132	בינוני#21	1	0	0	1	
135	אקדמי#34	1	0	0	0	WEAK
153	אקדמי#39	1	0	0	0	WEAK
162	בינוני#1	1	0	0	0	WEAK
164	בינוני#40	1	0	0	1	
184	מתקדם#35	1	0	0	0	WEAK
187	אקדמי#42	1	0	0	1	
197	בינוני#36	1	0	0	0	WEAK
