1st - first	היא סיימה **ראשונה** במרוץ, לפני כולם.
2nd - second	היא התאמנה כל השנה והגיעה למקום **השני** במרוץ הגמר.
3rd - third	בפעם **השלישית** שהוא התקשר, היא ענתה לטלפון.
able	אחרי האימונים, הוא היה **מסוגל** להרים משקולות כבדות.
about	הפגישה תתחיל בעוד **בערך** שעה, אז תתכונן עכשיו.
absolutely	היא הייתה בטוחה **לחלוטין** בהחלטה שלה לעבור דירה.
after	**אחרי** שהסרט נגמר, הם יצאו לארוחת ערב.
again	הוא ניסה **שוב**, והפעם הוא סוף סוף הצליח לגמרי.
against	הקיר הישן עמד איתן **כנגד** הרוח החזקה.
agree	שני החברים סוף סוף **הסכימו** על הפתרון הטוב ביותר.
almost	הוא **כמעט** נפל מהסולם אבל הצליח להתאזן.
alone	היא ישבה **לבד** בספרייה הריקה וקראה בשקט.
also	היא משחקת כדורגל **וגם** משחקת כדורסל בסופי שבוע.
always	היא **תמיד** מגיעה בזמן לכל פגישה.
angry	הוא **כעס** כשביטלו את כל הטיול.
animal	**החיה** הקטנה רצה מהר על פני השדה הפתוח.
another	היא רוצה הזדמנות **נוספת** לתקן את הטעות שלה לפני המועד האחרון.
answer	הוא סוף סוף ידע את **התשובה** הנכונה לשאלה.
area	**באזור** מרכז העיר יש הרבה מסעדות וחנויות טובות בקרבת מקום.
army	**הצבא** נלחם קשה כדי להגן על כל המדינה.
around	הרבה אנשים התאספו **מסביב** למדורה החמה בחוץ הערב.
art	היא למדה **אמנות** מודרנית במכללה במשך ארבע שנים.
ask	הוא **ישאל** אותך אם תוכל לעזור לו בפרויקט.
at first	**בהתחלה** הוא חשב שזה קשה, אבל הוא השתפר מהר.
at least	כדאי שתחזור על החומר **לפחות** שעתיים בכל ערב.
attack	הכלב עלול **לתקוף** אם הוא מרגיש מאוים מאוד.
because	נשארתי בבית **כי** הייתי חולה מאוד אתמול.
because of	המשחק בוטל **בגלל** גשם כבד אתמול.
before	היא עזבה את המסיבה מוקדם, **לפני** שכל האורחים הגיעו.
beginning	**תחילת** החורף מביאה כאן מזג אוויר קר מאוד.
behind	הבית הישן עמד **מאחורי** עצים גבוהים מאוד.
best	זו מסעדת הפיצה **הכי טובה** בעיר.
better	הספר הזה הרבה יותר **טוב** מהקודם.
between	הבחירה היא **בין** תה חם לקפה קר.
blood	**דם** זורם ללא הפסקה בוורידים שלך כל היום.
boat	הוא חתר **בסירה** הקטנה על פני האגם אתמול.
body	החוקרים בדקו בקפידה את **הגווייה** כדי לגלות את סיבת המוות.
bought	היא **קנתה** מכונית חדשה אתמול אצל הסוחר.
brain	**המוח** שלך שולט בכל מה שאתה עושה וחושב מדי יום.
break	אל **תשבור** את הכוס, אחרת אני אכעס.
building	**הבניין** גבוה מאוד ועשוי מפלדה.
burn	הנר **יישרף** לאט כל הלילה הערב.
but	אני אוהב קפה **אבל** אני לא אוהב תה.
by	היא עמדה **ליד** החלון וצפתה בגשם יורד.
call	אני **אתקשר** אליך מחר בבוקר כדי לדבר על התוכנית החדשה.
