01102ad824	מגונדר
021181b2e9	חולק קלפים
0334c11568	אביזר
0452796f9b	גיליון ציונים
049577b4e5	למטה
079f5db045	לעסוק ב
0c4dc5cac0	תדיר
0cec83dba1	להתיר
0db2ddba84	להתייחס
0e1fef4458	פרק זמן
0ee39ce617	להתגלות
141291ca89	אזור
169bb194f3	רגע של שכחה
1736098822	סכנה
1b1fba1da7	להקים
1bce78dc18	לתכנן
1f2d837b52	לפזר
1f8314d59a	לדעת
1f866fdbf7	להשליך
200e27920c	להרכיב
20b2da145a	למנוע
21f0d1c0e3	בוגר
229225e2fa	מחוז
241ac666e2	לשכנע שלא לעשות משהו
25d4841001	לסדר
25d5518ee0	לבזבז
27d0bef495	לגשש
2ad359b5fe	רצון
2c93c68f3e	להיפרש
2d8f762fa4	מעגל
2dbb582307	להזדהות
31b479c493	שעה
31d19c8c92	מצוקה
33b7124f96	לארגן
35173c0d92	להתרחש בעקבות
37a59498c6	לאסוף
398cea8c93	לעשות
3ab0379a0d	דחף
3bcc1f10e6	לחטט
3ff5541b05	להכיר
408aeabf82	למשול
485e6ceb53	תשוקה
49ff6396c9	להפוך
4c30c5d862	להיעדר
4df076fe46	להחזיק
50db233019	לרעות
51a4ff52ff	לאבד
5261c7b5da	להסתמך
55775472a9	לגמור
559f9394f1	להעדיף
5756f2e2a0	פרוטוקול
59fe7f3cf2	רישיון
5ab4ab2e56	כנראה
5ac9b95f1e	לחזור
5acb5bbf0b	ממשי
62ec4571b1	להרשות
649bce3a44	סיבוב
6f6f70b809	ניירת
70a699acf9	לבחון
721d2a182e	לעודד
74f59137f0	לזמן
76f3b4f1f7	מורד
7803d83c5d	מיזם
7ae3ee9bda	להיפתח
85cad1c046	לא פחות
87d0f8c8a2	תכופות
905807ac73	לקבוע
91171182f5	לחבב
91773e66d7	להדחיק
91f24ca112	להקיף בעיגול
94231d12e2	לפתוח קיפול
947f06be9e	לדחוף
969d7aca65	להרתיע
9bb788e4ff	הקרות משהו שקורה
9e2b5e09ef	פקיעה
9eb8651b73	דוחק
a04988fd87	להתחולל
a0c7cc947e	רבים כמו מספר גדול
a103365068	לטפל
a2e063a80b	לברר
a34f5645cf	לשנות צורה
a54217ce1f	הפסקה
a86b1e65b0	מעידה
ad88ad9236	רעף
aec19426c1	סיום
b1b35ca381	להקרין
b502076823	להוציא
b923f6e53c	התמרמרות
baf05ea061	לבוא כתוצאה
bb7d12fcf8	להכניס מישהו לרשימה
bc99b240e8	לעכב
bd64f37fb7	סיבוך
bd7958f379	זמן
c079b39b28	משי
c3eeefa85f	אישור
c6bb8c26a9	לצבור
c80a8283c7	לתמוך
c9c3beb462	להיחשף
ca57d40e9c	להכין
cab4422011	לחכות
cc07dd04bf	טרוניה
cdd9a5b188	להיקבע
cea52b3c87	להפסיק
d0816e8fd4	לעצור
d238ae68c6	תלונה
d6a5018f33	המתנה
d6d36e428d	פליטת פה
d857bb4ec9	לקרות שוב
da15612706	לכנס
da4b9080a0	ידע
dae301bc43	להוסיף
ddf15d5b90	חג
e05c9b5b02	שווה
e209d6fcf4	פרץ
e21d1c38e3	לעורר
e664a46d9d	להסתבר
e665cf0f12	כמות
e667d6be75	מקביל
e6bf5c591a	ליישר
e89b6c6131	חסר
ef49559862	תמיכה
f0b9e7ce7b	תמליל
f0c769e0d7	פרוייקט
f37f56a33c	תפנית
f3cd04c0f4	לוח
f477a9f40a	לא נוכח
f5a0a94126	להסתדר בשורה
f6e65fc9dd	תדירות
f993bebbd1	שכיח
fb7958fe7d	עדר
fc14c4e2f6	צרה
ff34dcd5ef	להפסיד
