w3787	רווחי	משתלם	-
w0889	מכשיר	אמצעי	תחבולה
w2870	להתעלם	זלזול	-
w3044	לצבוט	קורט	לגנוב
w3542	פסוק	בית	שירה
w1564	דעה	נוף	לצפות
w3258	גס	גולמי	-
w0058	נקי	לנקות	-
w1991	אנלוגיה	הקבלה	-
w0818	זקן	-	-
w3079	שארית	יתרה	-
w2529	לברוח	להימלט	-
w0096	כל יום	מדי יום	-
w0226	להציע	הצעה	מבצע
w3785	שושלת	מוצא	-
w1700	תקן כפול	-	-
w2464	ניב	-	-
w2834	רציפות	המשכיות	-
w1246	ראשי	מנהיג	-
w0301	פשוט	תמים	-
w3098	הגיוני	נבון	-
w2280	באופן קיצוני	מהיסוד	-
w3162	שפע	-	-
w2750	עירוני	-	-
w2204	מפואר	נהדר	-
w1671	מלאכה	אומנות	לעצב
w0880	מחלקה	אגף	-
w1503	משמעותית	באופן ניכר	-
w2866	חרפה	קלון	-
w0817	קרב	להילחם	-
w2493	דגש	-	-
w1382	מעבדה	-	-
w3191	לכאורה	כנראה	-
w0810	מושך	אטרקטיבי	יפה
w2491	לבחור	-	-
w2001	להתווכח	לטעון	-
w2244	איבר	עוגב	-
w0049	להתקשר	לקרוא	שיחה
w1900	מחסה	מקלט	-
w3276	הבדל	שוני	-
w0466	קומי	קומיקס	-
w0844	ילדות	-	-
w2005	ככל ש	-	-
w2193	להכשיר	להסדיר	-
w2413	קו חוף	חוף	-
w0689	טבעת	לצלצל	-
w3532	לערער	לחתור תחת	-
w0902	עורך	-	-
w0211	חייב	צריך	הכרח
w0239	לעבור	להעביר	מסירה
w1696	רחוק	מנוכר	-
w1686	לדרוש	דרישה	ביקוש
w2325	להמם	לזעזע	-
w1012	שיטה	דרך	-
w2518	חשיפה	-	-
w3350	אסור	בלתי חוקי	-
w3895	בדידות	התבודדות	-
w1536	ציר זמן	לוח זמנים	-
w3794	תפיסה מוטעית	אי הבנה	-
w0823	לידה	מוצא	-
w1135	כוח	עוצמה	חוזק
w3871	מתאים	פרטני	-
w1990	שאיפה	שאפתנות	-
w3063	מחוז	תחום	-
w2239	מדי פעם	לפעמים	-
w2639	דיוק	-	-
w1919	דביק	בעייתי	-
w0041	שניהם	-	-
w3150	צפע	-	-
w1171	לא רגיל	יוצא דופן	-
w1322	חיצוני	-	-
w3372	מתווך	-	-
w1243	בטוח	מסוים	-
w3722	מבשר	קודם	-
w3441	עני	מרוד	-
w3236	סופית	חד משמעית	-
w1367	בפרט	במיוחד	-
w0990	בלתי נראה	סמוי	-
w1058	גאווה	להקה	-
w0282	כביש	דרך	-
w3860	הדדי	-	-
w0118	לעקוב	להבין	-
w1737	מפחיד	-	-
w0665	חזק	רב עוצמה	משפיע
w3283	להפריך	-	-
w2322	קיטור	אדים	לאדות
w2271	קודם	לפני	-
w1747	לברך	לקדם פנים	-
w3480	חידה	לנקב	-
w3886	תכריך	לאפוף	-
w1427	צייר	צבע	-
w3641	להחשיב	-	-
w0663	טייס	ניסיוני	להטיס
w0068	קריר	מגניב	קר רוח
w2921	מבט	להעיף מבט	-
w2804	כלי דם	-	-
w3336	אדיב	נדיב	-
w2936	עדר	-	-
w2506	להעריך	לשפוט	-
w2270	טרף	לטרוף	-
w2433	עקבי	תואם	-
w1656	להתרכז	תרכיז	-
w2706	גורד שחקים	-	-
w1894	בטוח	לאבטח	להשיג
w2602	רפואי	-	-
w3388	אוריינות	-	-
w3234	להסתיר	להעלים	-
w2784	להתחלף	חלופי	-
w1056	למנוע	-	-
w3299	לחקות	-	-
w1516	אחסון	מחסן	-
w2660	לשחזר	לבנות מחדש	-
w2836	שנוי במחלוקת	-	-
w2826	לנהל	התנהגות	להוליך
w3379	השקיה	-	-
w3517	הבא	מאוחר יותר	-
w3594	מבולבל	נבוך	-
w0037	בין	-	-
w0183	פחות	-	-
w3352	להאיר	להבהיר	-
w3628	עיצור	-	-
w1820	מקור	מוצא	-
w2021	מקראי	תנכי	-
w2543	קבר	חמור	-
w1489	זרע	-	-
w1549	לאחד	להתאחד	-
w3597	תפל	משעמם	-
w1232	כדור	תבליט	-
w2302	המשך	-	-
w3346	יורש	-	-
w0613	חבר	-	-
w3409	עם זאת	בכל זאת	-
w1091	כתב	עיתונאי	-
w0242	שלום	שקט	-
w0707	צורה	לעצב	-
w0801	הרפתקה	-	-
w2980	גפה	איבר	-
w3473	שלטון	למלוך	-
w3486	מקלט	מקדש	שמורה
w0280	נכון	זכות	ימין
w2915	ניחוח	בושם	-
w2759	מסע	הפלגה	-
w2213	אנדרטה	הנצחה	-
w2719	פרוור	-	-
w2455	לעוות	לסלף	-
w1951	לא בטוח	מסופק	-
w3882	לבחון	לבדוק בקפידה	-
w0020	אזור	תחום	שטח
w0065	קשר	ליצור קשר	איש קשר
w0254	בריכה	מאגר	לאגד
