q	src	answer
1	aca6#1	A
2	aca6#2	B
3	aca6#3	A
4	aca6#4	B
5	aca6#5	B
6	aca6#6	C
7	aca6#7	A
8	aca6#8	A
9	aca6#9	D
10	aca6#10	A
11	aca6#11	A
12	aca6#12	B
13	aca6#13	A
14	aca6#14	D
15	aca6#15	C
16	aca6#16	C
17	aca6#17	B
18	aca6#18	C
19	aca6#19	D
20	aca6#20	D
21	aca6#21	C
22	aca6#22	D
23	aca6#23	A
24	aca6#24	B
25	aca6#25	C
26	aca6#26	A
27	aca6#27	A
28	aca7#1	D
29	aca7#2	D
30	aca7#3	C
31	aca7#4	A
32	aca7#5	B
33	aca7#6	D
34	aca7#7	C
35	aca7#8	B
36	aca7#9	C
37	aca7#10	A
38	aca7#11	B
39	aca7#12	B
40	aca7#13	D
41	aca7#14	D
42	aca7#15	A
43	aca7#16	B
44	aca7#17	C
45	aca7#18	A
46	aca7#19	D
47	aca7#20	D
48	aca7#21	A
49	aca7#22	A
50	aca7#23	B
51	aca7#24	D
52	aca7#25	B
53	aca7#26	B
54	aca7#27	B
55	aca8#1	D
56	aca8#2	B
57	aca8#3	C
58	aca8#4	A
59	aca8#5	C
60	aca8#6	D
61	aca8#7	D
62	aca8#8	A
63	aca8#9	B
64	aca8#10	B
65	aca8#11	A
66	aca8#12	D
67	aca8#13	A
68	aca8#14	B
69	aca8#15	D
70	aca8#16	C
71	aca8#17	B
72	aca8#18	B
73	aca8#19	B
74	aca8#20	A
75	aca8#21	C
76	aca8#22	D
77	aca8#23	B
78	aca8#24	D
79	aca8#25	C
80	aca8#26	D
81	aca8#27	C
82	adv6#1	A
83	adv6#2	D
84	adv6#3	B
85	adv6#4	B
86	adv6#5	C
87	adv6#6	A
88	adv6#7	D
89	adv6#8	D
90	adv6#9	D
91	adv6#10	D
92	adv6#11	C
93	adv6#12	A
94	adv6#13	D
95	adv6#14	D
96	adv6#15	B
97	adv6#16	A
98	adv6#17	D
99	adv6#18	B
100	adv6#19	D
101	adv6#20	A
102	adv6#21	C
103	adv6#22	A
104	adv6#23	D
105	adv6#24	A
106	adv6#25	C
107	adv6#26	B
108	adv6#27	C
109	adv6#28	C
110	adv7#1	A
111	adv7#2	A
112	adv7#3	C
113	adv7#4	A
114	adv7#5	A
115	adv7#6	C
116	adv7#7	C
117	adv7#8	A
118	adv7#9	D
119	adv7#10	B
120	adv7#11	B
121	adv7#12	B
122	adv7#13	C
123	adv7#14	B
124	adv7#15	A
125	adv7#16	B
126	adv7#17	C
127	adv7#18	C
128	adv7#19	C
129	adv7#20	A
130	adv7#21	D
131	adv7#22	C
132	adv7#23	A
133	adv7#24	C
134	adv7#25	C
135	adv7#26	D
136	adv7#27	A
137	adv8#1	C
138	adv8#2	D
139	adv8#3	D
140	adv8#4	B
141	adv8#5	B
142	adv8#6	D
143	adv8#7	B
144	adv8#8	B
145	adv8#9	D
146	adv8#10	B
147	adv8#11	D
148	adv8#12	D
149	adv8#13	D
150	adv8#14	B
151	adv8#15	D
152	adv8#16	C
153	adv8#17	D
154	adv8#18	D
155	adv8#19	A
156	adv8#20	D
157	adv8#21	A
158	adv8#22	D
159	adv8#23	C
160	adv8#24	D
161	adv8#25	B
162	adv8#26	A
163	adv8#27	B
164	base4#1	A
165	base4#2	D
166	base4#3	D
167	base4#4	A
168	base4#5	D
169	base4#6	C
170	base4#7	A
171	base4#8	D
172	base4#9	C
173	base4#10	A
174	base4#11	C
175	base4#12	B
176	base4#13	B
177	base4#14	C
178	base4#15	D
179	base4#16	D
180	base4#17	C
181	base4#18	A
182	base4#19	C
183	base4#20	D
184	base4#21	C
185	base4#22	D
186	base4#23	C
187	base4#24	C
188	base4#25	C
189	base4#26	A
190	base4#27	C
191	base4#28	A
192	mid5#1	C
193	mid5#2	C
194	mid5#3	C
195	mid5#4	A
196	mid5#5	D
197	mid5#6	B
198	mid5#7	D
199	mid5#8	B
200	mid5#9	A
201	mid5#10	A
202	mid5#11	B
203	mid5#12	C
204	mid5#13	B
205	mid5#14	A
206	mid5#15	D
207	mid5#16	B
208	mid5#17	B
209	mid5#18	D
210	mid5#19	B
211	mid5#20	C
212	mid5#21	D
213	mid5#22	A
214	mid5#23	D
215	mid5#24	B
216	mid5#25	B
217	mid5#26	D
218	mid5#27	A
219	mid5#28	A
220	mid6#1	C
221	mid6#2	A
222	mid6#3	C
223	mid6#4	C
224	mid6#5	C
225	mid6#6	C
226	mid6#7	C
227	mid6#8	A
228	mid6#9	D
229	mid6#10	C
230	mid6#11	B
231	mid6#12	C
232	mid6#13	B
233	mid6#14	B
234	mid6#15	D
235	mid6#16	C
236	mid6#17	A
237	mid6#18	A
238	mid6#19	B
239	mid6#20	D
240	mid6#21	B
241	mid6#22	C
242	mid6#23	D
243	mid6#24	C
244	mid6#25	B
245	mid6#26	C
246	mid6#27	D
