w3819	לשפץ	שיפוץ	רפורמה
w2257	פיזיקאי	-	-
w1534	למרות ש	בכל זאת	-
w3554	רוח	ללפף	לפתל
w2132	לשעבר	קודם	-
w2117	לחשוף	-	-
w2321	יציב	קבוע	-
w1805	טועה	שגוי	-
w2015	אמונה	דעה	-
w2650	תלמיד	אישון	-
w1634	שיח	-	-
w0081	שונה מ	-	-
w0413	חייזר	זר	נוכרי
w3507	לקפוץ	לנבוע	לצוץ
w0739	דברים	למלא	לדחוס
w2803	להיזהר	-	-
w0693	תפקיד	-	-
w3774	משונן	מחוספס	-
w3316	סחיטה	-	-
w0761	אוצר	להוקיר	-
w2315	להתמחות	-	-
w3805	להזין	לטפח	-
w0722	לפתור	-	-
w3296	הופעה	התהוות	-
w0471	נכון	לתקן	-
w1433	דואר	משרה	עמוד
w1337	פולקלור	מסורת עממית	-
w2865	לייאש	להניא	-
w3049	שופע	רב	-
w1640	קופאי	-	-
w1359	קרן	צופר	-
w1902	להתכווץ	פסיכיאטר	-
w2332	מקדש	רקה	-
w2849	להתמודד	לטפל	לחלק
w1494	ביטחון עצמי	-	-
w0589	סוג	אדיב	נחמד
w1922	קפדני	נוקשה	-
w0743	התאבדות	-	-
w2368	לסגת	למשוך	לפרוש
w1043	רשות	אישור	-
w2900	נרחב	מקיף	-
w1293	לתרום	-	-
w0197	פגישה	ישיבה	-
w3593	למנוע	להסיט	-
w3444	מנבא	תחזיתי	-
w1111	רגיש	-	-
w1273	יוצר	בורא	-
w0958	כביש מהיר	-	-
w2324	להכות	שביתה	לפגוע
w1975	לעטוף	-	-
w0116	לתקן	פתרון	-
w0652	שביל	נתיב	-
w1202	עתיק	קדום	-
w3553	ערבה	שממה	-
w1738	דלק	לתדלק	-
w2707	טבח	שחיטה	לטבוח
w3132	לסבול	להשלים עם	-
w0993	מטבח	-	-
w2929	לנהום	-	-
w1788	עור	-	-
w1332	בדיון	ספרות בדיונית	-
w2087	ביתי	מקומי	-
w1142	להיכנע	כניעה	-
w0059	לסגור	קרוב	-
w0541	בשביל	עבור	כי
w0635	אובססיה	שיגעון	-
w2307	לפשט	-	-
w2440	להתמודד	-	-
w1611	מביך	מסורבל	-
w2395	להקצות	להטיל	-
w1456	סופת גשמים	-	-
w1352	מפואר	נהדר	-
w0631	עיתון	-	-
w1470	ג'ינג'י	-	-
w2647	יחס	פרופורציה	חלק
w1557	עמק	-	-
w1055	בהריון	הרה	-
w3643	שיקול דעת	דיון	-
w3766	מולד	-	-
w3745	לשים לב	תשומת לב	-
w3529	עצום	אדיר	-
w1264	ניגוד	לעמת	-
w2538	לשלוט	לנהל	-
w1239	לא רשמי	אגבי	מזדמן
w3545	מידה טובה	סגולה	-
w2044	לקרוס	להתמוטט	קריסה
w1320	נפיץ	חומר נפץ	-
w0836	טירה	מצודה	-
w1909	רוחני	-	-
w0502	דרסטי	קיצוני	-
w2074	לרדת	להפחית	ירידה
w1722	הוצאה	-	-
w0379	איזה	אשר	-
w3170	סמוך ל	גובל ב	-
w2576	להתערב	להפריע	-
w1832	לצמיתות	לתמיד	-
w1162	להוביל	תחבורה	שינוע
w1732	שיטפון	להציף	-
w3468	מיתון	נסיגה	-
w3533	ליזום	להתחייב	-
w1462	רציונלי	הגיוני	-
w2757	אפוד	גופייה	-
w1218	להימנע	-	-
w0195	אולי	-	-
w0819	לנצח	להכות	קצב
w3380	כד	קנקן	-
w3263	להטעות	לרמות	-
w3193	תיבה	ארון	-
w3731	חסר תועלת	עקר	-
w3495	סייסמי	-	-
w3687	לחמוק	-	-
w3748	תורשה	-	-
w1840	דיוקן	-	-
w2462	סוכרת	-	-
w3348	צביעות	-	-
w3292	מגורים	בית	-
w0014	תמיד	-	-
w2454	ברור	ודאי	-
w0142	לב	-	-
w3405	כלומר	דהיינו	-
w3874	התעוררות מחדש	תחייה	-
w2219	לחדש	לעדכן	-
w1804	משני	קטין	זניח
w2981	ספרותי	-	-
w3416	מיושן	-	-
w2432	שיקול	התחשבות	-
w1620	להב	-	-
w2942	עוינות	-	-
w3273	בצפיפות	-	-
w1555	על	-	-
w2816	חדר	לשכה	-
w1796	ריאה	-	-
w1064	רווח	להרוויח	-
w1939	עבה	סמיך	-
w2697	מלומד	חוקר	-
w0371	מלחמה	-	-
w3665	לפחות	להקטין	-
w3522	לסחוף	-	-
w3187	מנגנון	מכשיר	-
w1123	נשמה	נפש	-
w0949	מושל	-	-
w2308	לדמות	לחקות	-
w0182	שמאל	לעזוב	-
w0679	לקבל	-	-
w1018	תעלומה	מסתורין	-
w1724	ביטוי	הבעה	-
w2932	בקושי	-	-
w1710	לבדר	לשעשע	-
w3012	לא... ולא...	-	-
w3789	ימי	-	-
