w3383	ככ	הלבנת הון וכביסה — שני המובנים
w3813	כלכ	לערוך לבדו כללי מדי
w3886	לככ	עטיפה כללית; תכריך ולאפוף מרכזיים
w2820	ככ	שתי הצורות אותו מובן יחיד
w3492	לככ	משכך הוא נגד כאבים
w2442	ככ	מובן מילולי ומובן מושאל
w3516	כלכל	חזק ויציב הם מילים אחרות
w2997	כלכ	מתון חופף לקל
w3839	לכ	יידוע חסר בצורה הראשונה
w3514	כלכלל	מכה נדיר; ללטף וכפל שבץ
w3554	ככלל	למתוח ולפתל מובנים משניים
w3672	כלכ	להשמיץ הוא הוצאת דיבה
w2654	לככ	רעד לבדו אינו רעידת אדמה
w3444	ככל	תחזיתי שייך לתחזית
w3930	ככל	תהפוכה שלישית בתדירות
w3615	ככ	מתואם ומשותף שניהם מרכזיים
w2748	ככל	לא מוסרי חופף ללא קדוש
w3508	ככ	שני תרגומים תקניים למובן אחד
w2618	כלכ	פוגע אינו תרגום מקובל
w3370	ככ	חקירה ובירור שני מובנים
w3637	כל	עבר מול שם פועל
w3520	ככ	יורש ומחליף שניהם רווחים
w3523	ככ	אוהד ומבין שני המובנים
w3166	ככ	שני תרגומים רווחים למובן אחד
w2597	לככ	ייצר הוא נטיית עבר
w2627	כל	מידי כתיב שגוי
w2974	ככ	שרת ואב בית רווחים
w3797	כלכל	עגום נגזרת; זעוף משני
w3850	כלכ	הביא לידי חופף ללגרום
w2479	ככל	התפלגות מובן סטטיסטי צר
w3902	כללללכל	השאר משניים או נדירים
w3627	ככל	סברה חופפת להשערה
w2694	ככל	הגנה נגזרת מלהגן
w3202	ככל	לחזק הוא מילה אחרת
w2535	ללככ	תואר ופועל; שכיח ותדיר חופפים
w2531	ככ	שם עצם ותואר, שניהם רווחים
w3731	ככלל	עקר ונטול סיכוי משניים
w3300	ככ	גיוס אחרים והתגייסות עצמית
w3706	ככ	שני תרגומים תקניים
w3481	ככ	שם עצם ופועל בשימוש רווח
w3417	ככ	פועל ושם עצם, שניהם רווחים
w2906	ללככלללל	קנס ומשובח; השאר חופפים
w2757	ככל	אפוד צורת זכר של אפודה
w2799	ללככ	עירום חזק מדי; לחשוף משני
w3193	ככ	תיבת נוח וארון הברית
w3879	לככל	כפילות קשקשים; סולם מוזיקלי
w3745	ככ	שם עצם ופועל, שניהם רווחים
w3755	לככ	לסבך פחות מדויק
