1st - first	היא סיימה **ראשונה** במרוץ, לפני כולם.
after	**אחרי** שהסרט נגמר, הם יצאו לארוחת ערב.
agree	שני החברים סוף סוף **הסכימו** על הפתרון הטוב ביותר.
also	היא משחקת כדורגל **וגם** משחקת כדורסל בסופי שבוע.
another	היא רוצה הזדמנות **נוספת** לתקן את הטעות שלה לפני המועד האחרון.
as	**כשהיא** נכנסה לחדר, כולם הסתובבו.
ask	הוא **ישאל** אותך אם תוכל לעזור לו בפרויקט.
at	היא הייתה **בסופר** וקנתה אוכל טרי.
because	נשארתי בבית **כי** הייתי חולה מאוד אתמול.
before	היא עזבה את המסיבה מוקדם, **לפני** שכל האורחים הגיעו.
beginning	**תחילת** החורף מביאה כאן מזג אוויר קר מאוד.
between	הבחירה היא **בין** תה חם לקפה קר.
body	החוקרים בדקו בקפידה את **הגווייה** כדי לגלות את סיבת המוות.
both	**שני** הילדים אוהבים לשחק בחוץ ביחד כל אחר צהריים.
bought	היא **קנתה** מכונית חדשה אתמול אצל הסוחר.
break	אל **תשבור** את הכוס, אחרת אני אכעס.
but	אני אוהב קפה **אבל** אני לא אוהב תה.
call	אני **אתקשר** אליך מחר בבוקר כדי לדבר על התוכנית החדשה.
cash	הוא **יפדה** את הצ'ק בבנק מחר.
check	היא **תבדוק** את כל המסמך לפני שהיא תגיש אותו.
color	היא **תצבע** את התמונה בעפרונות ירוקים וצהובים בהירים.
continue	היא **תמשיך** לקרוא את הספר אחרי ארוחת הערב הלילה.
cool	היא **תצנן** את המרק לפני שהיא תיתן אותו לתינוק.
dance	היא **תרקוד** כל הלילה במסיבה.
daughter	**הבת** שלו חכמה וטובת לב, והיא אוהבת לקרוא.
death	אחרי **מותו** של סבא שלו, המשפחה התכנסה כדי להנציח אותו.
die	הצמח **ימות** אם תשכח להשקות אותו.
dirty	אחרי שהוא שיחק בבוץ, הבגדים שלו היו **מלוכלכים** מאוד.
down	הוא צעד לאט **במורד** המסדרון הארוך לכיוון המשרד.
dream	היא **חולמת** לטייל בעולם יום אחד.
drink	אני תמיד **שותה** כוס גדולה של מים מיד כשאני מתעורר, בכל בוקר.
enjoy	אנחנו **נהנים** לבלות זמן עם המשפחה שלנו בסופי שבוע.
even if	אני אלך לים **גם אם** ירד גשם מחר.
evening	היא אוהבת לצאת להליכה **בערב** אחרי ארוחת הערב.
explain	המורה **יסביר** לכיתה את בעיית החשבון.
feel	אני **מרגיש** שמח כשאני מבלה עם החבר הכי טוב שלי.
fight, fought	היא **נאבקה** קשה כדי להישאר ערה במהלך ההרצאה הארוכה אחר הצהריים.
fire	**האש** בערה בעוצמה באח כל הלילה.
from	המכתב הגיע **מסבתא** שלי במדינה אחרת.
hand	הוא החזיק את **היד** שלה בזמן שהם הלכו ברחוב.
heart	אהבה באה **מהלב** ואי אפשר לכפות אותה.
hot	תיזהר כי המים **חמים** מאוד עכשיו.
how	**איך** הצלחת לסיים את הפרויקט כל כך מהר?
human being	כל **בן אדם** ראוי לכבוד ולטוב לב מאחרים.
If	**אם** ירד גשם מחר, נבטל את האירוע בחוץ.
in	המפתחות נמצאים **במגירה** ליד המיטה שלי.
inside	הלכנו **לתוך** המוזיאון וראינו פסלים עתיקים.
island	בילינו את החופשה **באי** קטן בים התיכון.
know, knew	**הכרתי** אותה מהקולג' אבל איבדנו קשר לפני שנים.
large	הדירה הזאת **גדולה** מספיק למשפחה הגדלה שלנו.
laugh	מופע הקומדיה היה כל כך מצחיק שהקהל **צחק** בקול רם.
like	הציורים שלה הם **כמו** אלה שבאוסף המוזיאון.
made	היא **הכינה** עוגה מאפס באמצעות חמאה וביצים.
make sure	**תוודא** שאתה נועל את הדלת לפני שאתה יוצא הערב.
memory	השיר הזה מחזיר **זיכרונות** שמחים משנות הילדות שלי.
mountain	פסגת **ההר** הייתה מכוסה בשלג בחורף.
mouth	היא פתחה את **הפה** כדי לדבר אבל אז נשארה בשקט.
move	החתול **זז** בשקט לרוחב החדר בלי להשמיע קול.
North	הרכבת נסעה **צפונה** לכיוון ההרים בשעות הבוקר המוקדמות.
nose	הוא שבר את **האף** שלו כשהוא שיחק כדורסל בשבוע שעבר.
not only	היא **לא רק** חכמה אלא גם מאוד אדיבה כלפי אחרים.
on	הספר נמצא **על** השולחן בסלון היום.
