מילה	יחידה	מקור ההוכחה	מזהה/רפרנס	הערה
אָבְנַיִים	1	ויקינתונים (CC0)	L204339	אבניים
אוֹצֵר	1	ויקינתונים (CC0)	L63806	אוצר
אָחוּ	1	ויקינתונים (CC0)	L75253	אחו
אִיחוּי	1	ויקינתונים (CC0)	L204731	איחוי
אֲלוּמָּה	1	ויקינתונים (CC0)	L204933	אלומה
אָמוֹדַאי	1	ויקינתונים (CC0)	L75530	אמודאי
אָמִיר	1	ויקינתונים (CC0)	L75545	אמיר
אֲמַתְלָה	1	ויקינתונים (CC0)	L64010	אמתלה
אָסָם	1	ויקינתונים (CC0)	L64050	אסם
אֶצְבָּעוֹן	1	ויקינתונים (CC0)	L64078	אצבעון
אֶקְרָן	1	ויקינתונים (CC0)	L205350	אקרן
אָרִיג	1	ויקינתונים (CC0)	L205388	אריג
אֲרָעִי	1	ויקינתונים (CC0)	L205422	ארעי
אֶשְׁכּוֹל	1	ויקינתונים (CC0)	L76085	אשכול
בֵּאוּר	1	ויקינתונים (CC0)	L76127	באור
בּוֹשׁ	1	ויקינתונים (CC0)	L205645	בוש
בּוֹשֵׁשׁ	1	ויקינתונים (CC0)	L205652	בושש
בִּיּוּת	1	ויקינתונים (CC0)	L76267	ביות
בֵּרָא	1	ויקינתונים (CC0)	L491566	ברא
בֵּית מַרְזֵחַ	1	ויקינתונים (CC0)	L76311	בית מרזח
בַּלָּן	1	ויקינתונים (CC0)	L205857	בלן
בְּמַפְגִּיעַ	1	ויקינתונים (CC0)	L492003	במפגיע
בַּעֲלִיל	1	ויקינתונים (CC0)	L492008	בעליל
בָּצִיר	1	ויקינתונים (CC0)	L76394	בציר
בָּצַר	1	ויקינתונים (CC0)	L491564	בצר
גָּדָה	1	ויקינתונים (CC0)	L64443	גדה
גָהַר	1	ויקינתונים (CC0)	L206063	גהר
גּוּר	1	ויקינתונים (CC0)	L64471	גור
גְזוּזְטְרָה	1	ויקינתונים (CC0)	L64481	גזוזטרה
גְּזִיר	1	ויקינתונים (CC0)	L206149	גזיר
גִּלְעֵן	1	ויקינתונים (CC0)	L206280	גלען
גַּרְגְרָן	1	ויקינתונים (CC0)	L206353	גרגרן
גַּת	1	ויקינתונים (CC0)	L64591	גת
דָּגָה	1	ויקינתונים (CC0)	L64632	דגה
דּוֹבֵב	1	ויקינתונים (CC0)	L206467	דובב
דִּידַקְטִי	1	ויקינתונים (CC0)	L206582	דידקטי
דִּרְבּוּן	1	ויקינתונים (CC0)	L206751	דרבון
הִבְלִיג	1	ויקינתונים (CC0)	L206871	הבליג
הֲדוֹם	1	ויקינתונים (CC0)	L77176	הדום
הֶדְיוֹט	1	ויקינתונים (CC0)	L64794	הדיוט
הִטְמִיעַ	1	ויקינתונים (CC0)	L207694	הטמיע
הִיסָּה	1	ויקינתונים (CC0)	L207937	היסה
