id	תווית	הערה
M1012.1504	כ	הרג→הורג · עבר→בינוני, אותו בניין
M1070.1593	ל	צלול (תואר) נותח כפועל · צולל = מילה אחרת לגמרי
M1078.1611	ל	דבר (שם עצם) נותח כפועל
M1116.1676	?	טיפש→טיפשות · שינוי חלק דיבר: אדם→שם מופשט. ראה הערה למטה
M1119.1682	ל	כבל→נכבל · היפוך סביל. כפת = קשר, לא נקשר
M1122.1684	ל	פעם (שם עצם) נותח כפועל
M1195.1766	ל	דבר (שם עצם) נותח כפועל
M1203.1784	ל	טרחן (שם תואר-פועל) נותח כפועל · טורח ≠ טרחן
M1232.1818	כ	צרב→צורב · עבר→בינוני, אותו בניין
M1274.1878	ל	נשא→התנשא · שינוי בניין אמיתי, משמעות אחרת
M1277.1883	ל	ברך (שם עצם) נותח כפועל
M1298.1907	ל	עונה→העוין · אינה הטיה בכלל
M1312.1931	כ	רשם→רושם · עבר→בינוני, אותו בניין
M1325.1943	כ	התמלא→מלא · שינוי בניין, אבל "מלא פחד" זהה במשמעות ואידיומטי
M1344.1956	ל	עלי (שם עצם) נותח כפועל
M1366.1988	ל	שונה (תואר) נותח כפועל · שנה = מילה אחרת
M145.228	?	חסר→חוסר · שינוי חלק דיבר: תואר→שם מופשט. ראה הערה למטה
M1500.2154	?	נגעל→געל · אותו שורש ואותה משמעות, אבל אינה צורה שכותבים בעברית של היום
M1507.2167	ל	עלם (שם עצם) נותח כפועל
M1534.2224	ל	התחור · אינה מילה
M16.14	ל	צבר (שם עצם · אשכול) נותח כפועל עבר
M1606.2330	כ	עקב→עוקב · עבר→בינוני, אותו בניין
M1606.2331	ל	אחר (מילת יחס) נותח כפועל
M168.267	ל	אסף→התאסף · היפוך סביל. הדבש לא אוסף את עצמו
M1716.2451	ל	התחור · אינה מילה
M212.323	ל	סבל (שם עצם) נותח כפועל · נסבל = הפוך במשמעות
M238.368	ל	רצה→התרצה · שינוי בניין אמיתי, משמעות אחרת
M337.493	כ	שווא→שוא · אינה מורפולוגיה כלל אלא אם קריאה. ראה הערה למטה
M348.507	ל	צרור (שם עצם) נותח כפועל · צורר = מילה אחרת
M39.45	ל	להוט (תואר) נותח כפועל · לוהט = מילה אחרת
M415.619	ל	לעשות→עשת · צורה שאינה קיימת
M442.654	ל	כלל (שם עצם) נותח כפועל
M485.700	ל	התחור · אינה מילה
M590.876	כ	ערך→עורך · עבר→בינוני, אותו בניין
M747.1105	?	שוכח→שכחן · גזירה אמיתית. המשמעות נשמרת אבל התחביר נשבר
M79.155	ל	מוכר→מכור · מוכר (מי שמוכר) → מכור (התמכר). היפוך מוחלט
M813.1215	ל	בטל→בוטל · "הולך בוטל" אינו "הולך בטל"
M888.1341	ל	רחב (תואר) נותח כפועל
M964.1449	ל	רשת→לרשות · אינה הטיה
M997.1482	ל	נועץ→נעץ · נעץ = תקע חפץ. משמעות אחרת
