פירוש משותף	המילים	מה השופט העיוור נתן לכל אחת	כמה
להרחיב	expand, broaden, widen, augment	expand=להתרחב | broaden=להרחיב | widen=להרחיב | augment=להגדיל	4
לחלוטין	absolutely, totally, entirely	absolutely=לחלוטין | totally=לגמרי | entirely=לחלוטין	3
ליד	next to, beside, adjacent to	next to=ליד | beside=ליד | adjacent to=סמוך ל	3
דרך	road, way, via	road=כביש | way=דרך | via=דרך	3
בדרך-כלל	usually, for the most part, ordinarily	usually=בדרך כלל | for the most part=בעיקר | ordinarily=בדרך כלל	3
דומה	similar, alike, resemble	similar=דומה | alike=דומה | resemble=להידמות ל	3
מחסור	lack, shortage, deficiency	lack=חוסר | shortage=מחסור | deficiency=מחסור	3
מועמד	candidate, nominated, applicant	candidate=מועמד | nominated=למנות | applicant=מועמד	3
להגר	migrate, immigrate, emigrate	migrate=לנדוד | immigrate=להגר | emigrate=להגר	3
פחד לפחד	fear, dread	fear=פחד | dread=לחשוש	2
מ-	from, than	from=מ | than=מאשר	2
מיוחד	special, distinctive	special=מיוחד | distinctive=ייחודי	2
מבנה לבנות	build, structure	build=לבנות | structure=מבנה	2
אולם ספורט	gym, gymnasium	gym=חדר כושר | gymnasium=אולם התעמלות	2
כולל	including, inclusive	including=כולל | inclusive=מכיל	2
טיל	rocket, missile	rocket=רקטה | missile=טיל	2
זקן	beard, elderly	beard=זקן | elderly=קשיש	2
לשפוך	dump, spill	dump=לזרוק | spill=לשפוך	2
במיוחד	especially, in particular	especially=במיוחד | in particular=בפרט	2
מדהים	incredible, spectacular	incredible=מדהים | spectacular=מרהיב	2
מרוחק	remote, distant	remote=מרוחק | distant=רחוק	2
ללא ספק	surely, undoubtedly	surely=בוודאי | undoubtedly=ללא ספק	2
איום	threat, horrific	threat=איום | horrific=מזעזע	2
בקרב בין	among, amid	among=בין | amid=בתוך	2
מעבר	beyond, aisle	beyond=מעבר ל | aisle=מעבר	2
מאוד במידה רבה	deeply, heavily	deeply=עמוקות | heavily=בכבדות	2
להתמודד	handle, cope	handle=לטפל | cope=להתמודד	2
קרחון	iceberg, glacier	iceberg=הר קרח | glacier=קרחון	2
מקצוע	profession, vocation	profession=מקצוע | vocation=ייעוד	2
מחוז אזור	region, province	region=אזור | province=מחוז	2
נוקשה	strict, stiff	strict=קפדני | stiff=נוקשה	2
עליון	supreme, superior	supreme=עליון | superior=עדיף	2
להעריץ	admire, idolize	admire=להעריץ | idolize=להאליל	2
נרחב	broad, extensive	broad=רחב | extensive=נרחב	2
התנגשות	clash, collision	clash=להתנגש | collision=התנגשות	2
נוטה	tend, prone	tend=לנטות | prone=נוטה	2
משתנה	variable, vary	variable=משתנה | vary=להשתנות	2
מתמשך	continuous, ongoing	continuous=רציף | ongoing=מתמשך	2
להבדיל להבחין	differentiate, distinguish	differentiate=להבדיל | distinguish=להבחין	2
לצפות מראש	predict, foresee	predict=לחזות | foresee=לצפות	2
לפקח	supervise, oversee	supervise=לפקח | oversee=לפקח על	2
לתעב	despise, loathe	despise=לבוז | loathe=לתעב	2
זאת ועוד	furthermore, moreover	furthermore=יתר על כן | moreover=יתרה מזאת	2
רק לא יותר מ-	merely, mere	merely=רק | mere=גרידא	2
למרות זאת	nevertheless, nonetheless	nevertheless=בכל זאת | nonetheless=עם זאת	2
לרסן	restrain, inhibit	restrain=לרסן | inhibit=לעכב	2
שפע	abundance, affluence	abundance=שפע | affluence=עושר	2
בהתאמה	correspondingly, respectively	correspondingly=בהתאם | respectively=בהתאמה	2
