q	level	n	answer
1	אקדמי	67	D
2	מתקדם	67	A
3	אקדמי	48	D
4	מתקדם	51	A
5	בסיס	1	C
6	מתקדם	29	D
7	בינוני	25	C
8	בסיס	6	B
9	מתקדם	33	D
10	אקדמי	17	C
11	בסיס	19	B
12	אקדמי	8	A
13	בינוני	16	A
14	בינוני	14	D
15	בינוני	9	D
16	מתקדם	62	A
17	אקדמי	61	D
18	אקדמי	24	A
19	בינוני	42	A
20	אקדמי	27	D
21	אקדמי	69	A
22	אקדמי	22	A
23	מתקדם	13	D
24	בינוני	29	A
25	מתקדם	41	B
26	מתקדם	43	A
27	מתקדם	65	A
28	מתקדם	20	A
29	בסיס	9	B
30	אקדמי	10	D
31	אקדמי	54	D
32	בסיס	14	C
33	בינוני	2	C
34	מתקדם	15	B
35	אקדמי	15	C
36	בסיס	5	D
37	אקדמי	62	B
38	בסיס	17	C
39	מתקדם	21	A
40	מתקדם	34	A
41	מתקדם	59	D
42	אקדמי	16	B
43	מתקדם	26	B
44	בינוני	3	A
45	אקדמי	5	C
46	מתקדם	27	B
47	אקדמי	47	C
48	אקדמי	46	A
49	אקדמי	35	B
50	אקדמי	3	D
51	אקדמי	23	B
52	מתקדם	36	B
53	מתקדם	37	C
54	אקדמי	36	B
55	מתקדם	16	C
56	אקדמי	51	D
57	אקדמי	55	C
58	מתקדם	68	A
59	מתקדם	42	C
60	אקדמי	2	B
61	מתקדם	6	D
62	אקדמי	1	B
63	מתקדם	3	B
64	אקדמי	13	C
65	מתקדם	66	A
66	אקדמי	49	A
67	בינוני	19	D
68	אקדמי	58	B
69	אקדמי	20	D
70	אקדמי	18	C
71	בסיס	7	C
72	מתקדם	28	C
73	אקדמי	60	D
74	בינוני	11	B
75	אקדמי	29	A
76	בסיס	3	B
77	בסיס	18	C
78	בינוני	45	A
79	מתקדם	23	D
80	מתקדם	52	A
81	בינוני	15	A
82	בינוני	38	C
83	אקדמי	14	C
84	מתקדם	19	D
85	בינוני	35	D
86	אקדמי	66	B
87	בסיס	20	C
88	מתקדם	44	D
89	מתקדם	54	B
90	בסיס	16	D
91	מתקדם	40	A
92	מתקדם	7	A
93	אקדמי	30	C
94	אקדמי	68	C
95	אקדמי	40	A
96	אקדמי	59	A
97	אקדמי	65	A
98	מתקדם	45	B
99	מתקדם	8	C
100	מתקדם	11	D
101	בינוני	34	C
102	בינוני	6	D
103	בינוני	24	B
104	בינוני	8	B
105	בסיס	8	A
106	בינוני	27	C
107	בינוני	17	C
108	בינוני	20	B
109	מתקדם	63	C
110	אקדמי	12	B
111	אקדמי	52	A
112	אקדמי	6	C
113	בסיס	12	D
114	בינוני	32	C
115	בסיס	2	B
116	בסיס	13	D
117	אקדמי	11	C
118	מתקדם	14	C
119	מתקדם	25	D
120	אקדמי	21	B
121	אקדמי	26	A
122	בינוני	18	D
123	בסיס	4	C
124	מתקדם	18	A
125	מתקדם	56	C
126	מתקדם	50	A
127	אקדמי	31	B
128	מתקדם	9	D
129	בינוני	41	D
130	בסיס	11	B
131	אקדמי	43	C
132	בינוני	21	C
133	אקדמי	33	A
134	בינוני	5	C
135	אקדמי	34	C
136	בסיס	15	B
137	מתקדם	1	D
138	מתקדם	31	C
139	בינוני	43	A
140	מתקדם	24	D
141	מתקדם	10	D
142	בינוני	23	B
143	מתקדם	5	A
144	אקדמי	19	A
145	בינוני	4	A
146	אקדמי	9	A
147	מתקדם	12	C
148	מתקדם	53	B
149	בינוני	22	A
150	מתקדם	48	D
151	בינוני	39	B
152	בינוני	13	C
153	אקדמי	39	A
154	אקדמי	53	D
155	מתקדם	58	D
156	מתקדם	32	C
157	בסיס	10	B
158	בינוני	12	A
159	בינוני	10	B
160	בינוני	44	D
161	אקדמי	32	C
162	בינוני	1	D
163	בינוני	28	D
164	בינוני	40	C
165	בינוני	30	C
166	אקדמי	56	B
167	אקדמי	28	C
168	בינוני	7	C
169	אקדמי	57	D
170	מתקדם	2	C
171	מתקדם	4	C
172	מתקדם	64	C
173	אקדמי	50	D
174	מתקדם	17	A
175	אקדמי	4	C
176	אקדמי	64	B
177	בינוני	31	D
178	אקדמי	45	B
179	אקדמי	41	B
180	מתקדם	22	C
181	מתקדם	61	A
182	בינוני	33	C
183	מתקדם	39	B
184	מתקדם	35	C
185	בסיס	22	B
186	בינוני	26	B
187	אקדמי	42	D
188	אקדמי	38	B
189	אקדמי	37	B
190	מתקדם	30	B
191	מתקדם	57	C
192	בסיס	21	B
193	מתקדם	47	B
194	מתקדם	38	A
195	מתקדם	46	B
196	מתקדם	55	A
197	בינוני	36	C
198	מתקדם	60	C
199	אקדמי	7	C
200	אקדמי	44	A
201	אקדמי	63	D
202	מתקדם	49	A
203	אקדמי	25	D
204	בינוני	37	D
