w1882	יריב	מתחרה	להתחרות
w1950	סופי	מוחלט	עליון
w0599	אורח חיים	-	-
w2507	הערכה	בדיקה	-
w1525	תסמין	סימן	-
w0627	שלילי	שלילה	-
w1038	שליו	שקט	-
w2676	לעבור	להעביר	-
w0075	מוות	פטירה	-
w1868	יחסית	-	-
w3840	מהמורה	בור	-
w1947	לגרום	להפעיל	לעורר
w1351	דקדוקי	-	-
w3744	שמועה	עדות שמיעה	-
w2897	גלות	להגלות	גולה
w0991	שופט	לשפוט	-
w0798	פעיל	-	-
w1330	גורל	-	-
w3627	השערה	לשער	-
w3156	צרעה	-	-
w0385	יין	-	-
w3386	פנאי	-	-
w1006	ניהול	הנהלה	-
w3586	לוודא	לברר	-
w3204	רקע	תפאורה	-
w0738	לחץ	להדגיש	-
w0945	זבל	-	-
w1984	להודות	לקבל	-
w2533	שביר	-	-
w1550	יקום	-	-
w0101	פנים	להתמודד	לפנות
w1720	להתרחב	להרחיב	-
w3262	נפטר	מת	-
w1108	מושב	להושיב	-
w1638	מטען	-	-
w1529	ללמד	-	-
w3195	לטעון	-	-
w3320	מהיר	מהר	לצום
w3720	לסכל	רדיד	-
w0982	פנימי	-	-
w0369	קיר	חומה	-
w3647	להשפיל	-	-
w2525	סיב	-	-
w0607	איפור	הרכב	-
w0637	רשמי	פקיד	-
w3846	שכיחות	-	-
w2447	יבול	לגזור	-
w0483	סכנה	-	-
w1770	מרכיב	-	-
w2401	למצמץ	-	-
w1426	להיות חייב	-	-
w2099	לסכן	-	-
w0662	לבחור	לקטוף	-
w3061	לשגשג	-	-
w3849	מיידי	לעורר	הנחיה
w3524	מזוהם	-	-
w1242	מאה	-	-
w2161	לאלתר	-	-
w2996	מעלה	להצדיק	-
w2594	קטלני	-	-
w3353	עצום	-	-
w0597	ליברלי	נדיב	-
w3197	להעריך	-	-
w3022	לציית	-	-
w0732	מרגל	לרגל	-
w3604	קאסטה	מעמד	-
w2737	לשדר	להעביר	-
w0728	עכביש	-	-
w0497	כיוון	הכוונה	-
w1342	תסכול	-	-
w1592	עזרה	לסייע	-
w3568	שלילי	מזיק	-
w3864	למלוך	-	-
w1252	חוף	-	-
w1538	נושא	-	-
w1267	רכז	-	-
w2504	בעצם	-	-
w3319	להקסים	-	-
w2928	פורץ דרך	-	-
w1766	נגוע	להדביק	-
w3899	לקפוץ	לנבוע	-
w0093	מספיק	-	-
w0232	או	-	-
w3144	עצום	נרחב	-
w2246	מקוריות	-	-
w3113	צופה	-	-
w3290	עמיד	-	-
w1515	מניה	מלאי	-
w1798	בעיקר	-	-
w2760	לשוטט	לתעות	-
w0367	קול	להביע	-
w2726	להקיף	-	-
w0003	שלישי	שליש	-
w3434	מזהם	-	-
w3832	מחזאי	-	-
w0112	לבסוף	סוף סוף	-
w2263	רכוש	חזקה	-
w1141	ניתוח	-	-
w3760	לא בולט	-	-
w1869	אמין	-	-
w2659	מרדני	-	-
w2329	מעקב	-	-
w3160	לעמוד בפני	-	-
w2198	לשוני	-	-
w3754	בהגינות	באובייקטיביות	-
w3210	היות ו	מכיוון ש	-
w1853	קרינה	-	-
w3817	מדכא	-	-
w1401	למזער	-	-
w3448	כרגע	בקרוב	-
w2210	ימי	נחת	-
w3709	להסיק	-	-
w3471	לפדות	לגאול	-
w0716	עבד	-	-
w0906	מאמץ	-	-
w3078	להסתמך על	-	-
w3003	צנוע	מתון	-
w1731	להבה	-	-
w1547	לא ברור	-	-
w2170	זול	-	-
w3138	ללא ספק	-	-
w2138	פרווה	-	-
w3460	פיסוק	-	-
w0645	מקורי	מקור	-
w1434	מתיחה	למתוח	-
w3589	תדהמה	-	-
w2390	מועמד	מבקש	-
w2295	מהפכני	מהפכן	-
w1151	איום	-	-
w1899	קליפה	פגז	-
w1743	בנזין	-	-
w0697	כלל	למשול	-
w2721	לסכם	-	-
w3151	כמעט	באופן וירטואלי	-
w0188	רשימה	לרשום	-
w2682	לפתור	נחישות	-
w2603	סחורה	-	-
w3140	לקרוא ל	דחף	-
w0038	דם	-	-
w0137	חצי	-	-
w1481	מנוחה	שאר	לנוח
w3439	קדר	-	-
w1266	תיאום	-	-
w2940	חלול	-	-
w2254	סיור	לסייר	-
w0968	חולה	-	-
w2068	קולינרי	-	-
w0435	חיה	-	-
w0097	בדיוק	-	-
w3025	מקרה	התרחשות	-
