id	תווית	הערה
NN01	ל	"מבנה החוסם נהר ומווסת זרימה" = סכר, לא גדה
NN02	כ	"בלוי מרוב שימוש" תואם את המובן השני בכרטיס עצמו ("נשחק משימוש ממושך")
NN03	ל	"עשה משהו שוב ושוב" מאבד את "כדי לזכור" · גנרי מדי, מתאים לכל פועל חזרה. גבולי
NN04	כ	אפלה כבדה ↔ אפלה גדולה
NN05	ל	"כלי להעברת גחלים" = מחתה
NN06	ל	"שומן בגוף בעלי חיים" · אין קשר
NN07	ל	תוספת לספר ולא להופעה · אחרית דבר, לא הדרן
NN08	ל	"הצבת אנשים לביצוע מטלה" · גם משמעות אחרת וגם גורם במקום שוהה
NN09	כ	"שומר" הוא מילה מפורשת במובן השני של הכרטיס ("שומר על משהו יקר ערך")
NN10	ל	"אור, זוהר" מאבד את "קרן / מרוכזת בכיוון צר" — וזה כל ההבדל
NN11	ל	אותו דבר · אלומה היא הקרן, לא האור
NN12	ל	"כיסוי, כסות" גנרי · נשמטו האצבע והתפירה
NN13	ל	"טוב, בסדר" · פספס את השכרות. כנראה נגרר מ"בראש טוב"
NN14	כ	"ברור" היא מילת התוכן של הפירוש עצמו · שינוי חלק דיבר בלבד
NN15	ל	"חוטא" · אין קשר לשמרנות
NN16	ל	חזר על המונח עצמו כהגדרה · מעגלי, אינו מוכיח ידיעה
NN17	ל	כושר ביטוי ≠ חריפות מחשבה
NN18	ל	"המתת בעלי חיים בדקירה" · אין קשר
NN19	כ	ניסוח מחדש מלא ומדויק
NN20	ל	"שם כולל לבעלי החיים" · נשמטו הידיים והרגליים, וזה כל הפירוש
NN21	ל	"שובבות" · אין קשר לתירוץ
NN22	ל	שם עצם→פועל · ו-בָּצַר הוא **כרטיס אחר במאגר**. קבלה כאן מטשטשת שני ערכים
NN23	ל	"מי שעובד בבציר" = בוצר · צורה שלישית, ושוב סמוכה לכרטיס אחר
NN24	ל	⭐ "הוראה מחייבת מטעם השלטון" = **גְּזֵרָה**, כרטיס אחר במאגר. שלילי קרוב קלאסי
