למה	שורש	מועדים	הופעות	ממוצע-שאלה	סוגים	צורות-מקור	הערות	ציטוטים
הִתְוַדָּה	י-ד-ה	2	2	5.0	analogy+completion	להתוודות		spring_2025·פרק2·ש5·רגל ; 2019_winter·פרק1·ש13·אפשרות ?
חֲבַרְבּוּרָה	-	2	2	4.0	analogy	חברבורה / חברבורות	כפול בתוך האצווה: אותה למה כמו הפריט חברבורה	spring_2022·פרק2·ש5·רגל ; spring_2024·פרק2·ש3·רגל
כּוֹרֵם	כ-ר-מ	2	2	4.5	analogy	כורם		autumn_2025·פרק2·ש3·מסיח 4 ; 2020_spring·פרק1·ש6·רגל
עָמַד מִלֶּכֶת	ע-מ-ד	2	2	4.0	analogy	עומד מלכת / עמד מלכת	שורש-חריג: המבחן (2019_winter פרק2 ש5) בוחן שני ניבי עמד באותה שאלה כערכים נבדלים | שורש-חריג: המבחן (2020_summer פרק1 ש3) בוחן ארבעה ניבי עמד באותה שאלה כערכים נבדלים	2020_summer·פרק1·ש3·מסיח 1 ; 2019_winter·פרק2·ש5·מסיח 4
אֶבֶן מַשְׁחֶזֶת	ש-ח-ז	1	1	4.0	analogy	אבן משחזת	שורש-חריג: ההתאמה ל'אבן' שבמאגר שטחית — הערך הנלמד הוא הצירוף כולו, והתוכן בשורש שחז	summer_2024·פרק2·ש4·רגל
אַכְסַנְיָה	-	1	1	1.0	analogy	אכסניה		autumn_2024·פרק1·ש1·רגל
אָסִיף	א-ס-פ	1	1	6.0	analogy	אסיף		summer_2023·פרק2·ש6·מסיח 4
אִצְטַבָּה	-	1	1	3.0	analogy	אצטבה		spring_2023·פרק2·ש3·רגל
בְּלֵית בְּרֵרָה	-	1	1	4.0	analogy	בלית ברירה		summer_2026·פרק2·ש4·מסיח 2
בַּלְשָׁנוּת	ב-ל-ש	1	1	5.0	analogy	בלשנות		summer_2023·פרק2·ש5·מסיח 1
בְּנָקֵל	ק-ל-ל	1	1	6.0	analogy	בנקל		summer_2021·פרק1·ש6·רגל
בֵּרֵא	ב-ר-א	1	1	2.0	analogy	לברא		summer_2021·פרק2·ש2·רגל
בְּשִׁוְיוֹן נֶפֶשׁ	ש-ו-ה	1	1	2.0	analogy	בשוויון נפש		autumn_2024·פרק2·ש2·מסיח 4
גַּבְשׁוּשִׁי	ג-ב-ש	1	1	6.0	analogy	גבשושי		summer_2021·פרק2·ש6·מסיח 4
גַּת	-	1	1	6.0	analogy	גת		spring_2025·פרק2·ש6·מסיח 2
דַּקְדְּקָן	ד-ק-ד-ק	1	1	4.0	analogy	דקדקן		autumn_2024·פרק1·ש4·מסיח 2
הִגִּיעַ לְפִרְקוֹ	פ-ר-ק	1	1	6.0	analogy	הגיע לפרקו	שורש-חריג: ניב עצמאי — משמעותו (הגיע לגיל נישואין) אינה נגזרת מהערך הקיים בשורש	2020_summer·פרק2·ש6·מסיח 1
הִכְפִּישׁ	כ-פ-ש	1	1	6.0	analogy	הכפיש		2020_summer·פרק1·ש6·מסיח 1
הִלְבִּין אֶת פָּנָיו	ל-ב-נ	1	1	6.0	analogy	הלבין את פניו	שורש-חריג: ניב שמשמעותו (בייש ברבים) אינה נגזרת מהערך הקיים בשורש לבנ	autumn_2023·פרק1·ש6·מסיח 1
הֵסִית	ס-ו-ת	1	1	6.0	analogy	הסית		2020_summer·פרק1·ש6·מסיח 3
