contact	הוא ייצור איתך קשר מחר בבוקר כדי לאשר את שעת הפגישה.	ליצור קשר, מגע
into	הוא שפך מים לתוך הכוס עד שהיא התמלאה.	אל תוך
zoo	הלכנו לגן החיות לראות את האריות.	גן חיות
mentor	המדריכה הרוחנית שלה עזרה לה לצלוח את האתגרים של פתיחת עסק.	מדריך רוחני
sponsor	החברה שלנו תהיה נותנת החסות של קבוצת הספורט המקומית השנה.	נותן חסות
worldwide	החברה מפעילה חנויות ברחבי העולם ומעסיקה אלפי אנשים.	כלל עולמי, בכל העולם
notice	שמת לב לציור החדש על קיר הגלריה?	לשים לב; התראה
recent	רעידת האדמה האחרונה גרמה נזק למספר בניינים.	שארע לאחרונה
unbelievable	הסיפור הלא יאמן על מציאת אוצר התפשט מהר בעיר.	לא יאמן
citrus	תפוז ולימון הם פירות הדר עתירי ויטמין סי.	פרי הדר
fiction	היא מעדיפה לקרוא ספרות בדיונית על פני ספרי היסטוריה המבוססים על אירועים אמיתיים.	בדיון, לא אמיתי
not only... but also...	היא לא רק חכמה אלא גם אדיבה מאוד.	לא רק... אלא גם...
owe	אני חייב לחבר שלי עשרים דולר מארוחת הצהריים שלנו אתמול.	להיות חייב
pretend	ילדים לעיתים קרובות מעמידים פנים שהם גיבורי על כשהם משחקים בחצר.	להעמיד פנים
wherever	לא משנה לאן תיסע, זכור לשמור על עצמך ולהשגיח על המזוודות שלך.	בכל מקום, לא משנה היכן
commit	הוא ביצע פשע חמור נגד החוק.	ביצוע/ לבצע; להתחייב
equally	שני הרצים חצו את קו הסיום במהירות שווה, מה שהפתיע את כולם שם.	במידה שווה
execute	הצוות יוציא את התוכנית לפועל ביום שני בבוקר.	להוציא לפועל; להוציא להורג
facial	קרם הפנים הרגיע את האדמומיות והיובש בפניה.	שקשור בפנים
unstable	הכיסא הלא יציב התנדנד בכל פעם שהוא התיישב עליו.	לא יציב
culinary	בתי ספר לבישול מלמדים תלמידים איך להפוך לשפים.	קולינרי, של בישול
daydream	היא חלמה בהקיץ על נסיעות למדינות רחוקות במהלך שיעור משעמם.	לחלום בהקיץ
fortunate	היא הייתה בת מזל ששרדה את תאונת הדרכים הקשה.	בעל מזל
graduate	היא תסיים את לימודיה באוניברסיטה באביב הבא בהצטיינות.	לסיים לימודים
harmless	התרופה אינה מזיקה ואין לה תופעות לוואי חמורות.	שאינו מזיק
once in a while	אני אוכל אוכל מהיר מדי פעם כשאני עסוק.	מידי פעם
unattractive	הבניין הישן היה חשוך ולא מושך במיוחד.	לא מושך
uncritical	הקבלה הלא ביקורתית שלו של כל עצה התבררה כטיפשית.	לא ביקורתי
