w1049	הנאה	עונג	תענוג
w0783	משקל	כובד	חשיבות
w3797	קודר	זעוף	עגום
w3295	חמקמק	בלתי מושג	-
w2282	לזכור	להיזכר	-
w2914	שבר	לשבור	-
w3461	מרדף	רדיפה	שאיפה
w3019	משתלה	חדר תינוקות	גן ילדים
w0601	מנעול	לנעול	-
w1124	מקור	-	-
w3796	גורלי	מכריע	-
w1568	מפל מים	-	-
w2086	בוגדני	לא נאמן	-
w1755	מחלה	חולי	-
w3242	להיות מורכב	להכיל	-
w2640	לחזות	לנבא	-
w1308	אתי	מוסרי	-
w2966	לחדש	-	-
w3919	בכך	-	-
w3857	גידול	להזדקף	-
w1044	אישיות	-	-
w3389	אוריין	משכיל	-
w3491	חילוני	-	-
w0644	אורגניזם	יצור חי	-
w2113	לייסד	להקים	לבסס
w0229	פעם	כאשר	-
w0634	אחות	להניק	לטפל
w1096	סקירה	לסקור	ביקורת
w1084	להירשם	לרשום	מרשם
w1257	כנס	ועידה	-
w1046	צינור	מקטרת	-
w2047	ועדה	-	-
w3148	להפר	לפגוע	-
w2333	לנטות	לטפל	-
w3218	לגלף	לחרוט	לפרוס
w1517	ללמוד	מחקר	חדר עבודה
w0007	אחרי	-	-
w2283	החזר כספי	להחזיר	-
w0117	לטוס	זבוב	לעוף
w0283	לרוץ	לנהל	לזרום
w1309	אפילו	זוגי	שווה
w3309	לעלות על	לחרוג	-
w1291	גירושין	להתגרש	-
w2549	מזיק	-	-
w0782	נשק	-	-
w1026	הערה	פתק	לציין
w1744	להתאסף	לאסוף	-
w2173	לפצוע	לפגוע	-
w3701	לגלם	לסמל	-
w1946	לגרום	הדק	להפעיל
w3291	לגור	להתעכב	-
w0526	מומחה	-	-
w0793	אבסורדי	מגוחך	-
w3771	אינסופי	בלתי נגמר	-
w1941	אצבע רגל	בוהן	-
w2473	הפרעה	אי-סדר	-
w2072	להכריז	להצהיר	-
w0078	דיאטה	תזונה	-
w1502	ראייה	מראה	-
w2035	בירה	הון	ראשי
w1471	להפחית	לצמצם	-
w3413	לטפח	חינוך	-
w3552	ברשעות	-	-
w3592	לבוש	תלבושת	-
w2725	לדכא	להשתיק	-
w0577	התקנה	מיצב	-
w0709	מגן	להגן	-
w2924	חינני	אלגנטי	-
w3477	לשפץ	-	-
w0534	אופנה	לעצב	-
w2145	גועלי	ברוטו	גס
w1636	כלוב	-	-
w2438	לתרום	-	-
w1259	בלבול	מבוכה	-
w3716	בוטה	משווע	גלוי
w2025	לנשוף	מכה	להתפוצץ
w2392	היבט	פן	-
w2736	עסקה	-	-
w1102	משכורת	שכר	-
w0523	מצוין	נהדר	-
w1452	לצטט	ציטוט	הצעת מחיר
w3624	נעים	ידידותי	-
w0401	שמיני	-	-
w1976	לנטוש	לזנוח	-
w2291	בכבוד	-	-
w1457	באקראי	-	-
w2042	פחם	-	-
w2571	ליזום	להתחיל	-
w2478	להפיץ	לחלק	-
w3611	לכלול	להיות מורכב	-
w2633	נפט	-	-
w0698	סאגה	-	-
w0926	מעריץ	מאוורר	-
w2857	צפיפות	-	-
w0200	אמצע	אמצעי	-
w1379	לא סדיר	חריג	-
w3843	נועד מראש	מיועד	-
w2875	אי-שימוש	-	-
w3590	להדהים	לתדהם	-
w0651	הורה	-	-
w1236	מחשבון	-	-
w0428	אותנטי	אמיתי	-
w2781	מוטס	באוויר	-
w3853	מיומנות	גבורה	-
w0775	צמחוני	-	-
w1036	סבלני	חולה	מטופל
w2196	נמר	-	-
w0596	רמה	ישר	ליישר
w1759	מאסר	כליאה	-
w2370	עדיין	אך	-
w3859	הפרכה	-	-
w0714	מיומנות	כישרון	-
w2476	להבחין	-	-
w2269	מניעה	-	-
w1370	עצמאות	-	-
w3361	אדישות	-	-
w2555	השערה	-	-
w0745	הישרדות	-	-
w1154	כותרת	תואר	-
w3847	להתרבות	-	-
w3278	לחשוף	לגלות	-
w0084	לעשות	גמור	מוכן
w0666	פרהיסטורי	קדום	-
w0127	עתיד	עתידי	-
w3610	לנסוע	להמיר	-
w1524	סימטריה	-	-
w1031	הפוך	נגדי	-
w3192	לצוץ	לקום	-
w2749	לאחד	-	-
w3455	פוטנציאלי	עתידי	-
w2187	שמח	עליז	-
w3332	נמלט	בורח	-
w1879	לחשוף	לגלות	-
w0536	מסנן	לסנן	-
w0650	פרדוקס	-	-
w2165	למרות	-	-
w2385	שעשוע	בידור	-
w3931	לקיים	לתמוך	-
w1527	טקט	-	-
w1739	קרן	לממן	-
w3436	להוות	תנוחה	להתחזות
w3377	פולשני	חודרני	-
w2867	לפטר	לבטל	לשחרר
w3450	תקופת ניסיון	מאסר על תנאי	-
w3572	לעורר	להסעיר	לנער
w2100	בסכנת הכחדה	לסכן	-
w1854	במהירות	-	-
w3261	צאר	-	-
w3142	פנוי	ריק	-
w3500	תולעת משי	-	-
