אִלוּלֵא	אלולא	5	א	אם לא, במקרה שלא היה	פנוי	
אֲלוּמָּת אוֹר	אלומת-אור	4	ו	קרן ממוקדת, פס זוהר צר	פנוי	
אֶקְרָן	קרנ	4	ד	מסך, לוח תצוגה	חריג	הזוג אקרן / קרן: מסך אינו קשור להפצת זוהר, מי שיודע את השנייה לא ינחש את הראשונה
בִּיּוּת	בית	4	ד	אילוף חיה פראית והרגלתה לאדם	פנוי	
גְּזִיר	גזר	5	ד	פיסה קטנה שנחתכה מדבר גדול	חריג	הזוג גזיר / גזרה: פיסה חתוכה מול צו כפוי מטעם השלטון, אין קשר שיעזור לנבחן
דִּידַקְטִי	דידקטי	5	ה	הקשור בשיטות הוראה ולימוד	פנוי	
הִסְלִים	סלמ	2	ג	הקצין, הפך חמור וקשה יותר	פנוי	
הִתְכַּתֵּשׁ	כתש	4	ג	הסתבך בקטטה, רב במכות	חריג	הזוג התכתש / כתש: קרב פיזי בין אנשים מול מעיכת חומר לאבקה
כְּסָיָה	כסה	6	ד	כפפה, לבוש לאצבעות היד	חריג	"כסות" היא בגד בכלל, מושג מופשט של לבוש; "כסיה" היא כפפה — פריט קונקרטי ליד. מהשורש אפשר לנחש "כיסוי", לא "כפפה", ולכן זו מילה שצריך ללמוד בנפרד.
מִצְנֶפֶת	צנפ	5	ד	כיסוי ראש מבד, סוג של כובע	חריג	הזוג מצנפת / הצטנף: כיסוי ראש מול התכנסות והתקפלות הגוף
נִיחָא	ניחא	8	א	מילא, שיהיה, אין בכך רע	פנוי	
נִכּוּשׁ	נכש	5	ד	הוצאת עשבים מזיקים מן האדמה	חריג	"הכיש" הוא נשיכת ארס של נחש; "ניכוש" הוא עקירת עשבים מן האדמה. חקלאות מול הכשת נחש — אין שום גשר משמעות בין השניים.
פָּלָה	פלה	7	ג	ניקה שיער או פרווה מכינים	פנוי	
מֵרֵט אֶת עֲצַבָּיו	מרט-את-עצביו	3	ו	הרגיז מאוד, הוציא משלוותו	פנוי	
אַשְׁפָּה	אשפ	8	ד	תיק לחצים הנתלה על הגוף	חריג	הזוג אשפה / אשף: נרתיק חצים של קשת מול קוסם או מומחה גדול, אין חפיפה
בָּרַר	ברר	5	ג	הפריד את הטוב מן הפסול, בחר	פנוי	
גַּפַּיִם	גפפ	4	ד	הידיים והרגליים, איברי התנועה	פנוי	
הִדִּיר שֵׁינָה מֵעֵינָיו	הדיר-שינה-מעיניו	5	ו	גרם לדאגה שלא נתנה לו מנוח	פנוי	
הִזְדַּכְּכוּת	זכך	6	ד	היטהרות והתנקות פנימית, קתרזיס	חריג	הזוג הזדככות / זך: תהליך טיהור נפשי מול תואר של נקיון וצלילות
הִתְמַקֵּחַ	מקח	3	ג	התווכח על המחיר עד להסכמה	פנוי	
חַמְשִׁיר	חמש	5	ד	שיר קצר והיתולי בחריזה קבועה	פנוי	
יֵשׁ בְּלִבּוֹ עָלָיו	יש-בלבו-עליו	6	ו	שומר טינה ורוגז כלפיו	פנוי	
מִרְקָם	רקמ	3	ד	הרכב החומר וצורתו; מארג של חלקים	פנוי	
סָכַר אֶת פִּיו	סכר-את-פיו	6	ו	שתק, נמנע מלדבר	פנוי	
פּוּמִית	פום	5	ד	זרבובית, פתח צר בקצה כלי	פנוי	
תְּלוּלִית	תלל	3	ד	גבשושית, ערימת עפר קטנה	פנוי	
אוּמְדָן	אמד	3	ד	הערכה מקורבת של כמות	פנוי	
אָחוּז אֵימָה	אחוז-אימה	3	ו	מבועת, נתקף פחד גדול	פנוי	
בְּרִיּוֹת	ברא	4	ד	יצורים חיים, בני אדם	חריג	הערך הקיים "ברא" נרשם במשמעות הנדירה של גדיעת עצים ופינוי שטח מיער; "בריות" הן יצורים חיים ובני אדם. מי שלמד "ברא = גדע עצים" לא מקבל מזה שום רמז ליצורים.
הִלְאִים	לאם	4	ג	העביר לבעלות המדינה	פנוי	
הֵפֵר	פרר	3	ג	עבר על התחייבות, לא קיים	פנוי	
הִשִּׂיא עֵצָה	השיא-עצה	6	ו	המליץ כיצד לנהוג	פנוי	
הִשְׁתַּעְבֵּד	עבד	3	ג	נכנע לשליטה מוחלטת, איבד חירותו	פנוי	
הִתְאַבֵּק בַּעֲפַר רַגְלָיו	התאבק-בעפר-רגליו	7	ו	היה לתלמידו, למד מפיו	פנוי	
