w0677	עכברוש	מלשין	-
w3881	סופר	לבלר	-
w1223	להשתייך	-	-
w0070	לרקוד	ריקוד	-
w0532	שקרי	מזויף	-
w3623	להתאים	לציית	-
w3729	לזעום	אד	-
w1139	לספק	אספקה	היצע
w3252	בהתאם	-	-
w1734	לאסור	-	-
w0570	אימה	זוועה	-
w1926	תרגיל מסוכן	לעכב	-
w3365	להסיק	-	-
w1884	שוד	-	-
w2508	באופן שווה	-	-
w1914	גרם מדרגות	-	-
w3294	מפורט	מורכב	להרחיב
w3280	חיטוי	-	-
w2060	נחושת	שוטר	-
w1858	סביר	הגיוני	-
w2020	לבגוד	לחשוף	-
w3069	גיוס	-	-
w0320	לעמוד	דוכן	עמדה
w0667	להכין	להתכונן	-
w2752	לאמת	לאשר	-
w3697	לפלוש	-	-
w1357	היסטוריון	-	-
w1565	נבל	רשע	-
w1288	אי הסכמה	חילוקי דעות	-
w3560	פתאומי	-	-
w2461	הרוס	שבור	-
w0247	אישי	-	-
w0538	לזרום	זרימה	-
w0409	סדר יום	-	-
w3654	צאצא	-	-
w0955	לפגוע	נזק	-
w0971	לדמיין	-	-
w3000	ערפילי	מעורפל	-
w2063	שחיתות	-	-
w0603	רועש	קולני	-
w3848	פורה	-	-
w2753	שסתום	-	-
w1641	קתדרלה	-	-
w2468	להתנגד	לגנות	-
w2698	תחושה	סנסציה	-
w0169	אי	-	-
w0932	דיג	-	-
w0555	ענק	ענקי	-
w3925	להתעלות	לחרוג	-
w3337	הדרגתי	-	-
w1213	קהל	-	-
w0202	טעות	לטעות	-
w3540	יהיר	חסר תוחלת	-
w1098	מגוחך	-	-
w0535	קובץ	תיק	להגיש
w0498	לגלות	-	-
w3904	נאמן	איתן	-
w1235	לחשב	-	-
w0981	פציעה	-	-
w1539	מסחר	לסחור	מקצוע
w0378	איפה	היכן	-
w2228	אציל	-	-
w1948	לפתל	תפנית	-
w1042	קבוע	-	-
w0969	לא חוקי	-	-
w1877	לשחזר	לשקם	-
w0295	שירות	לתחזק	-
w0368	לחכות	המתנה	-
w1661	כל הזמן	-	-
w1216	סמכות	רשות	-
w0729	נותן חסות	לתת חסות	-
w1881	טקס	טקסי	-
w0861	מצב	תנאי	-
w2643	בעיקר	-	-
w3836	נוגע ללב	מרגש	-
w1465	מורד	למרוד	-
w2178	לשלב	להשתלב	-
w0431	בסיס	לבסס	-
w0676	אקראי	-	-
w2577	פנימי	פנים	-
w3402	עש	-	-
w0055	ילד	-	-
w0484	חושך	-	-
w1590	להשפיע	-	-
w0076	עמוק	-	-
w2092	לשכפל	העתק	-
w3313	מתכלה	מיותר	-
w2935	לכן	-	-
w3618	הסכמה	-	-
w1721	התרחבות	הרחבה	-
w0539	פרח	לפרוח	-
w0649	פאניקה	להיבהל	-
w1040	ביצוע	הופעה	-
w0469	שיחה	-	-
w1119	דומה	-	-
w0456	לשנות	שינוי	עודף
w2968	צומת	חיתוך	-
w1177	אלים	-	-
w0362	עד עכשיו	עד כה	-
w2678	חזרה	-	-
w0953	אשם	-	-
w0393	סופר	כותב	-
w3145	פסק דין	הכרעה	-
w0218	צפון	-	-
w1551	לא רשמי	-	-
w2429	לכבוש	להתגבר על	-
w0551	שער	-	-
w0351	כרטיס	דוח	-
w0388	עם	-	-
w0859	מורכב	מתחם	קומפלקס
w0438	דבורה	-	-
w1193	מזגן	-	-
w1906	סקיצה	לשרטט	-
w2033	מועמד	-	-
w2536	זעם	-	-
w3282	עקירה	תזוזה	-
w1262	המשך	-	-
w2197	הגבלה	מגבלה	-
w2917	פטרייה	-	-
w2266	מדויק	-	-
w3062	פתגם	-	-
w1983	להעריץ	-	-
w3117	נוקשה	קשיח	-
w2000	מתאים	הולם	-
w0258	מתנה	להציג	נוכח
w0717	עשן	לעשן	-
w1116	ביישן	להירתע	-
w1371	חף מפשע	תמים	-
w3256	מנומס	-	-
w0808	כתוצאה מכך	-	-
w2148	אולם התעמלות	חדר כושר	-
w1421	פעולה	ניתוח	מבצע
w1616	מחסום	חסם	-
w0980	השפעה	להשפיע	-
w3793	קפדני	דקדקן	-
w3226	להתחיל	-	-
w0735	אבן	-	-
w1440	בעבר	קודם לכן	-
w2231	רומן	חדשני	-
w1716	להתפתח	-	-
w3509	קיפאון	עצירה מוחלטת	-
w3693	לחוקק	-	-
w3205	אגן	כיור	-
w2716	כיריים	תנור	-
w3255	יחד עם	בשילוב עם	-
w1863	התייחסות	מקור	המלצה
w1754	לזהות	להזדהות	-
w1872	להזמין מראש	לשמור	רזרבה
w1454	פשיטה	לפשוט על	-
