w1309	לככללל	אפילו וזוגי הנפוצים; השאר נדיר
w1478	לככל	העתק ודגם; מדויק אותו מובן
w1908	ככ	פועל ושם עצם נפוצים
w1287	כלכ	חיסרון כתיב חלופי לחסרון
w1621	לככ	ריק וחלל ריק; רווח שגוי
w1720	ככ	יוצא ועומד שני המובנים
w2255	כלכל	פועל ואישור; להתיר ורישיון כפולים
w1801	ככל	מידה ולמדוד; אמצעי שלישי
w1793	לכלכ	יומן ובול עץ הנפוצים
w2206	ללככל	לשמור על ולתחזק; לגרוס נדיר
w1400	כללללכ	שכל ואכפת; השאר מובנים נדירים
w1367	ככ	שני התרגומים הנפוצים
w2123	לכלכ	מפואר ולחבב; מחבב אותה מילה
w2054	ככ	שני המובנים הנפוצים
w1815	ככ	שני המובנים הנפוצים
w1623	ככ	יוצא ועומד שני המובנים
w1697	ככ	שני התרגומים הנפוצים
w2286	ללככל	נשאר ושרידים; השאר צורות
w1833	ככ	המקום והמקצוע שני המובנים
w1257	ככ	שני התרגומים הנפוצים
w1432	ככל	פיגמנט תעתיק; שניים ראשונים מספיקים
w1663	לככ	מכיל צורה של להכיל
w2276	כלכ	תכונה ורכוש; נכס חופף לרכוש
w2009	כלכ	להשתתף ולטפל; נוכח חופף
w1903	כלכ	ניכר ומשמעותי; חשוב חופף
w2263	כלכ	בעלות ורכוש; חזקה משפטי נדיר
w1781	ככ	להמציא ולבדות שני המובנים
w1807	כללכ	בן תמותה וקטלני; אנושי שגוי
w2361	ככ	שני התרגומים הנפוצים
w1402	ככל	שר וכומר; השלישי אותה מילה
w2152	ללככ	קשה וחמור; אכזרי ונוקשה חופפים
w1741	לככל	להשיג ורווח; להוסיף שגוי
w1469	כל	מחזור כתיב חלופי למיחזור
w2243	ככ	שני התרגומים הנפוצים
w2344	ככ	שני התרגומים הנפוצים
w2338	כל	בתור התחלה נוסח חלש
w1660	לככ	קבוע ומתמיד; רצוף חופף
w2005	ככל	לגבי רופף מדי
w1842	כלכ	עיקרי וראשוני; יסודי צר
w1225	ללכלכ	מלבד וחוץ מזה; השאר חופפים
w1465	ככ	שם עצם ופועל
w2207	לככ	מנדט ולחייב; ייפוי כוח צר
w2325	ככ	שני המובנים הנפוצים
w1747	לככ	לברך ולקבל פנים; לקדם חופף
w1389	ככ	שני התרגומים הנפוצים
w2075	ככל	להקדיש צורת פועל אחרת
w1652	לככ	פרסומת ומסחרי; סרטון אותו מובן
w1525	ככל	סימן רחב מדי
w1493	ככ	שני התרגומים הנפוצים
w2239	לככ	מידי פעם כתיב שגוי
w1429	כלכ	מפלגה ומסיבה; צד נדיר
w1764	ללככ	סימן ואינדיקציה; סימן ל- צורה
w2000	ככ	שני התרגומים הנפוצים
w1474	ככ	שני התרגומים הנפוצים
w2148	ככל	אולם התעמלות אותו מובן
w2137	ככ	שני המובנים הנפוצים
w2188	ככל	שיפוט שלישי בתדירות
w2346	ככ	שני המובנים הנפוצים
w1767	ככ	שני המובנים הנפוצים
w1443	לככל	קדום ופרימיטיבי; קדמוני חופף
