key	t
H4.לולי	א
H4.לולא	א
H12.מסכ	ש
H26.פאב	ש
H52.שלל	פ
H80.ענפ	ש
H83.כעס	ש
H83.חמה	ש
H83.זעמ	ש
H85.שקט	ת
H87.שזר	פ
H108.חלפ	ש
H109.סרב	פ
H123.הובס	פ
H123.נוצח	פ
H123.הוכה	פ
H125.מובנ	ת
H127.שומר	ש
H136.ברר	פ
H154.חור	ש
H154.בור	ש
H159.מעט	א
H163.נבל	פ
H164.הרס	ש
H168.משל	פ
H172.קול	ש
H172.רעש	ש
H177.שקט	פ
H177.דממ	פ
H186.זקט	ש
H196.קרה	פ
H214.אושר	ש
H221.בער	פ
H221.רדפ	פ
H223.עלה	פ
H225.סגר	פ
H225.נעל	פ
H229.העז	פ
H235.יאה	ת
H235.הכה	פ
H235.דפק	פ
H243.ענפ	ש
H243.זרד	ש
H256.כור	ש
H257.שקר	ש
H257.כזב	ש
H264.קצר	ת
H265.דוחה	ת
H268.מחק	פ
H272.אוצר	ש
H283.הורמ	פ
H283.הונפ	פ
H285.סדק	ש
H304.גרב	ש
H305.פיה	ש
H310.הרס	פ
H310.בזז	פ
H319.נחת	ש
H331.רופס	ת
H334.רסנ	ש
H345.סוחר	ש
H360.נחל	ש
H360.נהר	ש
H364.זרה	פ
H366.מורא	ש
H369.נקי	ת
H375.גהר	פ
H376.ספר	ש
H395.רומה	פ
H410.טבל	פ
H411.נותר	פ
H421.כעס	פ
H425.נקי	ת
H428.הונה	פ
H434.בושה	ש
H447.זקנ	ת
H450.בושה	ש
H451.בלה	ת
H451.נובל	ת
H452.ירח	ש
H456.רותח	ת
H462.מטפ	ש
H467.נמל	ש
H471.רובד	ש
H473.אסמ	ש
H496.פגע	פ
H505.טוסט	ש
H505.קלי	ש
H515.גדר	ש
H516.קצת	א
H523.סופ	ש
H526.קטנ	ת
H527.נוכל	ש
H550.מדפ	ש
H559.זעמ	פ
H559.כעס	פ
H559.רגז	פ
H565.קלל	פ
H567.כואב	ת
H568.עצב	ש
H588.רגע	ש
H593.נטפ	פ
H604.סודי	ת
H611.פוחד	ת
H612.אבד	פ
H621.חרב	ש
H624.לובי	ש
H628.סלח	פ
H629.פחמ	ש
H638.חודר	ת
H646.מרח	פ
H656.ברח	פ
H660.ישר	ת
H665.רועש	ת
H675.שמח	פ
H681.מצח	ש
H690.יבש	ת
H695.בוסר	ש
H703.אפס	ש
H721.רוגז	ש
H723.שוקת	ש
H724.מדד	ש
H727.צרה	ש
H744.זקנ	ת
H766.לגמ	פ
H766.שתה	פ
H796.זוממ	ת
H801.כעס	ש
H801.זעמ	ש
H801.רוגז	ש
