w2598	כלכל	שוליים והפרש; מרווח ורווח משניים
w3091	כל	להחיות מחדש; השני אותה מילה
w3598	ככ	שני תרגומים נפוצים לקודר
w3687	ככל	לחמוק ולהתחמק; לברוח רחוק
w3075	כלכ	לתרגל וחזרה; לחזור לבדו עמום
w2737	ככ	לשדר ולהעביר שני המובנים
w3763	ככ	עבירה והפרה שקולות
w3816	ללכ	כל-יודע; השאר נטייה או צירוף
w2839	לככל	כנס ומוסכמה; אמנה משנית
w3391	ככל	בקתה ולהתאכסן; אכסנייה משנית
w3582	ככ	לפייס ולהרגיע שני המובנים
w2381	ככ	ייסורים וסבל שקולים
w2522	ככ	נאמן ומדויק שני המובנים
w2822	ללככ	בושם ואודקולון; קולון שגוי
w3907	לככ	סכסוך ומאבק; עימות משני
w2715	לכללכ	גבעול ולעקוב; השאר צורה או משני
w2892	כלכ	עיזבון ואחוזה; נכס רחב
w2619	לכלכ	עבירה ועלבון; התקפה משנית
w3882	לככל	לבחון ולבדוק בקפידה; עבר נטייה
w3643	ככ	דיון ושיקול דעת שני המובנים
w2705	כלכ	במקביל ובו-זמנית; כתיב כפול
w2890	כל	חובב; נלהב אותה מילה
w2848	ככ	חץ ולזנק שני המובנים
w3243	לככ	לאחד ולבסס; לגבש משני
w3923	ככלל	מיוסר ולענות; לייסר נטייה
w3005	לככ	חפרפרת ושומה; מרגל משני
w3100	ככלל	להתיישב וליישב; השאר משניים
w2641	לככ	חיזוי ותחזית; ניבוי נדיר
w2431	ככ	תוצאה והשלכה שקולות
w3019	כללכל	חדר תינוקות ומשתלה; השאר גן
w2810	כלכ	קייטרינג ולספק; לשרת רחוק
w2510	כלכ	יוצא דופן ומצוין; מעולה כפול
w2544	ככ	מצרכים ומכולת שני המובנים
w3867	לכ	הורד בדרגה; השני נטייה
w3602	כלכ	לגייס תמיכה ולסקור; לבדוק כללי
w3058	ככל	בולט ונודע; חשוב רחב
w2961	ככ	לחדור ולהסתנן שקולים
w2433	ככ	עקבי ותואם שני המובנים
w3419	ככל	להתמצא ולכוון; מזרח משני
w3757	לככל	בטעות ובשוגג; השאר כפילות
w2734	ככל	הטיה ולהטות; שיפוע רחוק
w2673	לככ	לקשר ולהתייחס; לספר משני
w3420	ככלל	לנבוע והתחיל; השאר משניים
w3934	ככ	סדרן וללוות שני המובנים
w2407	ככל	להזהיר וזהירות; אזהרה נגזרת
w3363	ככל	לגרום ולשכנע; לייצר רחוק
w2687	ככל	תיקון ובדיקה לשיפור; עדכון משני
w2897	כללכ	גלות ולהגלות; לגרש משני
w3916	ככלל	להכתים ולזהם; להכפיש חזק
w2587	ככ	שני מבנים שקולים
w3365	כלכ	להסיק ומשתמע; נגזר משני
w3393	כללכ	קרשים ועץ בניין; ריבוי כפול
w2918	ככ	שני קישורים שקולים
w3455	לככ	פוטנציאלי ועתידי; צפוי רחב
w3572	לללככ	לנער ולהסעיר; השאר משניים
w3831	ככל	מתקבל על הדעת וסביר; אמין משני
w3501	ככ	לזנק ולהאמיר שקולים
w3376	ככל	תככים ולסקרן; קנוניה כפול
w2921	ככל	להעיף מבט ומבט חטוף; מבט רחב
w3104	ככל	תצפית ואיתור; מראה שגוי
