w0723|KK|שני מובנים נפוצים
w0724|KLL|דיבר אותה מילה מוטה; לנאום נדיר
w0725|KK|שם עצם ופועל נפוצים
w0727|KL|חריף רווח; פיקנטי משני
w0729|KK|פועל ושם עצם נפוצים
w0731|KLK|לפזר מובן שונה
w0736|KK|פועל ושם עצם נפוצים
w0739|KLKL|כבר שני כ; פחלץ נדיר לדחוס עודף
w0741|KK|שני ניסוחים נפוצים
w0742|KK|להציע ולרמז נפוצים
w0749|KL|כתיב מלא/חסר אותה מילה
w0750|KK|פועל ושם עצם נפוצים
w0753|KK|שני תרגומים נפוצים
w0754|KK|שתי מילים נפוצות
w0755|KK|פועל ושם עצם נפוצים
w0757|KL|להתנשא פועל נדיר
w0759|LK|מזיק כללי מדי לא מדויק
w0761|LKK|לנצור ספרותי; להוקיר ואוצר נפוצים
w0762|KLK|כבר שני כ; משולש שונה
w0763|KL|תאום יחיד אותה מילה
w0770|KK|שני תרגומים נפוצים ומדויקים
w0772|KK|פועל ושם עצם נפוצים
w0773|LKLLK|כבר שני כ; היתר שונה
w0774|KK|פועל ושם עצם נפוצים
w0776|KL|גרסה יחיד אותה מילה
w0781|KK|שם עצם ופועל שונים נפוצים
w0783|KLK|כובד כפול משקל
w0784|LKLKLLL|זמן וניגוד; שאר כפילות או נדיר
w0787|KK|חומר ויער נפוצים
w0788|KLK|כלל עולמי פחות שגור
w0790|LK|תחום מובן שונה מאזור
w0792|KK|שני ניסוחים נפוצים
w0793|KKL|לא סביר ניואנס חלש
w0795|LK|מקרה זה מקרה לא תאונה
w0796|KKL|בהתאם ל רשמי; שניים כבר
w0797|KLK|בצד השני חופף למעבר ל
w0804|LKKLL|אזעקה ולהבהיל מרכזיים
w0805|KK|שני תרגומים מדויקים
w0808|KL|כתוצאה לבד חלקי
w0810|LLKK|אטרקטיבי ומושך מרכזיים
w0813|LKK|להעניק ופרס מרכזיים; להעניק פרס כפילות
w0814|LKKLL|בצורה גרועה ומאוד מרכזיים
w0815|KLKL|לאזן ואיזון מרכזיים; יתרה ושיווי משקל צרים
w0819|KLLKL|קצב ולהכות מרכזיים; שאר כפולים/צרים
w0823|KL|מוצא זה מקור לא לידה
w0825|KKL|עיוור ולסנוור מרכזיים; תריס מובן נפרד
w0826|KLKLL|חסימה ולחסום מרכזיים; לבנה גוש חלק צרים
w0828|KK|פועל ושם עצם נפוצים
w0830|KL|להתמודד פועל נדיר לא מדויק
w0831|KLKLLLL|לבנות מובן בנייה; חטוב מובן גוף שונה
w0833|LKK|ללכוד ולכידה מרכזיים; לצלם צר
w0835|KK|שני תרגומים נפוצים
w0836|KL|מצודה זה fortress שונה מטירה
w0837|KK|תא ביולוגי וסוללה חשמלית נפוצים
w0840|KKL|אתגר ולאתגר מרכזיים; לערער משפטי
w0843|KK|שם עצם ופועל נפוצים
