יחידה	#	מילה מנוקדת	מילה	שורש	מוצא	סטטוס	מקורות	הערה
1	1	אוּלָם	אולם	אולם	ויקינתונים (CC0)	אומת			L63769
1	2	בְּרַם	ברם	ברם	ספריא · נחלת הכלל	שוכתב			Machberet Menachem, Letter Bet 62:2 (Mahberet Menahem, London, 1854. [he])
1	3	שֶׁכֵּן	שכן	שכן	ויקינתונים (CC0)	אומת			L219645
1	4	הוֹאִיל וְ־	הואיל ו	יאל	ויקינתונים (CC0)	אומת			L207001
1	5	בְּשֶׁל	בשל	בשל	ויקינתונים (CC0)	שוכתב			L205971
1	6	בְּגִין	בגין	בגין	ויקינתונים (CC0)	אומת			L489885
1	7	לְפִיכָךְ	לפיכך	לפיכך	ויקינתונים (CC0)	אומת			L492156
1	8	אֵפוֹא	אפוא	אפוא	ויקינתונים (CC0)	שוכתב			L492148
1	9	אַף שֶׁ־	אף ש	אף	ספריא · נחלת הכלל	אומת			Etz Yosef on Shir HaShirim Rabbah 1:16:1:3 (Midrash Rabbah, with Etz Yosef, Warsaw, 1867 [he])
1	10	הֲגַם שֶׁ־	הגם ש	הגם	ספריא · נחלת הכלל	אומת			Malbim on Exodus 5:18:1 (Mikraei Kodesh, Vilna, 1891 [he])
1	11	חֶרֶף	חרף	חרפ	ויקינתונים (CC0)	שוכתב			L211176
1	12	אִלְמָלֵא	אלמלא	אלמלא	ויקינתונים (CC0)	שוכתב			L492124
1	13	לוּלֵא	לולא	לולא	ויקינתונים (CC0)	אומת			L492153
1	14	לִכְאוֹרָה	לכאורה	לכאורה	ויקינתונים (CC0)	שוכתב			L492154
1	15	כִּבְיָכוֹל	כביכול	כביכול	ויקינתונים (CC0)	אומת			L492018
1	16	אָמְנָם	אמנם	אמנ	ספריא · נחלת הכלל	שוכתב			Metzudat Zion on Job 19:5:1 (On Your Way [he])
1	17	דְּהַיְנוּ	דהינו	דהיינו	ספריא · נחלת הכלל	שוכתב			Kitzur Shulchan Arukh 60:13 (Torat Emet 357 [he])
1	18	מִנֶּגֶד	מנגד	נגד	ויקינתונים (CC0)	אומת			L213452
1	19	יֶתֶר עַל כֵּן	יתר על כן	יתר	ספריא · נחלת הכלל	שוכתב			Ritva on Yevamot 37b:1 (Chidushei HaRitva Yevamot; Lvov, 1861. [he])
1	20	אַדְּרַבָּא	אדרבא	אדרבא	ספריא · נחלת הכלל	אומת			Rashba on Eruvin 71a:1 (Gerlitz edition, published by Oraita [he])
1	21	עַל כָּרְחוֹ	על כרחו	כרח	ספריא · נחלת הכלל	אומת			Gur Aryeh on Bamidbar 22:18:2 (Gur Aryeh, Machon Yerushalyim, 1989-1995 [he])
1	22	בְּדִיעֲבַד	בדיעבד	דיעבד	ויקינתונים (CC0)	אומת			L491991
1	23	לְכַתְּחִלָּה	לכתחלה	תחל	ספריא · נחלת הכלל	שוכתב			Maharam Schiff on Gittin 4a:6 (Vilna Edition [he])
1	24	פָּזִיז	פזיז	פזז	ויקינתונים (CC0)	אומת			L216609
1	25	נִמְהָר	נמהר	מהר	ויקינתונים (CC0)	אומת		הוחזר בסבב 1 · אומת בהפרכת-המכהן	L214685
1	26	מָתוּן	מתון	מתנ	ויקינתונים (CC0)	אומת			L213990
1	27	וַתְרָן	ותרן	ותר	ויקינתונים (CC0)	שוכתב		הוחזר בסבב 1 · הופרך בהפרכת-המכהן ונכתב מחדש	L210327
1	28	דַּעְתָּן	דעתן	ידע	ויקינתונים (CC0)	שוכתב			L206711
1	29	שַׁחְצָן	שחצן	שחצ	ויקינתונים (CC0)	אומת			L219424
1	30	יָהִיר	יהיר	יהר	ויקינתונים (CC0)	שוכתב			L211641
1	31	עָנָו	ענו	ענו	ויקינתונים (CC0)	שוכתב			L80557
1	32	קְפָדָן	קפדן	קפד	ויקינתונים (CC0)	אומת			L218391
1	33	רַשְׁלָן	רשלן	רשל	ויקינתונים (CC0)	אומת			L219146
1	34	חָפוּז	חפוז	חפז	ויקינתונים (CC0)	אומת			L211074
1	35	נוֹעָז	נועז	עזז	ויקינתונים (CC0)	שוכתב			L214280
