w3383	ככ	כביסה והלבנת כספים שני מובנים
w3813	כלכ	לערוך צורה חסרה של לערוך טקס
w3886	לככ	עטיפה כללית מדי מול תכריך
w2820	ככ	שני ניסוחים תקניים לארון קבורה
w3492	לככ	משכך שייך לכאב לא להרגעה
w2442	ככ	אבן פינה מילולי יסוד מושאל
w3516	כלכל	חזק ויציב גנריים מול חסון
w2997	כלכ	מתון חוזר על קל
w3839	לכ	דורות הבאים חסר יידוע
w3514	כללכל	כפילות שבץ ליטוף שם מכה נדיר
w3554	ככלל	למתוח ולפתל משניים לרוח וללפף
w3672	כלכ	להשמיץ דיבה לא המעטה בערך
w2654	לככ	רעד צורת שם של לרעוד
w3444	ככל	תחזיתי אינו שימוש רווח
w3930	לככ	מהפך היפוך לא טלטלה
w3615	ככ	מתואם ומשותף שני המובנים
w2748	כלכ	נורא הגברה בדיבור בלבד
w3508	ככ	תקנון והאחדה שני המובנים
w2618	כלכ	פוגע נדיר כשם עצם
w3370	ככ	חקירה רשמית ובירור מידע
w3637	כל	הגיע לשיא צורת עבר
w3520	ככ	מחליף ויורש שניהם רווחים
w3523	ככ	אוהד ומבין שני המובנים
w3166	ככ	מורגל ורגיל שניהם רווחים
w2597	לככ	ייצר צורת עבר של לייצר
w2627	כל	יותר מידי שגיאת כתיב
w2974	ככ	שרת ואב בית שניהם רווחים
w3797	כללכ	עגום וקודר חוזרים על עגמומי
w3850	כלכ	הביא לידי חוזר על לגרום
w2479	ככל	התפלגות מובן סטטיסטי מקצועי
w3902	כללללכל	קודר ובוטה בלבד השאר נדירים
w3627	ככל	סברה דעה לא השערה
w2694	ככל	הגנה צורת שם של להגן
w3202	ככל	לחזק חיזוק לא הגדלה
w2535	ללככ	תכוף כתואר ולפקוד כפועל
w2531	ככ	נוזל שם ונזיל תואר
w3731	ככלל	עקר ונטול סיכוי משניים
w3300	ככ	לגייס יוצא ולהתגייס חוזר
w3706	ככ	לזרז ולהאיץ שניהם רווחים
w3481	ככ	לעג שם וללעוג פועל
w3417	ככ	לקזז פועל וקיזוז שם
w2906	ללככלללל	קנס ומשובח השאר גוונים משניים
w2757	ככל	אפוד צורת זכר של אפודה
w2799	ככלל	חשוף בינוני של לחשוף ריק משני
w3193	ככ	תיבת נח וארון הברית
w3879	לככל	קשקשים של דג כפילות סולם משני
w3745	ככ	תשומת לב שם ולשים לב פועל
w3755	לככ	לסבך כללי מדי מול להפליל
