1	27	וַתְרָן	מתפשר בקלות, אינו עומד על שלו	מעגליות: מוותר הוא נגזרת שקופה של ותרן
1	124	גְּנַאי	קלון, דבר מביש	מעגליות: גינוי הוא אותו שורש של גנאי
2	7	לְשֶׁעָבַר	לפנים, קודם לכן	מעגליות: בעבר מכיל את גוף המילה לשעבר
2	77	נָאַץ	גידף, חירף, ביזה	
3	194	כִּיבֵּד	הוקיר, רחש הערכה; טאטא (כיבד את הבית)	
4	36	נִתַּר	קפץ בפתאומיות, זינק (ניתר ממקומו)	אין מקור שקושר בהלה;
4	100	כְּסוּת	בגד, לבוש (מזון וכסות)	
4	140	רוֹכֵל	סוחר נודד המציע סחורתו	מעגליות: מרכולת מאותו שורש של רוכל
4	183	צַר עַיִן	מקנא בטובת זולתו, קמצן	
4	190	יָצָא מִגִּדְרוֹ	התרגש עד אובדן שליטה; עשה מאמץ מיוחד	
4	202	מְגֻלָּם	טמון, כלול; מוצג בידי שחקן	מיוצג אינו נרדף למגולם באף מקור, ומוכל בתוך הוא שבר
5	24	גָּלַל	הניע חפץ בסיבוב; סיפר בפירוט (גולל פרשה)	מעגליות: גלגל נגזרת שקופה של גלל
5	40	הִשִּׂיא	חיתן, קידש בני זוג (השיא את בתו)	נתן נשען על צירוף יחיד ומיוחס להומוגרף השיא בשין; חיתן היא המרכזית
6	143	הָלַם	התאים ויאה (הולם אותה); הכה בעוצמה	הקולוקציה הולם אותה שייכת למשמעות התאים ולא להכה
6	146	מֶחֱוָה	תנועת גוף המביעה כוונה; מעשה סמלי של רצון טוב	
7	41	אַשְׁפַּתּוֹת	ערמות של פסולת וזבל (הרים מאשפתות)	
7	89	נָשָׂא וְנָתַן	התמקח, דן בתנאים	מעגליות: "משא ומתן" הוא בדיוק צורת השם של הערך עצמו
7	177	צִחְצוּחַ חֲרָבוֹת	איומי מלחמה, הכנות לקרב	
8	26	כִּמְדֻמֶּה	לכאורה, ככל הנראה	מעגליות: "שנדמה" נגזרת שקופה של "מדומה"
8	43	אֶרֶץ לֹא זְרוּעָה	מדבר שממה, אדמה שלא עובדה	אף מקור לא תומך ב"תחום לא נחקר"; כל המקורות: מדבר, אדמה שלא עובדה
9	159	סַנְוֵרִים	עיוורון פתאומי מאור חזק (הוכה בסנוורים)	מבוהל לא נתמך באף מקור, וחסר האור החזק שגורם לעיוורון
9	171	הֶחֱזִיר עֲטָרָה לְיָשְׁנָהּ	השיב דבר לתפארתו הקודמת	
10	52	לַעַג לָרָשׁ	לגלוג על עני חסר אונים (כלעג לרש)	התעללות אינה לעג וחלש אינו עני
10	85	אִישׁ קְּצָווֹת	אדם קנאי ומופרז בדעותיו	
10	113	רִפְיוֹן יָדַיִּם	חולשה, חוסר מרץ ונפילת רוח	יאוש לבדו מחמיץ את חוסר הכוח והמרץ
10	129	אור יקרות	זוהר נעים ובהיר; יחס מחמיא (הציג באור יקרות)	ההגדרה מחמיצה את המשמעות המילונית
10	150	אתרע מזלו	לא שפר עליו גורלו	מעגליות: ההגדרה מכילה מזלו מתוך הערך עצמו
10	166	רחת	כלי חקלאי לזריית תבואה, מזרה	
