w2206	לשמור	לתחזק	לטעון
w0249	מקום	להניח	-
w0426	אסטרונומיה	-	-
w2907	יציב	תקיף	חברה
w1459	דרגה	לדרג	-
w2908	קטעי וידאו	-	-
w0946	גן	-	-
w1618	להתנהג	-	-
w3801	זניח	-	-
w2079	פיקדון	להפקיד	מקדמה
w2684	להמשיך	קורות חיים	-
w0091	אנרגיה	מרץ	-
w0811	זמין	-	-
w3894	לבקש	לגייס	-
w1794	בודד	-	-
w2415	לשתף פעולה	-	-
w3576	קסם	לפתות	-
w1355	פעימת לב	-	-
w0929	חום	קדחת	-
w1316	לרגש	להלהיב	-
w2738	משדר	-	-
w1065	התקדמות	להתקדם	-
w1443	פרימיטיבי	קדמוני	-
w2617	אירוע	הזדמנות	-
w3508	לתקנן	להאחיד	-
w0891	להיעלם	-	-
w0406	כתובת	לטפל	לפנות
w3711	להקל	לאפשר	-
w0034	מאחורי	באיחור	-
w1122	להאט	-	-
w1843	עיקרון	-	-
w2499	להירשם	-	-
w0237	כאב	לכאוב	-
w1499	מדף	-	-
w1709	לעודד	-	-
w0833	ללכוד	לצלם	לכידה
w2741	יחידה	-	-
w0952	מדריך	להדריך	-
w2119	מתקן	קלות	-
w0399	שישי	-	-
w3900	משתרע	-	-
w1187	למעשה	בעצם	-
w1334	טביעת אצבע	-	-
w1729	נשי	-	-
w2188	שיפוט	שיקול דעת	פסק דין
w1648	צוק	-	-
w2554	צנוע	-	-
w0296	חנות	לקנות	-
w1132	תקן	סטנדרטי	-
w2534	תדירות	תדר	-
w0706	להקים	לארגן	-
w3366	דלקת	-	-
w1117	אות	לאותת	-
w1778	כוונה	-	-
w2352	בלתי נתפס	-	-
w0010	להסכים	-	-
w0912	סביבה	-	-
w3505	מחזה	משקפיים	-
w0253	לשחק	מחזה	-
w2424	הבנה	-	-
w0328	חזק	-	-
w1221	חיידק	-	-
w1250	חכם	פיקח	-
w2621	מסודר	-	-
w2203	מילות שיר	לירי	-
w0486	הגנה	-	-
w2856	מטורף	-	-
w3068	בילוי	שחזור	-
w0868	אומץ	-	-
w0937	טיפש	לרמות	-
w0042	לקנות	-	-
w1441	כומר	כהן	-
w3446	לרשום	להורות	-
w0036	טוב	לשפר	-
w2569	תשתית	-	-
w2425	לדחוס	-	-
w3115	להגות	לכוון	-
w0462	מעגל	להקיף	-
w2399	מודעות	-	-
w1979	חשבון	תיאור	להסביר
w1888	שמועה	-	-
w1227	מעבר ל	-	-
w3747	לבשר	מבשר	-
w1219	מודע	-	-
w0305	אדוני	-	-
w1532	תיאורטית	-	-
w2064	מועצה	-	-
w0765	מכוער	-	-
w0223	אוקיינוס	-	-
w1782	השקעה	-	-
w2548	להטריד	-	-
w3179	לתקן	-	-
w0480	לחצות	צלב	כועס
w1325	אגדה	-	-
w1604	לצרף	לחבר	-
w2768	להשיג	להשלים	-
w1416	מספרי	-	-
w2691	יריבות	-	-
w1523	לסמל	-	-
w3314	הוצאה	-	-
w0527	הסבר	-	-
w3397	בינוני	-	-
w2977	להישען	רזה	-
w2367	פגיע	-	-
w0119	כוח	לאלץ	-
w0191	ארוחת צהריים	-	-
w0494	רודן	-	-
w0529	קיצוני	-	-
w0835	לשאת	לסחוב	-
w3219	חלל	עששת	-
w3877	בסיסי	-	-
w3016	מושג	רעיון	-
w1943	לכיוון	לעבר	-
w2638	לדחות	-	-
w1461	במקום	-	-
w0278	עשיר	-	-
w1075	זעם	לזעום	-
w1812	מטרה	אובייקטיבי	-
w1508	דובר	רמקול	-
w3275	לנבוע	להפיק	-
w0703	חוש	תחושה	לחוש
w0374	סוף שבוע	-	-
w1772	בתחילה	-	-
w1953	מצער	ביש מזל	-
w1389	סביר	קרוב לוודאי	-
w0834	בזהירות	-	-
w3070	להישנות	לחזור	-
w2016	לכופף	עיקול	-
w0225	כמובן	-	-
w0847	לטפס	-	-
w0890	במאי	מנהל	-
w0967	להתעלם	-	-
w2884	לצוץ	להופיע	-
w0478	ליצור	-	-
w0897	לגרור	-	-
w1081	לאחרונה	-	-
w1466	נולד מחדש	-	-
w2630	להשתתף	-	-
w1402	שר	כומר	-
w1344	נוסף	רחוק יותר	לקדם
w2663	חוזר	-	-
w3057	לאסור	-	-
w2227	לנהל מו"מ	להתמקח	-
w2222	אדיר	כביר	-
w2775	מעורר הערצה	מרשים	-
w3497	לעיתים רחוקות	-	-
w3174	אצה	-	-
w3002	מתון	למתן	-
w3081	לדחות	להדוף	-
w0520	למרות ש	-	-
