w2777	כללללכ	לתמוך/תומך אותה מילה; פרקליט נדיר
w2735	ככ	סובלנות ראשי; סבילות טכנית-רפואית
w2669	כלכ	ללא קשר ובכל זאת העיקריים
w3017	כלכ	רדום=dormant; חסר תחושה וקהות
w3335	כלכ	שלושה נרדפים, תקרת שניים
w3291	ככל	לגור=להתגורר צורה כפולה
w2558	ככ	שני נרדפים תקינים ונפוצים
w3779	ללככלל	פקיעה נגזרת מלפקוע; סיום שגוי
w3786	ככ	שני נרדפים ישירים
w3244	לככל	מהווים נטיית להוות; לייסד כפול
w3482	לככ	קשיח ונוקשה עיקריים; מחמיר=strict
w2874	ככ	שם עצם ופועל, שניהם נפוצים
w3876	כלכ	התיאור המפורש כפול לסיבובי
w2400	ככ	שם עצם ופועל נפוצים
w2877	ככ	אלוהי ראשי; לנחש המובן השני
w3436	כללכ	להוות כפול; להתחזות מובן שלישי
w3695	ככל	לסגור=close ולא enclose
w3234	ככ	שני נרדפים נפוצים
w3223	כלכל	נסיבה יחיד של נסיבות; תנאי חלש
w3450	לככ	מאסר על תנאי הוא suspended
w3347	לכ	אותה מילה בשני כתיבים
w3097	ככ	יוצא ועומד, שני מובנים
w3515	ככ	מעידה פיזית וכישלון מטאפורי
w2815	לכ	אותה מילה בשני כתיבים
w3446	ככל	לרשום מרשם הרחבה של לרשום
w3772	לככל	תמיד וללא יוצא; היתר נרדפים
w3313	ככל	מיותר=superfluous ולא expendable
w2570	ככ	שתי מילים תקינות לרכיב
w3237	ככל	נידון בלי מושא צורה כפולה
w3108	ככ	שני נרדפים נפוצים
w3833	כללכ	סכנה שגוי; צרה חלש
w2545	כללכ	הנהגה=leadership; הנחיה חלש
w2640	לככ	לצפות מראש ניסוח מסורבל
w3435	ככל	לצייר מובן מיושן
w2396	לככ	להרשות=allow; לאשר ולהסמיך עיקריים
w3868	לככלל	להפוך ל- נטיית להפוך; לעבד טכני
w3099	כלכ	רגש יחיד; דעה מובן שני
w3791	ככ	שני מונחים תקינים
w3009	לכ	באופן הדדי אותה מילה
w3341	כלכ	להחפז נרדף למהר, תקרת שניים
w3098	ככ	שני נרדפים נפוצים
w3511	לכלללכל	מתח נפשי הרחבה; זן ולנקוע נדירים
w3275	כלכל	לשאוב ולגזור מובנים משניים
w3076	לככ	לבסס=establish ולא reinforce
w2646	ככ	קידום ופרסום שני המובנים
w3533	כלכ	ליזום=initiate ולא undertake
w3522	לכ	לסחוף פעיל; הצירוף סביל
w2589	ככ	שם עצם ופועל נפוצים
w3367	ככל	ההגדרה המילולית כפולה לבלוע
w3719	לכ	חוסר יציבות תוצאה ולא מובן
w2829	ככ	תעתיק ומשמעות, שניהם תקינים
w3640	כלכללל	פגישה ויציאה חלשים; תמר שלישי
w2951	לככ	להטריח מובן שלישי
w2922	ככל	טובין משפטי, תקרת שניים
w2526	כלכ	אכזרי=cruel ולא fierce
w3055	ככלללל	קרן ומנהל בית ספר כפולות
w3336	כלכ	חינני=graceful ולא gracious
w3874	ככ	שני נרדפים נפוצים
w2771	לככלל	לאשר קבלה ולהודות צורות כפולות
w3837	ככ	שני ניסוחים למובן היחיד
