מילה	פירוש היום	למה נדגל	יחידה
own	משלו; בעלות על משהו	מכיל "משהו/מישהו"	1
begin/an/un	להתחיל / התחיל / התחיל	5 מילים במובן אחד	2
while	בזמן ש-, בעוד ש-; ואילו, אף על פי ש-; כל עוד	4 מילים במובן אחד	2
actress	שחקנית (בהצגה או סרט)	4 מילים במובן אחד	3
built	בנה, נבנה (עבר/בינוני פעול של build); בנוי, בנוי היטב	5 מילים במובן אחד	3
fool	טיפש, לשטות במישהו	מכיל "משהו/מישהו"	3
as many as	רבים כמו (מספר גדול)	4 מילים במובן אחד	4
certain	בטוח; מסוים	מכיל "משהו/מישהו"	4
even so	אף על פי כן	4 מילים במובן אחד	4
not only... but also...	לא רק... אלא גם...	4 מילים במובן אחד	4
on one hand...on the other hand	מצד אחד... מצד שני	4 מילים במובן אחד	4
rapid	מהיר; אֶשֶד, זרם מים מהיר בנהר	4 מילים במובן אחד	4
suspect	חשוד (מישהו); לחשוד	מכיל "משהו/מישהו"	4
craft	אומנות, מלאכה; כלי טייס / כלי שייט	5 מילים במובן אחד	5
orbit	מסלול (סביב גרם שמים); להקיף במסלול, לחוג	4 מילים במובן אחד	5
suspicious	חשוד (משהו)	מכיל "משהו/מישהו"	5
account	חשבון; דיווח, תיאור; account for — להסביר; take into account — להתחשב	5 מילים במובן אחד	6
index	מדד; מפתח (רשימת ערכים אלפביתית בסוף ספר)	6 מילים במובן אחד	6
particular	מסוים, ספציפי; מיוחד; (about) קפדן, בררן	מכיל "משהו/מישהו"	6
artifact	חפץ מעשה ידי אדם, מוצג ארכיאולוגי	4 מילים במובן אחד	7
misbehave	להתנהג בצורה לא הולמת	4 מילים במובן אחד	7
outlaw	להוציא אל מחוץ לחוק; פורע חוק	4 מילים במובן אחד	7
revision	בדיקה מחדש לצורך שיפור	4 מילים במובן אחד	7
alternate	חלופי; התחלף, עבר מדבר אחד לשני וחזרה	5 מילים במובן אחד	8
discourage	לשכנע שלא לעשות משהו	מכיל "משהו/מישהו"	8
irresistible	שלא ניתן לעמוד בפניו	4 מילים במובן אחד	8
coexist	להתקיים זה בצד זה, לחיות יחד בשלום	4 מילים במובן אחד	9
ingest	להכניס משהו לגוף דרך הפה	מכיל "משהו/מישהו"	9
overdue	שעבר זמן ההגשה שלו	4 מילים במובן אחד	9
overlooked	לא הבחין, פספס, החמיץ; התעלם; (גם: צפה על מגבוה)	4 מילים במובן אחד	9
ratify	לאשרר, לאשר הסכם או חוזה	4 מילים במובן אחד	9
seismic	ססמי (קשור לרעידות אדמה)	4 מילים במובן אחד	9
abstain	להתנזר, להימנע ממשהו	מכיל "משהו/מישהו"	10
albeit	אף על פי ש, אם כי	4 מילים במובן אחד	10
antler	קרן מסועפת של אייל/צבי	4 מילים במובן אחד	10
concede	להודות (בטעות או בתבוסה); לוותר, להיכנע	4 מילים במובן אחד	10
diurnal	פעיל ביום (הפך ל-nocturnal); יומי, יומיומי	4 מילים במובן אחד	10
embark	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס	5 מילים במובן אחד	10
expatriate	גולה, מי שחי מחוץ למולדתו; לגרש/להגלות מהמולדת	4 מילים במובן אחד	10
extrapolate	לאמוד על סמך מידע קיים	5 מילים במובן אחד	10
incidence	כמות, הִקָּרוּת (משהו שקורה)	מכיל "משהו/מישהו"	10
inconspicuous	לא בולט, לא מושך תשומת לב	4 מילים במובן אחד	10
invariably	תמיד, בכל פעם, ללא יוצא מן הכלל	4 מילים במובן אחד	10
persecution	רדיפה, התעללות (על רקע דת, גזע או פוליטיקה)	4 מילים במובן אחד	10
rotary	נע על ציר סיבובי	4 מילים במובן אחד	10
slate	להכניס מישהו לרשימה; רעף, לוח	מכיל "משהו/מישהו"	10
sprang	קפץ, זינק; נבע, צמח (עבר של spring)	4 מילים במובן אחד	10
sprawling	משתרע על שטח נרחב; מתפשט ללא סדר	4 מילים במובן אחד	10
tinker	להתעסק, לחטט, לנסות לשפר בשינויים קטנים	4 מילים במובן אחד	10
vociferous	קולני, צעקני, המביע דעה בקול רם ובתוקף	5 מילים במובן אחד	10
