מילה	פירוש היום	מה במשפט	ההצעה	מי צריך להשתנות	חוזק	למה
know, knew	לדעת, ידע	הכרתי	לדעת, להכיר; ידע	פירוש	חזק	know מכסה עובדות וגם אנשים. המשפט הוא "knew her from college", ולמובן הזה אין זכר בפירוש
made	עשה	הכינה	עשה, הכין	פירוש	חזק	"made a cake" הוא הכין. המובן חסר
time	זמן	שעה	זמן; שעה, פעם	פירוש	חזק	"what time" הוא שעה. שני מובנים נפוצים חסרים
wait	להמתין, המתנה	לחכות	לחכות, להמתין; המתנה	פירוש	חזק	לחכות היא המילה הרווחת, והיא אינה בפירוש כלל
losing	מפסיד	לאבד	מפסיד, מאבד	פירוש	חזק	lose הוא גם הפסיד וגם איבד. הפירוש נותן אחד
project	לתכנן; פרוייקט, מיזם; להשליך, להקרין	צופים	לחזות, לתכנן; פרויקט, מיזם; להשליך, להקרין	פירוש	חזק	"analysts project" הוא לחזות, וחסר לגמרי. בהזדמנות זו גם הכתיב: פרויקט ולא פרוייקט
senior	בכיר; זקן	הבוגרים	בכיר; בוגר (תלמיד שנה אחרונה); זקן	פירוש	חזק	senior students הוא מובן בית-ספרי נפרד משני המובנים שבפירוש
transform	לשנות צורה	יהפוך	לשנות צורה, להפוך ל-	פירוש	חזק	הפירוש מתאר פעולה ואינו נותן לה מילה. "transform into" הוא להפוך ל-
absent	חסר, לא נוכח	נעדר	נעדר, חסר, לא נוכח	פירוש	חזק	נעדר היא המילה הרגילה להיעדרות מבית ספר, והיא אינה בפירוש
gain	להרוויח, להוסיף	לצבור	להרוויח, לצבור, להוסיף	פירוש	חזק	"gain experience" הוא לצבור ניסיון
twist	סיבוך, סיבוב	תפנית	תפנית; סיבוב, סיבוך	פירוש	חזק	"a surprising twist" בעלילה הוא תפנית
unnecessary	לא הכרחי	מיותרים	מיותר, לא הכרחי	פירוש	חזק	מיותר היא המילה הרווחת, והיא אינה בפירוש
possession	בעלות, חזקה	ברשותו	רכוש, בעלות; חזקה	פירוש	חזק	"his most valuable possession" הוא החפץ עצמו, לא מצב הבעלות. רכוש חסר
align	להסתדר בשורה	יישרו	ליישר; להסתדר בשורה	פירוש	חזק	במשפט זה פועל יוצא ("align the pictures"), והפירוש נותן רק את הצורה החוזרת
equivalent	מקבילה	שווים	שווה ערך, מקביל	פירוש	חזק	הפירוש כתוב בנקבה ואינו נותן את "שווה ערך" שבמשפט
frequent	תדיר, שכיח	תכופות	תכוף, תדיר, שכיח	פירוש	חזק	"frequent trips" הוא נסיעות תכופות
relate	להתייחס, לקשר	מזדהים	להזדהות עם, להתייחס, לקשר	פירוש	חזק	"relate to characters" הוא להזדהות עם
dealt	עסק ב, חולק (קלפים, ניירת)	טיפלה	טיפל ב, עסק ב; חילק (קלפים)	פירוש	חזק	"deal with a problem" הוא טיפל, המובן הנפוץ ביותר, והוא חסר
discourage	לשכנע שלא לעשות משהו	להרתיע	להרתיע, לשכנע שלא	פירוש	חזק	הפירוש הוא תיאור ולא מילה. להרתיע היא המילה
recur	קרה שוב	חוזרת	לחזור ולהופיע, לקרות שוב	פירוש	חזק	הפירוש כתוב בעבר ואינו נותן את הצורה "חוזר" שהמשפט משתמש בה
transcript	תמליל, פרוטוקול	גיליון ציונים	תמליל, פרוטוקול; גיליון ציונים	פירוש	חזק	אותו דפוס בדיוק כמו session: משפט הדוגמה של האפליקציה נותן מובן שהפירוש אינו מכיר
