k	unit	term	gloss	bold	en	he
c6691a1edf79	1	1st - first	ראשון	ראשונה	In the race, she finished <b>first</b>, ahead of everyone else.	היא סיימה <b>ראשונה</b> במרוץ, לפני כולם.
8dcccd288b67	1	2nd - second	שני	השני	She trained all year and placed <b>second</b> in the final race.	היא התאמנה כל השנה והגיעה למקום <b>השני</b> במרוץ הגמר.
0fa9e28b2058	1	3rd - third	שלישי	השלישית	The <b>third</b> time he called, she answered the phone.	בפעם <b>השלישית</b> שהוא התקשר, היא ענתה לטלפון.
44d4accc91a4	1	agree	להסכים	הסכימו	The two friends finally <b>agreed</b> on the best solution.	שני החברים סוף סוף <b>הסכימו</b> על הפתרון הטוב ביותר.
3613373fc883	1	also	גם	וגם	She plays soccer and <b>also</b> plays basketball on weekends.	היא משחקת כדורגל <b>וגם</b> משחקת כדורסל בסופי שבוע.
96dcec095386	1	angry	כועס	כעס	He was <b>angry</b> when they canceled the entire trip.	הוא <b>כעס</b> כשביטלו את כל הטיול.
5696cd2484de	1	animal	חיה	החיה	The small <b>animal</b> ran quickly across the open field.	<b>החיה</b> הקטנה רצה מהר על פני השדה הפתוח.
46d15d022397	1	another	נוסף; אחר	נוספת	She wants <b>another</b> chance to fix her mistake before the deadline.	היא רוצה הזדמנות <b>נוספת</b> לתקן את הטעות שלה לפני המועד האחרון.
58eddd1919f8	1	answer	תשובה; לענות	התשובה	He finally knew the correct <b>answer</b> to the question.	הוא סוף סוף ידע את <b>התשובה</b> הנכונה לשאלה.
35ab92a08751	1	area	אזור, תחום	באזור	The downtown <b>area</b> has many good restaurants and shops nearby.	<b>באזור</b> מרכז העיר יש הרבה מסעדות וחנויות טובות בקרבת מקום.
a0d8308333c3	1	army	צבא	הצבא	The <b>army</b> fought hard to defend the entire country.	<b>הצבא</b> נלחם קשה כדי להגן על כל המדינה.
226c91e8a674	1	ask	לשאול; לבקש	ישאל	He will <b>ask</b> you for help with the project.	הוא <b>ישאל</b> אותך אם תוכל לעזור לו בפרויקט.
b28b52f9976d	1	beginning	התחלה	תחילת	The <b>beginning</b> of winter brings very cold weather here.	<b>תחילת</b> החורף מביאה כאן מזג אוויר קר מאוד.
0d4ade64672d	1	best	הכי טוב	הכי טובה	That is the <b>best</b> pizza restaurant in town here.	זו מסעדת הפיצה <b>הכי טובה</b> בעיר.
01840904cc73	1	boat	סירה	בסירה	He rowed the small <b>boat</b> across the lake yesterday.	הוא חתר <b>בסירה</b> הקטנה על פני האגם אתמול.
640523eda8f7	1	body	גוויה, גוף	הגווייה	Investigators carefully examined the <b>body</b> to learn the cause of death.	החוקרים בדקו בקפידה את <b>הגווייה</b> כדי לגלות את סיבת המוות.
d147acc7a022	1	bought	קנה	קנתה	She <b>bought</b> a new car yesterday at the dealership.	היא <b>קנתה</b> מכונית חדשה אתמול אצל הסוחר.
e0b54574de61	1	brain	מוח, שכל	המוח	Your <b>brain</b> controls everything you do and think daily.	<b>המוח</b> שלך שולט בכל מה שאתה עושה וחושב מדי יום.
4ba9e1165411	1	break	לשבור; הפסקה	תשבור	Do not <b>break</b> the glass or I will be angry.	אל <b>תשבור</b> את הכוס, אחרת אני אכעס.
699ecaade9f5	1	building	בניין	הבניין	The <b>building</b> is very tall and made of steel.	<b>הבניין</b> גבוה מאוד ועשוי מפלדה.
caf7c2bd5955	1	burn	לשרוף, להישרף	יישרף	The candle will <b>burn</b> slowly all night long tonight.	הנר <b>יישרף</b> לאט כל הלילה הערב.
66d807b37f58	1	call	לקרוא, להתקשר; שיחה	אתקשר	I will <b>call</b> you tomorrow morning to discuss the new plan.	אני <b>אתקשר</b> אליך מחר בבוקר כדי לדבר על התוכנית החדשה.
72d04537d4ae	1	camera	מצלמה	במצלמה	She used her new <b>camera</b> to take pictures at the party.	היא השתמשה <b>במצלמה</b> החדשה שלה כדי לצלם תמונות במסיבה.
e1aa44645b4d	1	cash	לפדות; מזומן	יפדה	He will <b>cash</b> the check at the bank tomorrow.	הוא <b>יפדה</b> את הצ'ק בבנק מחר.
e7a142212cf2	1	check	לבדוק	תבדוק	She will <b>check</b> the entire document before submitting it.	היא <b>תבדוק</b> את כל המסמך לפני שהיא תגיש אותו.
74d4be37c87b	1	child	ילד	הילד	The small <b>child</b> is playing outside very happily today.	<b>הילד</b> הקטן משחק בחוץ בשמחה רבה היום.
68f8283bd6d9	1	children	ילדים	הילדים	The <b>children</b> are playing loudly in the park outside.	<b>הילדים</b> משחקים בקול רם בפארק בחוץ.
1360f79f1120	1	church	כנסיה	לכנסייה	The old <b>church</b> has beautiful stained glass windows and history.	<b>לכנסייה</b> הישנה יש חלונות ויטראז' יפים והיסטוריה עשירה.
2a2ab6dc2b39	1	close	קרוב; סגור, לסגור	קרובה	The store is very <b>close</b> to my house here.	החנות <b>קרובה</b> מאוד לבית שלי כאן.
56b9121f27e1	1	club	מועדון	למועדון	He joined the school chess <b>club</b> at the start of this year.	הוא הצטרף <b>למועדון</b> השחמט של בית הספר בתחילת השנה הזו.
bc11047001e0	1	color	לצבוע; צבע	תצבע	She will <b>color</b> the picture with bright green and yellow crayons.	היא <b>תצבע</b> את התמונה בעפרונות ירוקים וצהובים בהירים.
4fc3c5439a00	1	company	חברה	החברה	The <b>company</b> grew quickly and became large and very successful.	<b>החברה</b> גדלה במהירות והפכה לגדולה ומצליחה מאוד.
0d0be786083f	1	continue	להמשיך	תמשיך	She will <b>continue</b> reading the book after dinner tonight.	היא <b>תמשיך</b> לקרוא את הספר אחרי ארוחת הערב הלילה.
af5168e4959b	1	control	לוח בקרה, פיקוח; שליטה, לשלוט	לוח הבקרה	The pilot carefully checked the flight <b>controls</b> before takeoff today.	הטייס בדק בקפידה את <b>לוח הבקרה</b> של הטיסה לפני ההמראה היום.
84a8ec2be8d5	1	cool	קריר, לצנן, צונן; מגניב	תצנן	She will <b>cool</b> the soup before giving it to the baby.	היא <b>תצנן</b> את המרק לפני שהיא תיתן אותו לתינוק.
82cde40a2bda	1	crime	פשע	הפשע	The police investigated the <b>crime</b> and found the missing money.	המשטרה חקרה את <b>הפשע</b> ומצאה את הכסף החסר.
1f71e1ca1c23	1	dance	לרקוד	תרקוד	She will <b>dance</b> all night at the party.	היא <b>תרקוד</b> כל הלילה במסיבה.
94f35ba68880	1	daughter	בת	הבת	His <b>daughter</b> is smart and kind, and she loves to read.	<b>הבת</b> שלו חכמה וטובת לב, והיא אוהבת לקרוא.
892239a870a4	1	death	מוות	מותו	After his grandfather's <b>death</b>, the family gathered to remember him.	אחרי <b>מותו</b> של סבא שלו, המשפחה התכנסה כדי להנציח אותו.
11e0a8ee6bfe	1	deep	עמוק	עמוקים	The water in the lake is very <b>deep</b> here.	המים באגם <b>עמוקים</b> מאוד כאן.
d2cf69355bd2	1	die	מת, למות	ימות	The plant will <b>die</b> if you forget to water.	הצמח <b>ימות</b> אם תשכח להשקות אותו.
5d745c9eac31	1	dirty	מלוכלך	מלוכלכים	After playing in the mud, his clothes were very <b>dirty</b>.	אחרי שהוא שיחק בבוץ, הבגדים שלו היו <b>מלוכלכים</b> מאוד.
8f8883da89e3	1	dream	חלום, לחלום	חולמת	She <b>dreams</b> of traveling around the world one day.	היא <b>חולמת</b> לטייל בעולם יום אחד.
27b4b8591549	1	drink	לשתות, משקה	שותה	I always <b>drink</b> a big glass of water first thing every morning.	אני תמיד <b>שותה</b> כוס גדולה של מים מיד כשאני מתעורר, בכל בוקר.
867fffbcc1c8	1	earth	אדמה; כדור הארץ	באדמה	Plants grow in the <b>earth</b> and need sunlight to survive.	צמחים גדלים <b>באדמה</b> וזקוקים לאור שמש כדי לשרוד.
ef7826c74167	1	East	מזרח	במזרח	The sun rises in the <b>East</b> every morning.	השמש זורחת <b>במזרח</b> בכל בוקר.
a14ab52fcc17	1	enjoy	ליהנות	נהנים	We <b>enjoy</b> spending time with our family on weekends.	אנחנו <b>נהנים</b> לבלות זמן עם המשפחה שלנו בסופי שבוע.
61e183459bf6	1	evening	ערב	בערב	She likes to take a walk in the <b>evening</b> after dinner.	היא אוהבת לצאת להליכה <b>בערב</b> אחרי ארוחת הערב.
98ef4c41afec	1	explain	להסביר	יסביר	The teacher will <b>explain</b> the math problem to the class.	המורה <b>יסביר</b> לכיתה את בעיית החשבון.
a104ac877c29	1	face	פנים; לפנות אל, לעמוד מול; להתמודד עם, לעמוד בפני	הפנים	She washed her <b>face</b> with warm water before going to bed.	היא שטפה את <b>הפנים</b> שלה במים חמים לפני שהלכה לישון.
0bcbe4a84be8	1	family	משפחה	המשפחה	My <b>family</b> likes to eat dinner together every evening.	<b>המשפחה</b> שלי אוהבת לאכול ארוחת ערב ביחד בכל ערב.
1699f2820e17	1	fear	פחד, לפחד	פוחדים	Some people <b>fear</b> spiders even though they are harmless.	אנשים מסוימים <b>פוחדים</b> מעכבישים למרות שהם לא מסוכנים.
a18a1a3d4247	1	feel	להרגיש	מרגיש	I <b>feel</b> happy when I spend time with my best friend.	אני <b>מרגיש</b> שמח כשאני מבלה עם החבר הכי טוב שלי.
1dc41dadd70e	1	feeling	הרגשה	הרגשת	The <b>feeling</b> of happiness was overwhelming after she won.	<b>הרגשת</b> האושר הייתה מציפה אחרי שהיא ניצחה.
e9eeaaa09c90	1	fight, fought	להילחם, להיאבק; לריב	נאבקה	She <b>fought</b> hard to stay awake during the long afternoon lecture.	היא <b>נאבקה</b> קשה כדי להישאר ערה במהלך ההרצאה הארוכה אחר הצהריים.
097f5519631b	1	fire	אש, להצית; לירות; לפטר	האש	The <b>fire</b> burned brightly in the fireplace all night.	<b>האש</b> בערה בעוצמה באח כל הלילה.
