id	תווית	הערה
E01	כ	abavus · אינה מילה
E02	כ	achoeve · אינה מילה
E03	כ	advoxate · אינה מילה
E04	כ	alwsys · אינה מילה
E05	כ	appase · אינה מילה
E06	כ	asert · אינה מילה
E07	כ	autombile · אינה מילה
E08	כ	bertay · אינה מילה
E09	כ	calcluate · אינה מילה
E10	כ	certtain · אינה מילה
E11	כ	cockrroach · אינה מילה
E12	כ	sommunity · אינה מילה
E13	ל	⭐ bend · מילה אמיתית ואחרת. blend≠bend
E14	ל	⭐ cure · מילה אמיתית ואחרת
E15	ל	⭐ genus · מילה אמיתית ואחרת (סוג ביולוגי)
E16	ל	⭐ part · מילה אמיתית ואחרת
E17	ל	⭐ evoke · מילה אמיתית ואחרת. revoke=לבטל, evoke=לעורר
E18	ל	⭐ wing · מילה אמיתית ואחרת
E19	כ	bandages · ריבוי, אותה לקסמה
E20	ל	desperating · אינה צורה קיימת באנגלית. desperate הוא תואר
E21	ל	generaled · אינה צורה קיימת
E22	כ	misbehaves · הווה גוף שלישי, אותה לקסמה
E23	כ	recalling · גרונד, אותה לקסמה
E24	כ	terrified · עבר, אותה לקסמה
E25	כ	"להשפיל" הוא המקטע השני בכרטיס עצמו
E26	כ	"להתקדם" הוא המקטע השני בכרטיס עצמו
E27	כ	"מגונדר" הוא המקטע השני בכרטיס עצמו
E28	כ	"בעצם" הוא המקטע השני בכרטיס עצמו
E29	ל	קללה = curse. בלבול course/curse
E30	ל	"להצטרף" = to join. joint אינו join
E31	ל	"להופיע" · אין קשר ל-raise
E32	ל	"גל" = wave. בלבול weave/wave
E33	כ	"אמיץ לב" · מילה עודפת, אותה משמעות
E34	כ	"ענק" · נרדפת של עצום
E35	כ	"חרישי" · נרדפת של שקט, שהוא המקטע השני בכרטיס
E36	כ	"זריז" · נרדפת קרובה של מהיר. גבולי אבל הלומד יודע
E37	כ	"עתיק יומין" · הגברה של "עתיק", שהוא המקטע השני בכרטיס
E38	?	להחליט→החלטה · פועל→שם פעולה. ראה הערה למטה
E39	?	להרוס→הרס · אותה מחלקה
E40	?	להגיע→הגעה · אותה מחלקה
