הִתְוַדָּה	הודה במעשיו, חשף את סודו	נכתב	ויקימילון	פועל בעבר; נמנע מחפיפה עם ניסוח המקור
חֲבַרְבּוּרָה	כתם בעור של בעל חיים	נכתב	מילוג	אומת ברשת (⚑); מילוג: כתם כהה על עור הנמר — הוכלל לבעל חיים לפי חברבורי
כּוֹרֵם	מגדל ענבים, בעל מטע גפנים	נכתב	ויקימילון	נמנע מ"כרם" בהגדרה (נגזרת שקופה)
עָמַד מִלֶּכֶת	נעצר, חדל לפעול	נכתב	מילוג	אומת ברשת (⚑); מילוג: הפסיק, פסק, חדל
אֶבֶן מַשְׁחֶזֶת	מתקן לחידוד סכינים וכלי מתכת	נכתב	ויקימילון	נמנע מ"השחזה" בהגדרה (נגזרת שקופה)
אַכְסַנְיָה	פונדק, מקום לינה לאורחים	נכתב	ויקימילון	משמעות ראשית בלבד; "מקום מארח אירוע" אינה חומר מבחן מובהק
אָסִיף	כינוס היבול מן השדה	נכתב	ויקימילון	נמנע מ"איסוף" בהגדרה (נגזרת שקופה)
אִצְטַבָּה	מדף, משטח להנחת כלים	נכתב	ויקימילון	-
בְּלֵית בְּרֵרָה	כשאין דרך אחרת	נכתב	ויקימילון	נמנע מ"ברירה" בהגדרה (חלק מהלמה)
בַּלְשָׁנוּת	מדע הלשון, חקר השפות	נכתב	ויקימילון	-
בְּנָקֵל	בלי שום מאמץ	נכתב	מילוג	אומת ברשת (⚑); נמנע מ"בקלות" (נגזרת שקופה של נקל)
בֵּרֵא	גדע עצים, פינה שטח מיער	נכתב	ויקימילון+מילוג	הומוגרף — פיעל בלבד, לא בָּרָא=יצר; מילוג: כרת, גדע
בְּשִׁוְיוֹן נֶפֶשׁ	באדישות, בלי התרגשות	נכתב	מילוג	אומת ברשת (⚑); מילוג: אדישות, חוסר אכפתיות — נוסח כתואר פועל בהתאם ללמה
גַּבְשׁוּשִׁי	מלא בליטות, לא חלק	נכתב	מילוג	אומת ברשת (⚑); נמנע מ"גבשושיות" בהגדרה
גַּת	מקום סחיטת ענבים להכנת יין	נכתב	ויקימילון+מילוג	הומוגרף — המתקן בלבד, לא העיר ולא צמח הגָּת
דַּקְדְּקָן	קפדן, מדייק בפרטים הקטנים	נכתב	מילוג	אומת ברשת (⚑)
