w2598	כלכל	שוליים והפרש הנפוצים; מרווח ורווח משניים
w3091	כל	אותה מילה; מחדש מדויק יותר
w3598	ככ	שני תרגומים סטנדרטיים לקודרות
w3687	ככל	לחמוק והתחמק מרכזיים; לברוח הוא escape
w3075	כלכ	לתרגל ועריכת חזרה; לחזור אותה מילה
w2737	ככ	שני המובנים: העברה ושידור
w3763	ככ	עבירה והפרה שני תרגומים רגילים
w3816	ללכ	כל-יודע הבסיס; האחרים צורות נגזרות
w2839	לככל	כנס למפגש ומוסכמה לנורמה; אמנה שלישית
w3391	ככל	בקתה והתאכסנות; אכסנייה מובן שלישי
w3582	ככ	פיוס והרגעה שני התרגומים
w2381	ככ	ייסורים וסבל שניהם רגילים
w2522	ככ	נאמן ומדויק שני המובנים
w2822	לכלכ	אודקולון ובושם גברי; השאר עיר וכללי
w3907	לככ	סכסוך ומאבק מרכזיים; עימות שלישי
w2715	לכללכ	לעקוב וגבעול; הווריאנט צורה, קנה נדיר
w2892	כלכ	עיזבון ואחוזה; נכס הוא property
w2619	לכלכ	עבירה ועלבון; פגיעה נרדפת, התקפה ספורט
w3882	לככל	לבחון ובדיקה קפדנית; בחן ובדק נטיות
w3643	ככ	דיון ושיקול דעת שני המובנים
w2705	כלכ	במקביל ובו-זמנית; השני כתיב חלופי
w2890	כל	חובב הבסיס; נלהב תוספת לאותה מילה
w2848	ככ	חץ ולזנק שני המובנים
w3243	לככ	לאחד ולבסס; לגבש נרדף שלישי
w3923	ככלל	מיוסר ולענות; לייסר נטייה, להציק חלש
w3005	לככ	חפרפרת ושומה; מרגל מובן שלישי
w3100	ככלל	להתיישב וליישב; לסלק ולהסדיר משניים
w2641	לככ	חיזוי ותחזית; ניבוי נרדף שלישי
w2431	ככ	תוצאה והשלכה שניהם נפוצים
w3019	כללכל	חדר תינוקות ומשתלה; השאר גן ופעוטון
w2810	לככ	קייטרינג ולשרת; לספק לבדו אותה מילה
w2510	כלכ	מצוין ויוצא דופן; מעולה נרדף
w2544	ככ	מצרכים ומכולת שני המובנים
w3867	לכ	אותה מילה; הצורה הסבילה תואמת
w3602	כלכ	גיוס תמיכה וסקירה; לבדוק כללי
w3058	ככל	בולט ונודע; חשוב כללי מדי
w2961	ככ	לחדור ולהסתנן שני התרגומים
w2433	ככ	עקבי ותואם שני המובנים
w3419	ככל	להתמצא ולכוון; מזרח מובן שלישי
w3757	לככל	בטעות ובשוגג הנפוצים; האחרים נרדפים
w2734	ככל	הטיה ולהטות שני המובנים; שיפוע slope
w2673	לככ	להתייחס ולקשר; לספר מובן ספרותי
w3420	כללכ	לנבוע וליזום; התחיל והתהווה נרדפים
w3934	ככ	סדרן וללוות שני המובנים
w2407	לככ	זהירות ואזהרה; להזהיר אותו שורש
w3363	ככל	לשכנע ולגרום; לייצר כללי
w2687	כלכ	תיקון ועדכון; הביאור הארוך הגדרה
w2897	כללכ	גלות ולהגלות; גולה אדם, לגרש שונה
w3916	ככלל	להכתים ולזהם; להכפיש צר, כתם נטייה
w2587	ככ	שני ניסוחים תקינים לאותו מבנה
w3365	כלכ	להסיק ומשתמע; נגזר הוא derived
w3393	כללכ	קרשים ועץ בניין; ריבוי ועצה נגזרים
w2918	ככ	שני ניסוחים סטנדרטיים
w3455	לככ	פוטנציאלי ועתידי; צפוי הוא expected
w3572	לללככ	להסעיר ולנער שני המובנים; השאר משניים
w3831	ככל	מתקבל על הדעת וסביר; אמין שלישי
w3501	ככ	לזנק ולהאמיר שני התרגומים
w3376	ככל	לסקרן ותככים; קנוניה נרדפת
w2921	ככל	מבט חטוף ולהעיף מבט; מבט כללי
w3104	ככל	תצפית ואיתור; מראה הוא sight
