key	t
P1306.התרגל	פ
P1312.רשמ	פ
P1314.התנגד	פ
P1316.אסור	ת
P1324.כעס	ש
P1324.זעמ	ש
P1358.אור	ש
P1358.זוהר	ש
P1359.אופה	ש
P1360.בולט	ת
P1361.המראה	ש
P1363.שתק	פ
P1367.לעג	פ
P1367.התגרה	פ
P1373.שבר	פ
P1373.לחצ	פ
P1385.גועל	ש
P1400.חגר	פ
P1410.שער	ש
P1415.קסמ	ש
P1424.מוזר	ת
P1438.החשיכ	פ
P1441.שתק	פ
P1442.עלב	פ
P1445.חשפ	פ
P1448.חשפ	פ
P1448.יצק	פ
P1448.שפכ	פ
P1450.הפריש	פ
P1453.התרפק	פ
P1455.נוסח	ש
P1455.גירסה	ש
P1460.גזר	פ
P1460.פסק	פ
P1460.קבע	פ
P1460.שרט	פ
P1469.לחש	פ
P1476.שודד	ש
P1476.גנב	ש
P1480.בולט	ת
P1484.הצהרה	ש
P1490.אור	ש
P1490.זוהר	ש
P1493.התפשט	פ
P1496.נקבצ	פ
P1496.נאספ	פ
P1500.נגעל	פ
P1502.אכל	פ
P1509.מזג	פ
P1509.הרס	פ
P1509.חשפ	פ
P1511.נמהר	ת
P1515.ספר	פ
P1515.מנה	פ
P1515.הורה	פ
P1516.התאספ	פ
P1517.עוזר	ש
P1522.אויב	ש
P1522.חבל	א
P1527.אויב	ש
P1536.פשוט	ת
P1538.שטפ	ש
P1538.כעס	ש
P1538.זעמ	ש
P1566.חמור	ת
P1566.דחופ	ת
P1571.העדיפ	פ
P1578.אולמ	א
P1578.אבל	א
P1579.גבה	ש
P1582.עזוב	ת
P1603.דחה	פ
P1605.התפזר	פ
P1607.התכתש	פ
P1622.נתח	ש
P1631.מדד	פ
P1640.חולי	ש
P1653.חלומ	ש
P1655.מוזר	ת
P1662.נחשק	ת
P1663.שולמ	פ
P1671.תאמ	פ
P1672.סוכנ	ש
P1678.נבע	פ
P1682.קבוע	ת
P1685.התנפח	פ
P1688.הצליח	פ
P1690.רטנ	פ
P1694.נמהר	ת
P1698.התממש	פ
P1705.גוסס	ש
P1708.חנק	פ
P1709.גודל	ש
P1713.גבוה	ת
