w0002	כל	שנייה נטיית מין של שני
w0003	כל	שליש שבר לא סדר
w0004	לככ	מוכשר כשרון לא יכולת כללית
w0005	ככלל	אודות וליד נדירים יחסית
w0006	ככ	שני ניסוחים נפוצים לחלוטין
w0009	ככל	כנגד נטיית תחילית של נגד
w0012	ככ	שני מובנים נפוצים למילה
w0015	כל	אותה מילה עם או בלי מקף
w0019	ככ	שם עצם ופועל נפוצים
w0020	כלכ	תחום פחות ישיר משטח ואזור
w0024	ככלל	כש נטיית כאשר כפי-ש נדיר
w0025	ככ	שני מובנים ליבה לשאול
w0026	ככל	ב- נטיית תחילית של ב
w0029	לככ	מתקפה נרדף להתקפה כפילות
w0030	לככל	מפני-ש חוזר בלי מקף
w0034	לככ	ישבן מובן גס יחסית נדיר
w0035	לכ	טוב בסיס לא עליון
w0036	לככ	טוב בסיס לא השוואה
w0042	כל	קנה נטיית פועל של לקנות
w0044	ככ	פועל ושם עצם נפוצים
w0046	ככל	להישרף סביל פחות מרכזי
w0047	ככללל	ניגוד נפוץ חוץ ואלא משניים
w0048	ללכלכלל	עד ועל-ידי הכי נפוצים
w0049	כלכ	לקרוא בעיקר לקרוא ספר
w0052	כל	למקד מיקוד לא מרכז
w0053	ככ	שני מובנים נפוצים לחלוטין
w0054	כלכ	חשבון מובן משני יותר
w0056	כל	ילדים נטיית מספר של ילד
w0057	כל	איות חלופי אותה מילה
w0060	כל	אלה נשק מובן נדיר
w0061	ככ	פועל ושם עצם נפוצים
w0062	כלכ	התקררות פחות מדויק ממחלה
w0064	כל	פלוגה מובן צבאי נדיר
w0065	ככלל	מגע ואיש-קשר משניים יותר
w0067	כלללכ	בקרה ופיקוח טכניים יותר
w0068	לכלכל	קריר טמפרטורה מגניב סלנג נפוצים
w0069	ככ	שני רגישטרים נפוצים לפשע
w0070	ככ	פועל ושם עצם נפוצים
w0074	כלכ	לטפל נרדף להתמודד עם
w0075	כל	פטירה לשון נקייה פחות נפוץ
w0077	לכל	קוביה נדיר מת נטיית למות
w0081	כל	אותה מילה עם או בלי מקף
w0084	ככלל	לעשות פועל שונה עשוי נטיה
w0085	ככ	שני מובנים נפוצים למילה
w0091	כלכ	כוח עוצמה מובן שונה
w0096	ככ	שני ניסוחים נפוצים יומיים
w0099	לככ	שני שמות עצם דומיננטיים
w0101	ככללללל	נטיות ונרדפים של להתמודד חוזרים
w0108	ככ	שם עצם ופועל נפוצים
w0109	ככ	שני מובנים קרובים נפוצים
w0110	לכ	מועט נרדף פורמלי פחות נפוץ
w0111	לככל	להיאבק נרדף לריב ויכוח שונה
w0113	ככ	שם עצם ופועל נפוצים
w0115	ככ	שני ניסוחים נפוצים ראשית
w0116	ככ	פועל ושם עצם נפוצים
w0117	ככל	לעוף חופף ללטוס פחות
w0118	ככל	להבין מובן משני יותר
w0119	כלכ	לאלץ נרדף ללכפות
w0122	לככ	לפנים נרדף לקדימה
w0124	כלל	מ ומ- נטיית תחילית של מן
w0126	ככל	למלא פועל שונה מהתואר
w0127	ככ	שם עצם ותואר נפוצים
w0129	ככ	שני מובנים שונים נפוצים
w0131	כל	ממשל מובן מנהלי משני
w0132	ככל	נהדר נרדף למעולה
w0133	לככל	אדמה נרדף לקרקע לבסס פועל
w0139	כלל	קשה בסיס בחוזקה מילה אחרת
w0152	ככ	שם עצם ותואר נפוצים
w0153	כלכל	אנוש אנושות בן-אדם נטיית מקף
w0161	כלכ	ב נטיית תחילית של ב-
w0162	ככל	בעוד-רגע נטיית תחילית עוד-רגע
w0164	כלכ	בחזית-של פורמלי פחות נפוץ
w0167	כלכ	בפנים נטיית תחילית של פנים
w0168	כל	אל-תוך ניסוח פחות נפוץ
w0172	ככ	פועל ושם עצם נפוצים
w0173	ככ	פועל ושם עצם נפוצים
w0176	ככל	לדעת נטיית פועל של ידע
w0178	לככ	לאחר פירושו אחרי לא מאוחר
w0179	ככ	שני ניסוחים נפוצים אחר-כך
w0180	ככ	פועל ושם עצם נפוצים
w0182	ככל	שמאלה כיוון תנועה ספציפי יותר
w0184	כלכ	לשקר אותו מובן כמו שקר
w0185	ככל	להדליק פועל משני יותר
w0186	כלכל	להעדיף מובן שונה לחבב נרדף
w0187	לללככ	קשר וקישור הכי נפוצים
w0188	כלכ	להכין-רשימה ניסוח עם רשימה
w0193	כלל	לעשות נטיית עשה ליצור שונה
w0197	ככ	שני הקשרים נפוצים לפגישה
w0199	ככ	שני מובנים נפוצים להודעה
w0200	ככ	שם עצם ותואר נפוצים
w0202	ככ	פועל ושם עצם נפוצים
w0203	כלכ	ערבוב נרדף לתערובת
w0209	כל	שפך מובן גיאוגרפי נדיר
w0210	לככ	מהלך מובן ספציפי פחות נפוץ
w0211	לככל	צריך וחייב נפוצים מהכרח וחובה
w0212	ככ	תואר ומילת יחס נפוצים
w0213	כלכ	להזדקק פורמלי פחות נפוץ
w0214	ככ	שני ניסוחים נפוצים לעולם-לא
w0222	כל	למנות לספור מובן לא מדויק
w0226	כלכ	מבצע הקשר קמעונאי ספציפי
w0227	כלכ	לעיתים איות חלופי של לעתים
w0229	לכללכ	פעם חוזר ברגע-ש מובן שני
w0230	ככ	תואר ופועל-יחס נפוצים
w0234	כלל	מחוץ-ל וחוץ נטיית תחילית בחוץ
w0235	כלכלל	נגמר ומעל הכי נפוצים
w0236	כללכ	עצמי ובעלות מובנים משניים
w0237	כלכ	להכאיב נרדף ללכאוב
w0238	ככ	שם עצם ופועל נפוצים
w0239	כלללללכ	להעביר ולעבור הכי נפוצים
w0240	כללכ	ליד מובן שגוי שעבר נרדף
w0241	ככ	פועל ושם עצם נפוצים
w0242	כל	שקט מובן שונה מעט
w0243	כל	עם אומה מובן שונה
w0246	כל	גוף דקדוקי או פיזי נדיר
w0249	ככל	למקם נרדף להניח
w0250	ככל	תוכנית איות חלופי תכנית
w0252	ככ	שני ניסוחים נפוצים לכוכב-לכת
w0254	ככל	לאגד פועל משני פחות נפוץ
w0255	כלכ	מסכן רחמים גרוע איכות נמוכה
w0267	ככ	שני מובנים קרובים נפוצים
w0269	ככ	פועל ושם עצם נפוצים
w0270	ככלל	היגיון איות חלופי הגיון
w0272	ככ	שני הקשרים נפוצים לקשר
w0273	ככ	שני מובנים קרובים נפוצים
w0274	כלכ	דיווח נרדף לדוח
w0279	לככ	רכיבה חופפת ללרכוב
w0280	כללכ	זכות וימינה מובנים משניים
w0281	לככ	זירה הקשר ספורט ספציפי
w0282	ככ	שני מובנים נפוצים לדרך
w0283	כללכ	לרוץ נטיית רץ לזרום משני
w0284	ככ	שם עצם ותואר נפוצים
w0285	ככ	פועל ושם עצם נפוצים
w0289	כלל	בית-ספר נטיית מקף להקה נדיר
w0291	ככ	תואר ושם עצם נפוצים
w0295	כל	לתחזק הקשר טכני ספציפי
w0297	ככ	שני מובנים נפוצים לקצר
w0298	ככלל	הופעה נרדף מופע תוכנית משני
w0299	ככלל	לתמוך נרדף לצודד ולצדד כפילות
w0301	כל	תמים מובן נדיר יחסית
w0302	כלכ	מכיוון-ש- נטיית מקף
w0304	כלכ	בודד חופף למילה אחרת
w0305	לככ	תואר-אצולה הגדרה לא תרגום
w0309	כלכ	להאט פועל משני פחות נפוץ
w0311	ככ	פועל ושם עצם נפוצים
w0312	לככללל	אז וכל-כך הכי נפוצים
w0313	ככ	שני ניסוחים נפוצים לכדי-ש
w0316	כלכ	מוקדם אינו נרדף לבקרוב
w0318	כל	מבצע הקשר קמעונאי ספציפי
w0319	לכלכל	להוציא ולבלות הכי נפוצים
w0320	ככל	דוכן הקשר ספציפי יותר
w0321	ככל	כוכבית סימן דפוס נדיר
w0322	ככ	פועל ושם עצם נפוצים
w0324	ככל	לצעוד פועל פורמלי יותר
w0330	ככל	מטומטם נרדף חריף יותר
w0331	ככ	שני ניסוחים נפוצים לפתאום
w0332	כל	מותק כינוי חיבה נדיר
w0335	ככ	פועל ושם עצם נפוצים
w0336	ככל	ממתק שם עצם ספציפי
w0339	ככ	שני הקשרים נפוצים לקבוצה
