# 2020_spring · fmt=B · analogy=116 · completion=149
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
לנסר	לנסר	analogy	1	1	רגל	close	נסר
שבבים	שבבים	analogy	1	1	רגל	full	שביב
לחרוש	לחרוש	analogy	1	1	מסיח 1	full	חרוש
תלמים	תלמים	analogy	1	1	מסיח 1	full	תלם
לחטוב	לחטוב	analogy	1	1	מסיח 2	full	חוטב
בולי עץ	בולי עץ	analogy	1	1	מסיח 2	close	בולי
לגרוס	לגרוס	analogy	1	1	מסיח 3	full	גרס
נייר	נייר	analogy	1	1	מסיח 3	full	ניר
לרתך	לרתך	analogy	1	1	מסיח 4	miss	
גצים	גצים	analogy	1	1	מסיח 4	full	גוץ
משתוקק	משתוקק	analogy	1	2	רגל	miss	
רוצה	רוצה	analogy	1	2	רגל	close	רצה
קוצף	קוצף	analogy	1	2	מסיח 1	full	קצף
כועס	כועס	analogy	1	2	מסיח 1	miss	
מסוגל	מסוגל	analogy	1	2	מסיח 2	close	סגל
נרגש	נרגש	analogy	1	2	מסיח 3	miss	
אדיש	אדיש	analogy	1	2	מסיח 3	miss	
גונח	גונח	analogy	1	2	מסיח 4	full	גנח
כואב	כואב	analogy	1	2	מסיח 4	close	כאב
קשור	קשור	analogy	1	3	רגל	close	קשר
זיקה	זיקה	analogy	1	3	רגל	miss	
ה	ה	analogy	1	3	מסיח 1	miss	
אכזבה	אכזבה	analogy	1	3	מסיח 1	close	כזב
א	א	analogy	1	3	מסיח 2	miss	
החלמה	החלמה	analogy	1	3	מסיח 2	miss	
חלוק	חלוק	analogy	1	3	מסיח 3	close	חלק
ויכוח	ויכוח	analogy	1	3	מסיח 3	close	יכח
מרוחק	מרוחק	analogy	1	3	מסיח 4	close	מרח
סמיכות	סמיכות	analogy	1	3	מסיח 4	close	סמכ
מסחר	מסחר	analogy	1	4	רגל	miss	
ריאיון	ריאיון	analogy	1	4	מסיח 1	miss	
ענה	ענה	analogy	1	4	מסיח 1	miss	
תחרות	תחרות	analogy	1	4	מסיח 2	miss	
התאמן	התאמן	analogy	1	4	מסיח 2	close	אמנ
משחק	משחק	analogy	1	4	מסיח 3	close	שחק
רימה	רימה	analogy	1	4	מסיח 3	close	רמה
כיוון	כיוון	analogy	1	4	מסיח 4	full	כן
פנה	פנה	analogy	1	4	מסיח 4	close	פנה
תיבל	תיבל	analogy	1	5	רגל	full	תבל
פפריקה	פפריקה	analogy	1	5	רגל	close	רקה
ניקד	ניקד	analogy	1	5	מסיח 1	full	נוקד
גימ״ל	גימ"ל	analogy	1	5	מסיח 1	miss	
ריהט	ריהט	analogy	1	5	מסיח 3	full	רהוט
ספה	ספה	analogy	1	5	מסיח 3	miss	
טיגן	טיגן	analogy	1	5	מסיח 4	miss	
שמן	שמן	analogy	1	5	מסיח 4	miss	
כורם	כורם	analogy	1	6	רגל	miss	
יקב	יקב	analogy	1	6	רגל	miss	
רועה	רועה	analogy	1	6	מסיח 1	close	רעה
דיר	דיר	analogy	1	6	מסיח 1	full	דיר
מוכר	מוכר	analogy	1	6	מסיח 2	miss	
מפעל	מפעל	analogy	1	6	מסיח 2	miss	
יוגב	יוגב	analogy	1	6	מסיח 3	full	יוגב
שדה	שדה	analogy	1	6	מסיח 3	full	שידה
כורה	כורה	analogy	1	6	מסיח 4	full	כרה
