1: FORCED | solve, complete, finish
2: FORCED | withdraw, remove, pull
3: FORCED | stop+withstand, halt+endure, cut+resist
4: FORCED | pay, cover, settle
5: FORCED | escape, flee, wander
6: FORCED | revoke, cancel, withdraw
7: FORCED | conduct, transmit, carry
8: FORCED | compensate, reimburse, repay
9: FORCED | ingredients, produce, materials
10: FORCED | amend, revise, update
11: FORCED | refuse+grant, reject+approve, deny+allow
12: LOOSE | illustrate, explain, define
13: FORCED | equipment, gear, kit
14: FORCED | saturated, saturate, dissolved
15: LOOSE | origin, region, dialect
16: LOOSE | erosion, instability, collapse
17: FORCED | diagnose, identify, detect
18: LOOSE | soak, rinse, steep
19: FORCED | heed, acknowledge, believe
20: FORCED | accompany, support, join
21: FORCED | apply, register, enroll
22: LOOSE | assignment, essay, report
23: FORCED | convene, summon, assemble
24: FORCED | emphasize+mention, stress+note, highlight+summarize
25: LOOSE | trickle, stream, flow
26: FORCED | suspend, halt, stop
27: FORCED | sag, collapse, buckle
28: FORCED | drop, abandon, withdraw
29: FORCED | reject, dismiss, abandon
30: FORCED | endurance, stamina, persistence
31: FORCED | hibernate, sleep, burrow
32: FORCED | elusive, hidden, mysterious
33: FORCED | administer+decide, manage+determine, run+allocate
34: FORCED | valid, active, usable
35: FORCED | cure, eliminate, reverse
36: FORCED | negotiate+enact, discuss+pass, agree+turn
37: FORCED | decipher, read, translate
38: FORCED | pronounce, articulate, produce
39: FORCED | budget, sum, limit
40: FORCED | appeal, hearing, objection
41: FORCED | bridge, crossing, road
42: FORCED | melt+swell, thaw+rise, soften+overflow
43: LOOSE | mix, dissolve, blend
44: LOOSE | replace, rewrite, repeal
45: FORCED | uphold, confirm, affirm
46: FORCED | legible, readable, clear
47: FORCED | achieve, meet, reach
48: FORCED | brittle, fragile, weak
49: LOOSE | state+define, summarize+explain, phrase+clarify
50: FORCED | withhold, delay, cut
51: FORCED | undermine, weaken, shake
52: FORCED | discrepancy, difference, gap
53: FORCED | confirm, acknowledge, verify
54: FORCED | ease, relieve, reduce
55: FORCED | delay, slow, hinder
56: FORCED | purchase, buy, payment
57: FORCED | require+abide, oblige+stand, force+go
58: FORCED | destroy, demolish, sweep
59: FORCED | sink, capsize, overturn
