1: FORCED | complex, complicated, difficult
2: FORCED | cure, heal, treat
3: LOOSE | dangerous, steep, treacherous
4: FORCED | extinct+decipher, dead+read, forgotten+translate
5: FORCED | answer, solve, understand
6: OPEN | rain, criticism, snow
7: LOOSE | abandon, revise, retract
8: FORCED | desert, wasteland, wilderness
9: LOOSE | truck, storm, flood
10: LOOSE | maintain, improve, protect
11: LOOSE | safe, calm, relieved
12: FORCED | impose, place, set
13: LOOSE | make, take, afford
14: FORCED | cells, cell, space
15: FORCED | resolve, settle, defuse
16: LOOSE | exercise, assignment, task
17: FORCED | refuse, reject, decline
18: FORCED | approve, grant, accept
19: LOOSE | reputation, brand, product
20: FORCED | deserted+crowded, empty+busy, quiet+packed
21: LOOSE | understand, transform, advance
22: FORCED | flaw, defect, fault
23: FORCED | verify+authenticity, authenticate+validity, examine+credibility
24: LOOSE | incoherent, absurd, predictable
25: LOOSE | produce, replicate, achieve
26: FORCED | funds, money, loan
27: LOOSE | survive, escape, weather
28: LOOSE | sleep, breathe, move
29: FORCED | hereditary, genetic, inherited
30: LOOSE | ecosystem, valley, environment
31: FORCED | support, sponsor, fund
32: FORCED | assessment, judgment, estimate
33: FORCED | implement, execute, achieve
34: LOOSE | integrity, motives, credibility
35: FORCED | ceremony, ritual, custom
36: FORCED | boost+strengthen, stimulate+increase, encourage+raise
37: FORCED | break, betray, breach
38: FORCED | examine, analyze, inspect
39: LOOSE | thorough+wrong, convincing+false, detailed+baseless
40: LOOSE | soil, harvest, weather
