מילה	מקור ההוכחה הרשום	הרפרנס הרשום	פסק דין	מה נמצא בפועל
אִלוּלֵא	נחלת הכלל / CC0 (לפי ספריא)	Penei Moshe on Jerusalem Talmud Beitzah 2:7:3:3 (Piotrków, 1898-1900 [he])	אומת	Piotrków, 1898-1900 · Public Domain
אֲלוּמָּת אוֹר	לפי מילה · CC0 / נחלת הכלל	אלומת=L204933 · אור=L1397308	אומת	L204933 ⟵ «אלומת» · L1397308 ⟵ «אור»
אֶקְרָן	ויקינתונים (CC0)	L205350	אומת	L205350 ⟵ «אקרן»
בִּיּוּת	ויקינתונים (CC0)	L76267	אומת	L76267 ⟵ «ביות»
גְּזִיר	ויקינתונים (CC0)	L206149	אומת	L206149 ⟵ «גזיר»
דָּגָה	ויקינתונים (CC0)	L64632	אומת	L64632 ⟵ «דגה»
דִּידַקְטִי	ויקינתונים (CC0)	L206582	אומת	L206582 ⟵ «דידקטי»
הִטְמִיעַ	ויקינתונים (CC0)	L207694	אומת	L207694 ⟵ «הטמיע»
הִסְלִים	ויקינתונים (CC0)	L208329	אומת	L208329 ⟵ «הסלים»
הִתְכַּתֵּשׁ	ויקינתונים (CC0)	L209671	אומת	L209671 ⟵ «התכתש»
הִתְנַבֵּא	ויקינתונים (CC0)	L209795	אומת	L209795 ⟵ «התנבא»
יְקִיצָה	ויקינתונים (CC0)	L78311	אומת	L78311 ⟵ «יקיצה»
כְּסָיָה	ויקינתונים (CC0)	L212161	אומת	L212161 ⟵ «כסיה»
לֵאוּת	ויקינתונים (CC0)	L212261	אומת	L212261 ⟵ «לאות»
לַהֲגָן	נחלת הכלל / CC0 (לפי ספריא)	Sheyarei Korban on Jerusalem Talmud Nazir 7:3:4:3	אומת	Piotrków, 1898-1900 · Public Domain
מִצְנֶפֶת	ויקינתונים (CC0)	L213717	אומת	L213717 ⟵ «מצנפת»
מְתַאֲבֵן	ויקינתונים (CC0)	L79654	אומת	L79654 ⟵ «מתאבן»
נָהִיר	ויקינתונים (CC0)	L214201	אומת	L214201 ⟵ «נהיר»
נִיחָא	ויקינתונים (CC0)	L492187	אומת	L492187 ⟵ «ניחא»
נִכּוּשׁ	ויקינתונים (CC0)	L214533	אומת	L214533 ⟵ «נכוש»
נִפְעָם	ויקינתונים (CC0)	L214871	אומת	L214871 ⟵ «נפעם»
פָּלָה	ויקינתונים (CC0)	L216876	אומת	L216876 ⟵ «פלה»
קְרִיסָה	ויקינתונים (CC0)	L218509	אומת	L218509 ⟵ «קריסה»
קְרִישָׁה	ויקינתונים (CC0)	L218522	אומת	L218522 ⟵ «קרישה»
הִתְיַלֵּד	ויקינתונים (CC0)	L209592	אומת	L209592 ⟵ «התילד»
עִרְטֵל	ויקינתונים (CC0)	L216317	אומת	L216317 ⟵ «ערטל»
מִקְטוֹרֶן	ויקינתונים (CC0)	L213751	אומת	L213751 ⟵ «מקטורן»
מְזֻכָּךְ	נחלת הכלל / CC0 (לפי ספריא)	Talmud Eser HaSefirot, Section IV, Histaklut Penimit 1:4 (Jerusalem, 1956-1966 [he])	חשוד	Jerusalem, 1956-1966 · רישיון «Public Domain» · מהדורה 1966
מֵרֵט אֶת עֲצַבָּיו	לפי מילה · CC0 / נחלת הכלל	מרט=L213832 · עצביו=L80570	אומת	L213832 ⟵ «מרט» · L80570 ⟵ «עצביו»
אַשְׁפָּה	ויקינתונים (CC0)	L64140	אומת	L64140 ⟵ «אשפה»
בַּר-מִינָן	נחלת הכלל / CC0 (לפי ספריא)	Shenei Luchot HaBerit, Torah Shebikhtav, Yitro, Torah Ohr 53	אומת	Shenei Luchot HaBrit, based on Amsterdam, 1698 ed. Part III · Public Domain
בָּרַר	ויקינתונים (CC0)	L491567	אומת	L491567 ⟵ «ברר»
גַּפַּיִם	נחלת הכלל / CC0 (לפי ספריא)	Yefeh To'ar on Vayikra Rabbah 6:6:6 (Midrash Rabbah, Vilna, 1878 [he])	אומת	Midrash Rabbah, Vilna, 1878 · Public Domain
הִדִּיר שֵׁינָה מֵעֵינָיו	לפי מילה · CC0 / נחלת הכלל	הדיר=L206979 · שינה=L219556 · מעיניו=Hagahot HaBach on Rif Megillah 15a:7 (Vilna Edition [he])	אומת	L206979 ⟵ «הדיר» · L219556 ⟵ «שינה» · Vilna Edition · Public Domain
הִזְדַּכְּכוּת	ויקינתונים (CC0)	L207534	אומת	L207534 ⟵ «הזדככות»
הִתְמַקֵּחַ	ויקינתונים (CC0)	L209773	אומת	L209773 ⟵ «התמקח»
הִתְקַהֵל	ויקינתונים (CC0)	L210103	אומת	L210103 ⟵ «התקהל»
