בחר	קטגוריה	מילה	הסיבה שלא נכנסה	מה מכסה אותה	יחידה בישן	פירוש בישן	רישיון	מקור ההוכחה
	נפסלה בשיבוץ	דָּגָה	שקופה לכל תיכוניסט — מ"דג"		1	שם כולל לכל הדגים למיניהם	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִטְמִיעַ	נגזרת שקופה של "נטמע" (י5)		1	הפנים ידע עד שנעשה חלק ממנו; מיזג דבר בתוך אחר עד שנבלע	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִתְנַבֵּא	שקופה לכל תיכוניסט — מ"נביא"		1	השמיע ניבוי או חיזוי כלשהו	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	יְקִיצָה	שם הפעולה הישיר של "הקיץ" (התעורר משנתו) — מי שיודע את הפועל מקבל את שם הפעולה בלי שום צעד נוסף.		1	התעוררות משינה, הקיצה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	לֵאוּת	שם הפעולה המדויק של התואר "לאה" (מותש) — אותה משמעות בדיוק, רק בצורת שם עצם.		1	יגעות, עייפות, תשישות	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	לַהֲגָן	צורת בעל-התכונה של "להג" (פטפוט ריק) בסיומת -ן. מי שיודע מהו להג מנחש מיד מיהו להגן.		1	פטפטן, שמדבר בלי סוף	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	מְתַאֲבֵן	שקופה לכל תיכוניסט		1	מאכל המוגש בתחילת הארוחה על-מנת להגביר את התאבון	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	נָהִיר	המעבר מ"נהרה" (אור בהיר) ל"נהיר" (ברור ומובן) הוא המטפורה השקופה הרגילה בעברית בין אור לבהירות, בדיוק כמו בהיר/מואר.		1	ברור, מובן	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	נִפְעָם	נגזרת שקופה של "התפעם" — הדוגמה בערך הקיים היא ממש "נפעם"		1	נרגש	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קְרִיסָה	שקופה לכל תיכוניסט		1	התמוטטות, הרס	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קְרִישָׁה	נגזרת שקופה של "קרש" (י5)		1	התעבות של נוזל והפיכתו לסמיך וקרוש	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	הִתְיַלֵּד	שקופה לכל תיכוניסט — מ"ילד"		1	התנהג כילד, נהג באופן ילדותי	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	עִרְטֵל	אותו פועל בבניין אחר מ"התערטל" — פיעל מול התפעל, חשיפת אחר מול חשיפת עצמו. מי שיודע אחד מבין את השני.		1	הפשיט, חשף מכל כיסוי	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מִקְטוֹרֶן	שקופה לכל תיכוניסט		1	ז'קט, החלק העליון של חליפה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מְזֻכָּךְ	תואר שקוף של "זך" (י2)		1	מטוהר, נקי מכל פסולת	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	בַּר-מִינָן	כפילות ממש של הערך הקיים "בר מינן" — אותה מילה, מקף במקום רווח.		2	מת, מנוח	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	הִתְקַהֵל	נגזרת שקופה של "הקהיל" (י8)		2	התאסף, התקבץ לקהל	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	נֵתַח	שקופה לכל תיכוניסט		2	חתיכת בשר; חלק מהשלם, פרוסה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	עָסִיסִי	שקופה לכל תיכוניסט		2	רענן, מעניין; מלא מיץ	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	פָּדָה	"פדות" היא גאולה ושחרור, ו"פדה" הוא בדיוק הפועל שממנו היא נגזרת — אותה משמעות בשתי צורות.		2	הציל, שיחרר, חילץ; שילם כסף תמורת החפץ הממושכן	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קוּבְלָנָה	נגזרת שקופה של "קבל" (התלונן)		2	תלונה, טענה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	שִׁיסּוּי	שם הפעולה הישיר של "שיסה" — אותה פעולה בדיוק בצורת שם עצם.		2	הסתה לתקיפה, חירחור	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	אָפַס	נגזרת שקופה של "אפיסה"		3	לא נשאר ממנו דבר, תם, נגמר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	בֵּית מֶרְחָץ	צירוף מצטבר ושקוף — בית + רחץ		3	מקום ציבורי שניתן להתרחץ ולהתקלח בו	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	זִכּוּך	נגזרת שקופה של "זך"		3	טיהור	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	פְּתַלְתְּל	נגזרת שקופה של "נפתולים"		3	שאינו ישר, מפותל; הפכפך, ערמומי; מסובך להבנה, מורכב	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קִידָּה	הערך הקיים "קד" כבר כולל את הצירוף "קד קידה" בדוגמה שלו — אותה פעולה ממש, פועל ושם הפעולה שלו.		3	השתחוות קלה	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קְלִישָאַה / קְלִישָה	לעז שגור, אותו כשל כמו "ספונטני"		3	ביטוי או אמירה ששימוש יתר גזל ממנה כל מקוריות	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קָמִין	שקופה לכל תיכוניסט		3	תנור, אח	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	קְשֵׁה לֵב	צירוף מצטבר ושקוף — קשה + לב		3	חסר רחמים, אכזרי, אטום רגשית	🟢 נקי	נחלת הכלל / CC0 (לפי ספריא)
	נפסלה בשיבוץ	שַׁבְרִיר	שגור לחלוטין ("שבריר שנייה")		3	חלק קטן ביותר, קצת	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	שִׁכְתּוּב	נגזרת שקופה של "כתב"		3	כתיבת חומר כלשהו בשנית בניסוח או סגנון טוב יותר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	תַּסְמִין	שגורה לגמרי		3	סימפטום, סימן היכר	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	גֵּאוּת	שם הפעולה של "גאה" (עלה והתרומם), והדוגמה בערך הקיים היא "הנהר גאה" — בדיוק תמונת עליית המפלס.		4	התרוממות מחזורית של מפלס הים; שגשוג והתחזקות ניכרת בתחום	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	כִּיסוּפִים	שם הפעולה של "נכסף" (השתוקק, התגעגע) — אותה משמעות בדיוק בצורת שם עצם.		4	געגועים, השתוקקות	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מַחְצָב	נגזרת שקופה של "חצב" (כרת מן הסלע)		4	חומר שחוצבים מן האדמה כגון: אבנים, פחם, מתכת וכו'	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מַחְצָבָה	נגזרת שקופה של "חצב" (כרת מן הסלע)		4	מקום בו חוצבים אבנים לבניין וכו'	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	מְכוּנָף	שקופה מ"כנף"		4	שיש לו כנפיים	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	נִיחוֹח	שקופה לכל תיכוניסט		4	ריח נעים וטוב	🟢 נקי	ויקינתונים (CC0)
	נפסלה בשיבוץ	נִשְׂגָב מִבִּינָתוֹ	הערך הקיים "נשגב" כבר כולל את הניב הזה בפירושו		4	אינו יכול להבין את הדבר	🟢 נקי	לפי מילה · CC0 / נחלת הכלל
