k	a	b
58eddd1919f8	התשובה	תשובה | לענות
7759735696e6	באזור	אזור | תחום | שטח
226c91e8a674	ישאל	לשאול | לבקש
a597c94aab79	שני	שניהם
4ba9e1165411	תשבור	לשבור | הפסקה
66d807b37f58	אתקשר	לקרוא | להתקשר | שיחה
84a8ec2be8d5	תצנן	קריר | לצנן | צונן | מגניב
062a6c65c97b	אנושיים	אנושי | אדם
642623d0591e	הבדיחה	בדיחה | להתלוצץ
83bd272937d1	הכרתי	לדעת | להכיר | ידע
7c532fedf7e5	הכינה	עשה | הכין
b524ffa23d69	משלם	לשלם | שכר
c4da25b8ec70	בבריכה	בריכה | מאגר
1e8ebdb1b8c4	המדפסת	מדפסת | דפס
569fd777f32c	מערכת היחסים	קשר | מערכת יחסים
dde7c0e800fb	רוכב	רכיבה | לרכוב | נסיעה
31bf8b0350b7	הטבעת	טבעת | זירה | לצלצל
41abdffa907d	רצתי	לרוץ | רץ | לנהל
cb0a44c8057c	הבטוח	בטוח | כספת
0be25d560868	הקצר	קצר | נמוך
0717500b6936	חתמה	לחתום | שלט | סימן | לסמן
d64184766c59	מבזבז	להוציא | לבזבז | לפזר | לבלות | להעביר
0f75e96642b0	נתחיל	להתחיל | התחלה
904c90f2fcb0	המפתיע	הפתעה | להפתיע
42ad758bc30c	המתוק	מתוק | ממתק | חמוד
c8ca1e79a6e5	הצוות	קבוצה | צוות
04ff9e8471da	שלפני	לפנות | סיבוב | תור
b13a84ce4589	נבקר	לבקר | ביקור
e76ee58fc40f	הקיר	קיר | חומה
1251be335a3f	תסתכל	לצפות | להסתכל | להשגיח | שעון
0fe20c086277	הדרך	דרך | אופן
4da8ee1a03ff	הסופר	סופר | כותב
441985ab5a58	חג	מעגל | להקיף בעיגול | לחוג
256a36a86536	הקומי	קומי מהמילה קומדיה | קומיקס
b51d956072e3	העתק	עותק | להעתיק
917b6e414e39	הדיכאון	דיכאון | מיתון
71b312708dfa	הכיוון	כיוון | הכוונה
2f3f1ea6874d	ההד	הד | להדהד
0a017fb0f686	בפרק	פרק | אירוע
891ae80bf224	יקפאו	לקפוא | להקפיא | הקפיא
739fa73d15ce	המטרה	מטרה | שער
d3ace16fcadb	המוזהבת	זהוב | מוזהב
5cfcf7762bf8	באולם הספורט	חדר כושר | אולם ספורט
5a76d8694bc2	לאבד	מפסיד | מאבד
0630fc59feff	בדואר	דואר | לשלוח
4eefbfefe938	משוק	שוק | לשווק
ad0c0389152b	המדריכה	חונך | מדריך רוחני
f004483da4be	הטבע	טבע | מהות
b1df48a922ac	הרשמיים	רשמי | מאושר | פקיד
b97d4274ec8a	המקורי	מקורי | מקור
fffa46c3e255	לפאניקה	פאניקה | בהלה | להיבהל
318a232a18de	עצרה	הפסקה | להפסיק | לעצור | להשהות
e45387a610f1	הטייס	טייס | ניסיוני
b103ea30e4a3	רבת העוצמה	חזק | רב כוח | רב עוצמה
00d667332e21	התכוננה	להכין | התכונן | להתכונן
b1499b10069e	המצגת	מצגת | הצגה
a2c0e9b6a8d9	המקצועי	מקצועי | מקצוען
