מילה	פירוש היום	מה השופט העיוור כתב	מובן חסר	מסלול מכני	ידוע מראש
absolutely	לחלוטין	לחלוטין | בהחלט	2:בהחלט	פירוש-כפול·לחלוטין (3 מילים)	
fix	לתקן	לתקן | פתרון	2:פתרון	פירוש-כפול·לתקן (2 מילים)	
from	מ-	מ | מן	1:מ | 2:מן	פירוש-כפול·מ- (2 מילים)	
lie	לשקר, שֶקֶר	לשקר | לשכב | שקר	2:לשכב	ניקוד	
often	לעיתים קרובות	לעתים קרובות | תכופות	1:לעתים קרובות | 2:תכופות	פירוש-כפול·לעיתים קרובות (2 מילים)	
own	משלו; בעלות על משהו	עצמי | להחזיק	1:עצמי | 2:להחזיק	תיאור·מכיל "משהו/מישהו"	
road	דרך	כביש | דרך	1:כביש	פירוש-כפול·דרך (3 מילים)	
special	מיוחד	מיוחד | מבצע	2:מבצע	פירוש-כפול·מיוחד (2 מילים)	
start	להתחיל	להתחיל | התחלה	2:התחלה	פירוש-כפול·להתחיל (2 מילים)	
step	צעד, לצעוד	צעד | מדרגה | לצעוד	2:מדרגה	פירוש-כפול·צעד לצעוד (2 מילים)	
than	מ-	מאשר	1:מאשר	פירוש-כפול·מ- (2 מילים)	
under	מתחת	מתחת | תחת	2:תחת	פירוש-כפול·מתחת (4 מילים)	
until now	עד עתה	עד עכשיו | עד כה	1:עד עכשיו | 2:עד כה	פירוש-כפול·עד עתה (2 מילים)	
usually	בדרך-כלל	בדרך כלל | לרוב	1:בדרך כלל | 2:לרוב	פירוש-כפול·בדרך-כלל (3 מילים)	
visit	לבקר	לבקר | ביקור	2:ביקור	פירוש-כפול·לבקר (2 מילים)	
way	דרך	דרך | אופן	2:אופן	פירוש-כפול·דרך (3 מילים)	
although	למרות ש-	למרות ש	1:למרות ש	פירוש-כפול·למרות ש- (2 מילים)	
begin/an/un	להתחיל / התחיל / התחיל	להתחיל	1:להתחיל	תיאור·5 מילים במובן אחד	
episode	פרק	פרק | אירוע	2:אירוע	פירוש-כפול·פרק (2 מילים)	
even though	למרות ש-	למרות ש	1:למרות ש	פירוש-כפול·למרות ש- (2 מילים)	
friendly	ידידותי	ידידותי | חברותי	2:חברותי	פירוש-כפול·ידידותי (2 מילים)	
goal	מטרה	מטרה | שער	2:שער	פירוש-כפול·מטרה (2 מילים)	
gym	אולם ספורט	חדר כושר	1:חדר כושר	פירוש-כפול·אולם ספורט (2 מילים)	
mission	משימה	משימה | שליחות	2:שליחות	פירוש-כפול·משימה (2 מילים)	
negative	שלילי	שלילי | שלילה	2:שלילה	פירוש-כפול·שלילי (2 מילים)	
result	תוצאה	תוצאה | לנבוע	2:לנבוע	פירוש-כפול·תוצאה (3 מילים)	
rocket	טיל	רקטה | טיל	1:רקטה	פירוש-כפול·טיל (2 מילים)	
toxic	רעיל	רעיל | מזיק	2:מזיק	פירוש-כפול·רעיל (2 מילים)	
unsafe	לא בטוח	לא בטוח | מסוכן	2:מסוכן	פירוש-כפול·לא בטוח (2 מילים)	
