w1079	להבין	להגשים	-
w1317	בלעדי	יוקרתי	-
w2049	תואם	מתאים	-
w2168	מדד	אינדקס	-
w3921	לסכל	להכשיל	-
w1848	הצעה	-	-
w0332	סוכר	מותק	-
w2316	מין	-	-
w2422	סיבוך	-	-
w1201	לנתח	-	-
w3733	ידידותי	לבבי	-
w1052	סיר	עציץ	גראס
w1305	אנזים	-	-
w1474	בקביעות	-	-
w3227	סחורה	מצרך	-
w1425	כללי	בסך הכל	-
w3514	שבץ	ללטף	-
w1896	משרת	-	-
w2965	פונדק	-	-
w0479	קריטריון	אמת מידה	-
w0540	מיקוד	להתמקד	-
w1228	אופניים	-	-
w2377	להעריץ	לאהוב מאוד	-
w3216	בשום אופן	-	-
w0874	כרגע	כעת	-
w0654	פלפל	-	-
w1276	להתאים אישית	-	-
w1014	מראה	לשקף	-
w1136	מבנה	לארגן	-
w0447	לבטל	-	-
w1220	אחורה	נחשל	-
w0442	בקבוק	-	-
w2253	בסבלנות	-	-
w2017	מתחת	-	-
w3656	שומם	עגום	-
w0984	במקום זאת	-	-
w1752	טיול רגלי	לטייל	העלאה
w0910	בידור	-	-
w2776	קידום	התקדמות	-
w3198	לרשותך	-	-
w1530	תנאי	מונח	-
w0405	שחקן	-	-
w2317	מרהיב	מרשים	-
w2910	תקיף	עוצמתי	-
w0359	מתחת	תחת	-
w2748	לא קדוש	נורא	-
w3795	לצמצם	להקל	-
w2053	בטון	מוחשי	-
w2848	חץ	לזנק	-
w0468	מכל	קונטיינר	-
w2902	בד	מרקם	-
w0066	להמשיך	-	-
w0553	גנטי	-	-
w0236	עצמי	להחזיק	-
w0671	תוכנית	לתכנת	-
w2177	הוראה	הדרכה	-
w3038	להתמיד	להימשך	-
w0019	תשובה	לענות	-
w1157	מסלול	לעקוב	שיר
w1559	ירק	-	-
w3493	לחפש	לבקש	-
w1468	למחזר	-	-
w1801	למדוד	אמצעי	מידה
w2149	לעצור	עצירה	-
w0855	לתקשר	-	-
w2312	מפוכח	רציני	-
w1148	אוהל	-	-
w2567	מדבק	-	-
w0454	לגרום	סיבה	-
w1033	זוג	לזווג	-
w1600	מטלה	הקצאה	-
w1215	סופר	מחבר	-
w1147	משימה	-	-
w3228	קהילתי	משותף	-
w2453	הצהרה	הכרזה	-
w0572	למקרה ש	-	-
w1965	מתנדב	להתנדב	-
w2303	חמור	קשה	-
w0983	מיידי	רגע	-
w2847	לח	-	-
w0664	פוטנציאל	פוטנציאלי	-
w3879	מאזניים	קשקשים	סולם
w1968	עושר	-	-
w0885	קינוח	-	-
w0157	רעיון	-	-
w2085	תחפושת	להסוות	-
w2528	פגם	-	-
w0121	לשכוח	-	-
w0481	קהל	המון	-
w3046	טיח	פלסטר	-
w3804	למרות	-	-
w3498	פינוק עצמי	-	-
w2281	די	למדי	-
w0465	לאסוף	-	-
w0139	קשה	בחוזקה	-
w2546	קומץ	חופן	-
w1174	רגיל	-	-
w0061	קוד	לתכנת	-
w2334	מתח	-	-
w2123	מפואר	לחבב	-
w3596	נדבן	תורם	-
w3442	תקדים	-	-
w3902	קיצוני	קודר	-
w2419	מסחר	-	-
w0029	התקפה	לתקוף	-
w0870	לכסות	כיסוי	כריכה
w1571	בכל פעם ש	-	-
w0670	מקצועי	מקצוען	-
w0176	לדעת	להכיר	-
w2873	ייחודי	-	-
w0307	שמיים	-	-
w0643	הזמנה	סדר	פקודה
w2636	זיהום	-	-
w0492	פרט	לפרט	-
w2070	לחלום בהקיץ	-	-
w3172	התבגרות	-	-
w1271	קורס	מהלך	מסלול
w1419	זית	-	-
w1300	קצה	חוד	-
w1073	מטרה	תכלית	-
w0108	להרגיש	תחושה	-
w1168	לא ייאמן	מדהים	-
w1996	מראה	הופעה	-
w2846	מלפפון	-	-
w3637	להגיע לשיא	-	-
w3684	להרטיב	-	-
w2353	איגוד	איחוד	-
w2505	להעריך	הערכה	-
w1916	לרעוב	להרעיב	-
w3454	נוטה	-	-
w2747	מובטל	-	-
w1007	לסמן	ציון	כתם
w0560	סבא	-	-
w2497	להכעיס	להרתיח	-
w2336	לאורך כל	בכל רחבי	-
w0132	נהדר	גדול	-
w1753	מולדת	-	-
w1928	חומר	תוכן	-
w0333	קיץ	-	-
w0602	לאבד	להפסיד	-
w0321	כוכב	כוכבית	-
w2305	לערבב	לגרור רגליים	-
w1041	תקופה	נקודה	מחזור
w0749	כישרון	-	-
w0322	להתחיל	התחלה	-
w1224	תועלת	הטבה	ליהנות
w2606	להתנהג רע	להשתובב	-
w3244	להוות	-	-
w1713	עידן	תקופה	-
w2482	במורד	מתדרדר	-
