src	סוג הממצא	המודגשת	g[a]	המשפט (60 תווים)
aca#3	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	קוצרים	harvest = לקצור	The valley is fertile, so the terraces ___ a heavy crop, and
aca2#10	אי-התאמת מובן · חשד נטייה בלבד	יקבע	prescribe = לקבוע, לרשום	Once the treaty enters into force, its second article will _
aca4#14	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	סוטות	diverge = לסטות	Since one hand wrote the whole roll, the letter forms should
aca6#1	e חסר			Although the press still prints a clean sheet every time, no
aca6#2	e חסר			One household in three reports a case each winter, and the f
aca6#3	e חסר			Because the villagers eat ample grain but almost no fresh fr
aca6#4	e חסר			The witness feared nothing in the court and refused no quest
aca6#5	e חסר			The library already holds every local paper; in addition, th
aca6#6	e חסר			No lamp is lit in the lower gallery, and yet the moss on its
aca6#7	e חסר			The experiment needs no rare chemical, only an ___ such as a
aca6#8	e חסר			The loose grating has injured no one so far; even so, the in
aca6#9	e חסר			The diary names no battle and no plot; furthermore, its entr
aca6#10	e חסר			A bishop founded the school and paid for its first building,
aca6#11	e חסר			Since the two firms had signed nothing at all, the court ref
aca6#12	e חסר			Once the contents of a parcel are found to be barred goods, 
aca6#13	e חסר			A statement made under oath in the courtroom counts as ___, 
aca6#14	e חסר			The bridge is ___ the oldest in the region, though two rival
aca6#15	e חסר			Storms of this size ___ reach the inland plain, and therefor
aca6#16	e חסר			The panel first agreed on the name of the illness, and then 
aca6#17	e חסר			Since he signed the petition against private schooling in th
aca6#18	e חסר			The king himself said nothing to the crowd, yet a herald was
aca6#19	e חסר			Since attendance is a right and not a duty, the bylaw cannot
aca6#20	e חסר			The timetable was printed in 1955 and has never been redrawn
aca6#21	e חסר			Unless water can be brought to the site, the plan will never
aca6#22	e חסר			Since an erasure in the same hand follows the gap exactly, t
aca6#23	e חסר			The young painter copies not a single line, and yet every ca
aca6#24	e חסר			The men were paid well and lived within sight of the plant, 
aca6#25	אי-התאמת מובן · חריץ 2 · חשד נטייה בלבד	קצו	demise = קץ, סוף	Historians date the ___ of the printed book to the 1450s, wh
aca6#25	e חסר			Historians date the ___ of the printed book to the 1450s, wh
aca6#26	e חסר			The festival will ___ with a silent procession on the shore,
