q	level	n	words	blanks
1	מתקדם	10	sophisticated	1
2	בינוני	9	defeat	1
3	מתקדם	7	bizarre	1
4	אקדמי	2	unclear|decipher	2
5	בסיס	1	explain	1
6	בינוני	6	threat	1
7	מתקדם	1	withdraw	1
8	מתקדם	6	wilderness	1
9	בסיס	2	stone	1
10	בסיס	5	support	1
11	בסיס	9	quiet	1
12	אקדמי	6	impose	1
13	בסיס	4	afford	1
14	בסיס	7	cell	1
15	בינוני	5	solve	1
16	בסיס	8	question	1
17	בינוני	3	ignore	1
18	מתקדם	4	satisfy	1
19	בינוני	1	reputation	1
20	אקדמי	10	desolate|hectic	2
21	מתקדם	8	analyze	1
22	בסיס	6	fault	1
23	אקדמי	4	authorize|accuracy	2
24	אקדמי	5	mediocre	1
25	מתקדם	3	justify	1
26	בינוני	4	deposit	1
27	מתקדם	9	endure	1
28	בסיס	3	breathe	1
29	אקדמי	9	continuous	1
30	בינוני	7	territory	1
31	בינוני	8	support	1
32	בינוני	10	knowledge	1
33	בסיס	10	handle	1
34	אקדמי	8	sincerity	1
35	מתקדם	5	ritual	1
36	אקדמי	3	stimulate|stabilize	2
37	אקדמי	7	forsake	1
38	מתקדם	2	examine	1
39	אקדמי	1	articulate|incomprehensible	2
40	בינוני	2	soil	1
