k	term	gloss	blind	missing
w0002	2nd - second	שני	שני | שנייה	2:שנייה
w0003	3rd - third	שלישי	שלישי | שליש	2:שליש
w0004	able	יכול, מסוגל	מסוגל | מוכשר	2:מוכשר
w0005	about	ליד, בערך; אודות	על | בערך	1:על
w0006	absolutely	לחלוטין	לחלוטין | בהחלט	2:בהחלט
w0009	against	כנגד, ממול	נגד	1:נגד
w0012	alone	לבד	לבד | בודד	2:בודד
w0015	and	ו-	ו	1:ו
w0019	answer	תשובה	תשובה | לענות	2:לענות
w0020	area	אזור, תחום	אזור | תחום | שטח	3:שטח
w0024	as	כאשר, כש-; כמו	כמו | כפי ש	2:כפי ש
w0025	ask	לשאול	לשאול | לבקש	2:לבקש
w0026	at	אצל, ב-	ב	1:ב
w0029	attack	לתקוף, מתקפה	התקפה | לתקוף	1:התקפה
w0030	because	כי, מפני ש-, משום ש-	כי | מפני ש	2:מפני ש
w0034	behind	מאחורי; ישבן	מאחורי | באיחור	2:באיחור
w0035	best	הכי טוב	טוב	1:טוב
w0036	better	טוב יותר	טוב | לשפר	1:טוב | 2:לשפר
w0042	bought	קנה	לקנות	1:לקנות
w0044	break	לשבור	לשבור | הפסקה	2:הפסקה
w0046	burn	לשרוף, להישרף	לשרוף | לבעור	2:לבעור
w0047	but	אך, אבל; מלבד, חוץ מ-	אבל | אלא	2:אלא
w0048	by	ליד, בסמוך ל-; עד, לא יאוחר מ-; באמצעות, על-ידי	על ידי | ליד	1:על ידי
w0049	call	לקרוא, להתקשר	להתקשר | לקרוא | שיחה	3:שיחה
w0052	center	מרכז	מרכז | למקד	2:למקד
w0053	chance	סיכוי	סיכוי | הזדמנות	2:הזדמנות
w0054	check	לבדוק	לבדוק | צ'ק | חשבון	2:צ'ק | 3:חשבון
w0056	children	ילדים	ילד	1:ילד
w0057	church	כנסיה	כנסייה	1:כנסייה
w0060	club	מועדון	מועדון | אלה	2:אלה
w0061	code	קוד	קוד | לתכנת	2:לתכנת
w0062	cold	קר, התקררות	קר | הצטננות	2:הצטננות
w0064	company	חברה	חברה | פלוגה	2:פלוגה
w0065	contact	ליצור קשר, מגע	קשר | ליצור קשר | איש קשר	1:קשר | 3:איש קשר
w0067	control	לוח בקרה, פיקוח; שליטה, לשלוט	שליטה | לשלוט | בקרה	3:בקרה
w0068	cool	לצנן, צונן	קריר | מגניב | קר רוח	1:קריר | 2:מגניב | 3:קר רוח
w0069	crime	פשע	פשע | עבירה	2:עבירה
w0070	dance	לרקוד	לרקוד | ריקוד	2:ריקוד
w0074	deal	עסקה; להתמודד	עסקה | לטפל	2:לטפל
w0075	death	מוות	מוות | פטירה	2:פטירה
w0077	die	מת, למות	למות | קוביה	2:קוביה
w0081	different from	שונה מ-	שונה מ	1:שונה מ
w0084	done	גמור, עשוי	לעשות | גמור | מוכן	1:לעשות | 3:מוכן
w0085	down	למטה	למטה | מדוכא	2:מדוכא
w0091	energy	אנרגיה, כוח	אנרגיה | מרץ	2:מרץ
w0096	every day	כל יום	כל יום | מדי יום	2:מדי יום
w0099	experience	ניסיון, לחוות	ניסיון | חוויה | לחוות	2:חוויה
w0101	face	פנים; לפנות אל, לעמוד מול; להתמודד עם, לעמוד בפני	פנים | להתמודד | לפנות	2:להתמודד | 3:לפנות
w0108	feel	להרגיש	להרגיש | תחושה	2:תחושה
w0109	feeling	הרגשה	הרגשה | רגש	2:רגש
w0110	few	מעט	מעט | מועט	2:מועט
w0111	fight, fought	להילחם, להיאבק; לריב	להילחם | קרב	2:קרב
w0113	find	למצוא	למצוא | מציאה	2:מציאה
w0115	first of all	ראשית	קודם כל	1:קודם כל
w0116	fix	לתקן	לתקן | פתרון	2:פתרון
w0117	fly	זבוב; לעוף	לטוס | זבוב | לעוף	1:לטוס
w0118	follow	לעקוב, לציית	לעקוב | להבין	2:להבין
w0119	force	לכפות; כוח	כוח | לאלץ	2:לאלץ
w0122	forward	קדימה, לפנים	קדימה | חלוץ	2:חלוץ
w0124	from	מ-	מ | מן	1:מ | 2:מן
w0126	full	מלא, למלא	מלא | שבע	2:שבע
w0127	future	עתיד	עתיד | עתידי	2:עתידי
w0129	gift	מתנה	מתנה | כישרון	2:כישרון
w0131	government	ממשל	ממשלה	1:ממשלה
w0132	great	גדול, מעולה	נהדר | גדול	1:נהדר
w0133	ground	בסיס, אדמה	קרקע | לבסס	1:קרקע | 2:לבסס
w0139	harder	קשה יותר	קשה | בחוזקה	1:קשה | 2:בחוזקה
w0152	human	אנושי	אנושי | אדם	2:אדם
w0153	human being	בן-אדם, אנוש	בן אדם | יצור אנושי	1:בן אדם | 2:יצור אנושי
w0161	in	ב-, בתוך	ב	1:ב
w0162	in a moment	בעוד רגע	עוד רגע | מיד	1:עוד רגע | 2:מיד
w0164	in front of	בחזית של, מול	לפני | מול	1:לפני
w0167	inside	בתוך, פנים	בפנים | פנים	1:בפנים
w0168	into	אל תוך	לתוך	1:לתוך
w0172	joke	בדיחה	בדיחה | להתלוצץ	2:להתלוצץ
w0173	jump	לקפוץ	לקפוץ | קפיצה	2:קפיצה
w0176	know, knew	לדעת, ידע	לדעת | להכיר	2:להכיר
w0178	late	מאוחר, לאחר	מאוחר | מנוח	2:מנוח
w0179	later	מאוחר יותר	אחר כך	1:אחר כך
w0180	laugh	לצחוק	לצחוק | צחוק	2:צחוק
w0182	left	שמאלה	שמאל | לעזוב	1:שמאל | 2:לעזוב
w0184	lie	לשקר, שֶקֶר	לשקר | לשכב | שקר	2:לשכב
w0185	light	אור; קל	אור | קל | להדליק	3:להדליק
w0186	like	כמו; לחבב, להעדיף	לאהוב | כמו	1:לאהוב
w0187	link	קישור, לקשר, חוליה	קשר | קישור | לחבר	1:קשר | 3:לחבר
w0188	list	רשימה, להכין רשימה	רשימה | לרשום	2:לרשום
w0193	made	עשה	לעשות | ליצור	1:לעשות | 2:ליצור
w0197	meeting	פגישה	פגישה | ישיבה	2:ישיבה
w0199	message	הודעה	הודעה | מסר	2:מסר
w0200	middle	אמצע	אמצע | אמצעי	2:אמצעי
w0202	mistake	טעות	טעות | לטעות	2:לטעות
w0203	mix	לערבב, ערבוב	לערבב | תערובת	2:תערובת
w0209	mouth	פה	פה | שפך	2:שפך
w0210	move	לזוז, לעבור	לזוז | לעבור | מהלך	3:מהלך
w0211	must	חייב, חובה, הכרח	חייב | צריך | הכרח	2:צריך
w0212	near	קרוב	קרוב | ליד	2:ליד
w0213	need	צריך, צורך	להזדקק | צורך	1:להזדקק
w0214	never	אף פעם	לעולם לא	1:לעולם לא
w0222	number	מספר	מספר | למנות	2:למנות
w0226	offer	הצעה, להציע	להציע | הצעה | מבצע	3:מבצע
w0227	often	לעיתים קרובות	לעתים קרובות | תכופות	1:לעתים קרובות | 2:תכופות
w0229	once	ברגע ש-; פעם (בעבר); פעם אחת	פעם | כאשר	2:כאשר
w0230	only	רק	רק | יחיד	2:יחיד
w0234	outside	חוץ; בחוץ	בחוץ | מחוץ ל	2:מחוץ ל
w0235	over	על, מעל; מחדש, שוב	מעל | נגמר	2:נגמר
w0236	own	משלו; בעלות על משהו	עצמי | להחזיק	1:עצמי | 2:להחזיק
w0237	pain	כאב, להכאיב	כאב | לכאוב	2:לכאוב
w0238	part	חלק	חלק | להיפרד	2:להיפרד
w0239	pass	לעבור, לחלוף; להעביר, למסור; לוותר (___ on)	לעבור | להעביר | מסירה	3:מסירה
w0240	past	עבר, שעבר	עבר | קודם | ליד	2:קודם | 3:ליד
w0241	pay	לשלם	לשלם | שכר	2:שכר
w0242	peace	שלום	שלום | שקט	2:שקט
w0243	people	אנשים	אנשים | עם	2:עם
w0246	person	אדם	אדם | גוף	2:גוף
w0249	place	מקום, למקם	מקום | להניח	2:להניח
w0250	plan	תכנית; לתכנן	תוכנית | לתכנן	1:תוכנית
w0252	planet	כוכב לכת	כוכב לכת | פלנטה	2:פלנטה
w0254	pool	בריכה	בריכה | מאגר | לאגד	2:מאגר | 3:לאגד
w0255	poor	עני, מסכן	עני | גרוע	2:גרוע
w0267	quick	זריז	מהיר | זריז	1:מהיר
w0269	rain	גשם	גשם | לרדת גשם	2:לרדת גשם
w0270	reason	סיבה; הגיון	סיבה | היגיון | לנמק	2:היגיון | 3:לנמק
w0272	relationship	מערכת יחסים	קשר	1:קשר
w0273	relax	להירגע	להירגע | לנוח	2:לנוח
w0274	report	דיווח, לדווח	דוח | לדווח	1:דוח
w0279	ride	רכיבה, לרכוב	לרכוב | נסיעה	2:נסיעה
w0280	right	ימינה; זכות	נכון | זכות | ימין	1:נכון | 3:ימין
w0281	ring	טבעת; זירה	טבעת | לצלצל	2:לצלצל
w0282	road	דרך	כביש | דרך	1:כביש
w0283	run, ran	לרוץ, רץ	לרוץ | לנהל | לזרום	2:לנהל | 3:לזרום
w0284	safe	בטוח	בטוח | כספת	2:כספת
w0285	salt	מלח	מלח | להמליח	2:להמליח
w0289	school	בית-ספר	בית ספר | להקה	1:בית ספר | 2:להקה
w0291	secret	סוד	סוד | סודי	2:סודי
w0295	service	שירות	שירות | לתחזק	2:לתחזק
w0297	short	קצר	קצר | נמוך	2:נמוך
w0298	show	הופעה; להראות	להראות | מופע | תוכנית	2:מופע | 3:תוכנית
w0299	side	צד, לצודד, לתמוך	צד | לצדד	2:לצדד
w0301	simple	פשוט	פשוט | תמים	2:תמים
w0302	since	מכיוון ש-; מאז	מאז | מכיוון ש	2:מכיוון ש
w0304	single	רווק; יחיד	יחיד | בודד | רווק	2:בודד
w0305	sir	אדון, תואר אצולה אנגלי	אדוני	1:אדוני
w0309	slow	איטי, לאט	איטי | להאט	2:להאט
w0311	snow	שלג	שלג | לרדת שלג	2:לרדת שלג
w0312	so	אז, כך ש-, ולכן; כל-כך, מאוד	אז | כל כך	2:כל כך
w0313	so that	כך ש-	כדי ש	1:כדי ש
w0316	soon	בהקדם, מוקדם	בקרוב	1:בקרוב
w0318	special	מיוחד	מיוחד | מבצע	2:מבצע
w0319	spend	לבזבז, לפזר; לבלות, להעביר	להוציא | לבלות	1:להוציא
w0320	stand	לעמוד	לעמוד | דוכן | עמדה	2:דוכן | 3:עמדה
w0321	star	כוכב, לככב	כוכב | כוכבית	2:כוכבית
w0322	start	להתחיל	להתחיל | התחלה	2:התחלה
w0324	step	צעד, לצעוד	צעד | מדרגה | לצעוד	2:מדרגה
w0330	stupid	טיפש	טיפשי | מטומטם	1:טיפשי | 2:מטומטם
w0331	suddenly	לפתע	פתאום	1:פתאום
w0332	sugar	סוכר	סוכר | מותק	2:מותק
w0335	surprise	הפתעה	הפתעה | להפתיע	2:להפתיע
w0336	sweet	מתוק, ממתק	מתוק | חמוד	2:חמוד
w0339	team	צוות	קבוצה	1:קבוצה
w0341	than	מ-	מאשר	1:מאשר
w0343	thanks to	תודות ל-	הודות ל	1:הודות ל
w0344	that	ש-	ש | ההוא	1:ש | 2:ההוא
w0350	through	דרך, מבעד	דרך | באמצעות	2:באמצעות
w0351	ticket	כרטיס	כרטיס | דוח	2:דוח
w0352	time	זמן	זמן | פעם	2:פעם
w0354	too	גם; יותר מידי	גם | מדי	2:מדי
w0356	trust	אמון, לבטוח	אמון | לבטוח | קרן נאמנות	3:קרן נאמנות
w0358	turn	לפנות, סיבוב	לפנות | תור | לסובב	2:תור | 3:לסובב
w0359	under	מתחת	מתחת | תחת	2:תחת
w0361	until	עד ש-	עד	1:עד
w0362	until now	עד עתה	עד עכשיו | עד כה	1:עד עכשיו | 2:עד כה
w0364	usually	בדרך-כלל	בדרך כלל | לרוב	1:בדרך כלל | 2:לרוב
w0366	visit	לבקר	לבקר | ביקור	2:ביקור
w0367	voice	קול, להשמיע קול	קול | להביע	2:להביע
w0368	wait	להמתין, המתנה	לחכות | המתנה	1:לחכות
w0369	wall	קיר	קיר | חומה	2:חומה
w0370	want	לרצות	לרצות | מחסור	2:מחסור
w0372	watch	להסתכל, להשגיח; שעון	לצפות | שעון | להשגיח	1:לצפות
w0373	way	דרך	דרך | אופן	2:אופן
w0377	when	כאשר, כש-	מתי | כאשר	1:מתי
w0381	why	מדוע	למה | מדוע	1:למה
w0389	without	מבלי, ללא	בלי	1:בלי
w0390	wonderful	נפלא	נפלא | נהדר	2:נהדר
w0392	worse	גרוע יותר	רע | גרוע	1:רע | 2:גרוע
w0393	writer	סופר	סופר | כותב	2:כותב
w0407	afraid	מפחד	מפוחד | חושש	1:מפוחד | 2:חושש
w0416	along	לאורך	לאורך | יחד עם	2:יחד עם
w0418	although	למרות ש-	למרות ש	1:למרות ש
w0419	architect	ארכיטקט	אדריכל	1:אדריכל
w0423	as soon as	כאשר, ברגע ש-	ברגע ש	1:ברגע ש
w0424	as well as	כמו גם	כמו גם | וגם	2:וגם
w0425	asked for	ביקש	לבקש	1:לבקש
w0428	authentic	מקורי, אותנטי	אותנטי | אמיתי	2:אמיתי
w0431	base	בסיס	בסיס | לבסס	2:לבסס
w0433	bath	אמבטיה, להתרחץ	אמבטיה | רחצה	2:רחצה
w0434	beach	חוף ים	חוף	1:חוף
w0439	begin/an/un	להתחיל / התחיל / התחיל	להתחיל	1:להתחיל
w0448	candy	ממתק	ממתק | סוכריה	2:סוכריה
w0449	care	לחבב; לדאוג, לטפל	לדאוג | טיפול | לטפל	2:טיפול
w0450	case	תיבה; מקרה, טיעון	מקרה | תיק	2:תיק
w0453	catch, caught	לתפוס, תפס	לתפוס | להידבק	2:להידבק
w0454	cause	מטרה; גורם, סיבה	לגרום | סיבה	1:לגרום
w0458	cheat	לרמות, לבגוד	לרמות | רמאי	2:רמאי
w0459	chemical	כימיקל, כימי	כימי | חומר כימי	2:חומר כימי
w0462	circle	להקיף בעיגול; מעגל	מעגל | להקיף	2:להקיף
w0466	comic	קומי (מהמילה קומדיה)	קומי | קומיקס	2:קומיקס
w0467	connect	לחבר	לחבר | להתחבר	2:להתחבר
w0468	container	מיכל, קונטיינר	מכל | קונטיינר	1:מכל
w0470	copy	להעתיק	עותק | להעתיק	1:עותק
w0472	country	ארץ; כפר, אזור	מדינה | ארץ	1:מדינה
w0473	couple	זוג, לצמד	זוג | לחבר	2:לחבר
w0475	cousin	בן-דוד	בן דוד	1:בן דוד
w0477	crash	להתנגש, התנגשות	להתרסק | תאונה	1:להתרסק | 2:תאונה
w0479	criteria	אמות מידה, קריטריונים	קריטריון | אמת מידה	1:קריטריון | 2:אמת מידה
w0480	cross	לחצות; צלב, להצליב	לחצות | צלב | כועס	3:כועס
w0481	crowd	קהל; להצטופף	קהל | המון	2:המון
w0482	damage	נזק, לגרום נזק	נזק | להזיק	2:להזיק
w0484	darkness	חשיכה	חושך	1:חושך
w0488	depression	דיכאון	דיכאון | מיתון | שקע	2:מיתון | 3:שקע
w0489	design	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב | לעצב	1:עיצוב
w0494	dictator	עריץ, דיקטטור	רודן	1:רודן
w0497	direction	כיוון	כיוון | הכוונה	2:הכוונה
w0502	drastic	דרסטי	דרסטי | קיצוני	2:קיצוני
w0504	earlier	קודם לכן	מוקדם	1:מוקדם
w0506	echo	הד	הד | להדהד	2:להדהד
w0507	ecological	אקולוגי	אקולוגי | סביבתי	2:סביבתי
w0509	elastic	גמיש, אלסטי, גומיה	גמיש | גומייה	2:גומייה
w0515	enter	נכנס	להיכנס	1:להיכנס
w0516	episode	פרק	פרק | אירוע	2:אירוע
w0517	error	שגיאה	שגיאה | טעות	2:טעות
w0520	even though	למרות ש-	למרות ש	1:למרות ש
w0523	excellent	מצוין	מצוין | נהדר	2:נהדר
w0531	fail	להיכשל	להיכשל | להכשיל	2:להכשיל
w0533	farm	חווה	חווה | משק	2:משק
w0535	file	תיק, קובץ	קובץ | תיק | להגיש	3:להגיש
w0536	filter	פילטר, מסנן	מסנן | לסנן	2:לסנן
w0538	flow	זרם	לזרום | זרימה	1:לזרום | 2:זרימה
w0539	flower	פרח	פרח | לפרוח	2:לפרוח
w0541	for	מפני ש-; עבור	בשביל | עבור | כי	1:בשביל | 3:כי
w0545	found	מצא, גילה; לייסד	למצוא | לייסד	1:למצוא
w0546	freeze, froze	להקפיא, הקפיא	לקפוא | להקפיא	1:לקפוא
w0547	friendly	ידידותי	ידידותי | חברותי	2:חברותי
w0549	front	חזית, להתעמת	חזית | קדמי	2:קדמי
w0550	garden	גן	גינה	1:גינה
w0552	genes	גנים	גן	1:גן
w0555	giant	ענק	ענק | ענקי	2:ענקי
w0557	global	עולמי, גלובאלי	עולמי | גלובלי	2:גלובלי
w0558	goal	מטרה	מטרה | שער	2:שער
w0559	golden	מוזהב	זהוב	1:זהוב
w0564	gym	אולם ספורט	חדר כושר	1:חדר כושר
w0567	hid from	התחבא מ-	להסתתר מ	1:להסתתר מ
w0570	horror	אימה	אימה | זוועה	2:זוועה
w0572	in case	למקרה ש-, שמא; אם במקרה	למקרה ש	1:למקרה ש
w0574	in that case	במקרה הזה	אם כך	1:אם כך
w0577	installation	התקנה	התקנה | מיצב	2:מיצב
w0578	intellectual	אינטלקטואלי	אינטלקטואלי | אינטלקטואל	2:אינטלקטואל
w0581	intuition	אינטואיציה	אינטואיציה | תחושת בטן	2:תחושת בטן
w0589	kind	סוג; טוב לב, אדיב, נעים	סוג | אדיב | נחמד	3:נחמד
w0592	largest	הגדול ביותר	גדול	1:גדול
w0593	last	אחרון; המשיך, החזיק מעמד	אחרון | להימשך	2:להימשך
w0594	leader	מנהיג	מנהיג | מוביל	2:מוביל
w0596	level	לאזן, להשוות; רמה, דרגה, מפלס	רמה | ישר | ליישר	2:ישר | 3:ליישר
w0597	liberal	ליברלי, מתירני	ליברלי | נדיב	2:נדיב
w0598	library	ספריה	ספרייה	1:ספרייה
w0602	losing	מפסיד	לאבד | להפסיד	1:לאבד | 2:להפסיד
w0605	mail	דואר	דואר | לשלוח	2:לשלוח
w0606	main	עיקרי	עיקרי | ראשי	2:ראשי
w0607	makeup	איפור	איפור | הרכב	2:הרכב
w0611	market	שוק	שוק | לשווק	2:לשווק
w0612	master	להתמחות, לשלוט; אדון, שליט	אדון | לשלוט ב | מומחה	2:לשלוט ב | 3:מומחה
w0614	mental	נפשי	נפשי | שכלי	2:שכלי
w0615	mentor	מדריך רוחני	חונך	1:חונך
w0617	miss	להתגעגע; לפספס	להחמיץ | להתגעגע | לפספס	1:להחמיץ
w0618	mission	משימה	משימה | שליחות	2:שליחות
w0625	nature	טבע	טבע | מהות	2:מהות
w0627	negative	שלילי	שלילי | שלילה	2:שלילה
w0629	network	רשת	רשת | ליצור קשרים	2:ליצור קשרים
w0630	neutral	ניטרלי	ניטרלי | אדיש	2:אדיש
w0634	nurse	אחות	אחות | להניק | לטפל	2:להניק | 3:לטפל
w0635	obsession	אובססיה, דיבוק	אובססיה | שיגעון	2:שיגעון
w0636	of course... but...	כמובן... אך...	כמובן... אבל...	1:כמובן... אבל...
w0637	official	רשמי, מאושר	רשמי | פקיד	2:פקיד
w0639	on top of	על, מעל	מעל | בנוסף ל	2:בנוסף ל
w0643	order	סדר; פקודה, לצוות; להזמין; מסדר (דתי)	הזמנה | סדר | פקודה	1:הזמנה
w0645	original	מקורי	מקורי | מקור	2:מקור
w0647	package	חפיסה, חבילה	חבילה | לארוז	2:לארוז
w0649	panic	פאניקה, בהלה	פאניקה | להיבהל	2:להיבהל
w0652	path	דרך, נתיב	שביל | נתיב	1:שביל
w0653	pause	הפסקה, להפסיק	הפסקה | להשהות	2:להשהות
w0656	pet	חיית מחמד	חיית מחמד | ללטף	2:ללטף
w0660	photograph	צילום, לצלם	תצלום | לצלם	1:תצלום
w0663	pilot	טייס	טייס | ניסיוני | להטיס	2:ניסיוני | 3:להטיס
w0664	potential	אפשרי, פוטנציאלי	פוטנציאל | פוטנציאלי	1:פוטנציאל
w0665	powerful	רב כוח	חזק | רב עוצמה | משפיע	1:חזק | 2:רב עוצמה | 3:משפיע
w0666	prehistoric	קדמון, פרה-היסטורי	פרהיסטורי | קדום	1:פרהיסטורי | 2:קדום
w0667	prepare	התכונן	להכין | להתכונן	1:להכין | 2:להתכונן
w0668	presentation	מצגת	מצגת | הצגה	2:הצגה
w0670	professional	מקצועי	מקצועי | מקצוען	2:מקצוען
w0671	program	תכנית; תכניה; לתכנת	תוכנית | לתכנת	1:תוכנית
w0672	puzzle	חידה, פאזל	חידה | לבלבל	2:לבלבל
w0673	quality	איכות	איכות | תכונה	2:תכונה
w0674	question	להטיל ספק; שאלה	שאלה | לפקפק | לחקור	2:לפקפק | 3:לחקור
w0677	rat	עכברוש	עכברוש | מלשין	2:מלשין
w0683	repeat	לחזור; שידור/מאורע חוזר	לחזור על | חזרה	1:לחזור על | 2:חזרה
w0684	respond	להגיב, תגובה, תשובה	להגיב | לענות	2:לענות
w0687	result	תוצאה	תוצאה | לנבוע	2:לנבוע
w0688	revolution	מהפכה	מהפכה | סיבוב	2:סיבוב
w0689	ring, rang	לצלצל, צלצל	טבעת | לצלצל	1:טבעת
w0692	rocket	טיל	רקטה | טיל	1:רקטה
w0695	root	שורש	שורש | להשתרש	2:להשתרש
w0697	rule	לשלוט, לפסוק, להחליט; כלל, חוק, שלטון	כלל | למשול	2:למשול
w0702	seem	נראה כ-, דומה ל-	להיראות	1:להיראות
w0703	sense	היגיון, תודעה; חוש, לחוש	חוש | תחושה | לחוש	2:תחושה
w0706	set up	להרכיב, לארגן, לסדר	להקים | לארגן	1:להקים
w0708	sharp	חד	חד | חריף	2:חריף
w0710	shoulder	כתף	כתף | לשאת	2:לשאת
w0713	size	גודל	גודל | מידה	2:מידה
w0714	skill	יכולת, מיומנות	מיומנות | כישרון	2:כישרון
w0720	sold	מכר	למכור	1:למכור
w0721	solution	פתרון	פתרון | תמיסה	2:תמיסה
w0723	sort	למיין	סוג | למיין	1:סוג
w0724	speak, spoke	לדבר, דיבר	לדבר | לנאום	2:לנאום
w0725	speed	מהירות	מהירות | למהר	2:למהר
w0727	spicy	פיקנטי	חריף	1:חריף
w0729	sponsor	נותן חסות	נותן חסות | לתת חסות	2:לתת חסות
w0731	spray	לרסס, לפזר	תרסיס | לרסס	1:תרסיס
w0736	storm	סערה	סערה | להסתער	2:להסתער
w0739	stuff	דברים; למלא, לפחלץ	דברים | למלא | לדחוס	3:לדחוס
w0741	such as	כמו למשל	כגון	1:כגון
w0742	suggest	להציע	להציע | לרמז	2:לרמז
w0749	talent	כשרון	כישרון	1:כישרון
w0750	tax	מס	מס | למסות	2:למסות
w0753	tiny	קטנטן	זעיר | קטנטן	1:זעיר
w0754	tone	טון	טון | נימה	2:נימה
w0755	tour	סיור	סיור | לסייר	2:לסייר
w0757	tower	מגדל	מגדל | להתנשא	2:להתנשא
w0759	toxic	רעיל	רעיל | מזיק	2:מזיק
w0761	treasure	אוצר, לנצור	אוצר | להוקיר	2:להוקיר
w0762	triple	פי 3	משולש | לשלש	1:משולש | 2:לשלש
w0763	twins	תאומים	תאום	1:תאום
w0770	unsafe	לא בטוח	לא בטוח | מסוכן	2:מסוכן
w0772	upgrade	לשדרג	שדרוג | לשדרג	1:שדרוג
w0773	use	תועלת, תכלית; לנצל; להשתמש	להשתמש | שימוש	2:שימוש
w0774	vacation	חופשה	חופשה | לנפוש	2:לנפוש
w0776	versions	גרסאות	גרסה	1:גרסה
w0781	wave	גל	גל | לנופף	2:לנופף
w0783	weight	משקל	משקל | כובד | חשיבות	2:כובד | 3:חשיבות
w0784	while	בזמן ש-, בעוד ש-; ואילו, אף על פי ש-; כל עוד	בזמן ש | בעוד ש	1:בזמן ש | 2:בעוד ש
w0787	wood	עץ	עץ | יער	2:יער
w0788	worldwide	כלל עולמי, בכל העולם	עולמי	1:עולמי
w0790	zone	אזור	אזור | תחום	2:תחום
w0792	above all	מעל לכל	מעל הכול	1:מעל הכול
w0793	absurd	מגוחך, לא סביר	אבסורדי | מגוחך	1:אבסורדי
w0795	accident	תאונה	תאונה | מקרה	2:מקרה
w0796	according	לפי	לפי | על פי | בהתאם ל	2:על פי | 3:בהתאם ל
w0797	across	בצד השני, לרוחב	מעבר ל	1:מעבר ל
w0804	alarm	דאגה, להדאיג; אזעקה	אזעקה | חרדה | להבהיל	2:חרדה | 3:להבהיל
w0805	allow	להרשות	להרשות | לאפשר	2:לאפשר
w0808	as a result	כתוצאה	כתוצאה מכך	1:כתוצאה מכך
w0810	attractive	נאה, מושך	מושך | אטרקטיבי | יפה	2:אטרקטיבי | 3:יפה
w0813	award	פרס, להעניק פרס	פרס | להעניק	2:להעניק
w0814	badly	בצורה גרועה, רע; קשות, נואשות	רע | מאוד	2:מאוד
w0815	balance	שיווי משקל; איזון, לאזן	איזון | לאזן | יתרה	3:יתרה
w0819	beat	מקצב; מכה, להכות	לנצח | להכות | קצב	1:לנצח | 3:קצב
w0823	birth	לידה	לידה | מוצא	2:מוצא
w0825	blind	עיוור	עיוור | לסנוור | תריס	2:לסנוור | 3:תריס
