645c372b63	להרשיע
64ac5ec61b	מורשת
6523c3baff	מרעה
65cd5c1a85	ילד
66cd33c486	זעם
66ea32c525	מרשם
673372f4c0	להיווסד
678d9774f4	עיירה
680244c07e	אמצעי
68ad2258fb	תרבות
696c620ab9	אדיב
696e455e86	משונן
698bdb15d3	צמיחה
6a1380022e	מחסור
6b08b1c5ba	לדאות
6bba013b47	חשמל
6c21b00b51	אומן
6c5673cb8d	לשפוט
6cfb3f7d5e	עדיפות
6d214b8576	להגיע לשיא
6d3b676ee3	לחשל
6ec706f7bf	בן תקופה
6ee4e53683	מוכה
6ff0d11457	כיסוי
7013d6972b	יומיומי
7073e72052	להרוויח
708137d689	מעוצב
708b1979de	תנור בישול
70bbffe2bc	דור
719cd9e5b2	מהוסס
72263adbf4	מגורים
724ca562a9	לקחת בחשבון
72992aecff	לבלוט
72ed1f3d97	לקבל פנים
7305c6958a	להסיג גבול
7381fff934	מעי
74248657d5	רזה
742d265912	פיגור בתשלום
7451f16228	מהיר
75cbabb1c7	להעניק פרס
7710d85db6	להתעוור
77188f5896	גנטי
773794052f	להבריק
77c28becee	בעלות
77d9078d8e	מדיה
7845e0bf4e	מחקר
788287c5e0	פתח
79606636d4	בכיר
7a1aaa19e7	אישיות
7a64960b3b	אולם ספורט
7ab1d4b923	מסלול
7ad1741120	בקשה
7b13e66ff8	רגיל
7b5b337103	מונח
7b7528e2f5	להקל
7ba449c928	בן זמן
7bc472fa81	עשיר
7c4082ceb1	בדיקה
7d38f946cc	עימות
7d9360ad0d	לא נבדק
8016229908	גנטי
8138505914	קפדני
81c76cc098	חוליה
81e28c8006	בית קברות
826bfad8b8	צרכן
827956f5f9	להתמשך
82bbae3ef2	עוני
82cd042500	בחינה
8305c1fc9e	להניח
835ea59822	מרשם
83f43503d2	להציג
85463f7cd3	קהל
85e12d5a1b	עניין
86f9c971e6	מבצע
87441270d2	להעביר
876a1848be	ריבית
87a5f4a5bc	למדוד
87ec0c99c3	להחמיר
88089244c7	פרח
8836f2ab5c	חוסן
889602b400	רהוט
88d995b6b8	הערה
890ccf02be	סתיו
8943a5233d	לבקר
8a943c969e	להציג
8c7eae3e92	עיתון
8c8565aaaf	לייצר
8d40b1b5ae	לעדכן
8dba7d8c15	בחינה
8eb6e61894	לקשט
8ec455ecb8	אדיב
8f3aaae0e9	לשחזר
8f3cd708ce	אתלט
901405ce14	רווחי
901939d1ae	להשמיע קול
903e9bf97a	מצב רוח
90670ee800	להשתמש
91657161c4	בטיחות
928d37b10e	לקשר
92c081291f	מושבה
930500a807	תקשורת
9398a311e1	להקביל
940643f497	להפיץ
946310a144	אירוע
952bc03b0c	שלא נחקר
9551da40d4	חזק
95d3f3cf8d	תיאור
96087ddd9b	חיוני
969f9b8fb6	אמצעי
976f47f006	אולם ספורט
99b7d039a8	מבצע
99d1567590	עור
9a47067495	לצום
9a7b695247	מצב רוח
9b7c3385f2	עדיפות
9ce8d2efea	עכשווי
9d88bac4d2	מחלקה
9edfd10fc7	לכלול
a004c8c80f	תקשורת
a0458bd1e7	ציפייה
a0fa8144d2	קזינו
a12c624b96	להודיע
a18760a76e	מסדרון
a1b2b23960	לחשמל
a200d4621e	להסכים
a346412905	בטיחות
a3a81cdb22	עמידות
a3b6776f85	קישור
a5913ff9d2	שניתן לוותר עליו
a5c76e096d	תאום
a66b9d6c4e	אירוסין
a675bc86d4	מודעה
a6b962ca9b	מודעה
a75c3a5a3a	שניתן לוותר עליו
a7dfcc0305	לחפוף
a86a729498	מום
aada477a4d	לצפות
aaf4dafd51	להרשות לעצמו
ac840dea2a	מורשת
ad2ccfa56c	התנהגות
ae2f755f31	להביע
ae6962efbc	להרוויח
ae73af6f83	הליך
aecc8c8ee1	ירקות ופירות
af1d66c101	להגיע לשיא
b074bde5cc	גביע
b26e4f3381	עתיק
b37cddd18f	להסכים
b3881de86e	וידוי
b46a5bb44d	למאן
b61a8bc9a9	מסר
b6b0791e29	לשפוט
b802e388c6	מכסה
b89629cef4	להביע
b8ba60d3b2	קדום
b8d1a6554d	לרשום מרשם
ba92e84890	אדון
baf59519a2	בוז
be4d9cc24b	לשלוט
beae08c6c5	אחו
bf25212052	לקוח
bfa67c3ff2	רשות
bfc38d008f	משקל
c1e14338ef	לבלוט
c1f9047419	נוהל
c21ed593cc	פסק דין
c5d1d262b4	חוסן
c6036ec142	פולשני
c61364d136	קרן מסועפת
c6179d9ae8	להחפז
c61905aceb	שגשוג
c63f99ae41	מום
c7e5c8bd51	להעצים
c821459764	לבקר
c89f6f834c	סחורה
c8d0f87ba9	לצפות
c930a700a4	בלתי נשכח
c950b00255	להציג
c958067abe	לעמוד בהוצאה
ca05d86c4e	לעטוף
cab4c5d3e2	ליהנות
cb0b08f519	מחלקה
cb5f797525	דור
cc56f6855f	מודרני
ccfad4e552	שייך בהתאמה
cd1d4530f0	תפוצת מידע
cd24ed4b19	טוב לב
cd8dc46f8d	למהר
cdbb734616	לחרוט
cdbc41b2f5	מפואר
ce5e0a58dd	סקר
ce8e380613	פרח
ce9ad256f8	להרהיב
cfd5b48981	צייד לא מורשה
d0a360c27c	תורשתי
d0cf51acdc	מחושל
d0f1881721	עיוות
d13dae234e	תיאור
d17d22a5b8	פולשני
d1e2dd29a4	גביע
