w2665	לשקף	להרהר	-
w0558	מטרה	שער	-
w2030	רחב	כללי	-
w2387	ציפייה	-	-
w2788	חרד	להוט	-
w1053	תרגול	לתרגל	נוהג
w0086	חלום	לחלום	-
w1554	לא רצוי	-	-
w2421	לפצות	לקזז	-
w3873	חידוש	-	-
w2052	מסקנה	סיום	-
w3559	לציית	לסבול	-
w2778	חיבה	-	-
w2833	מדבק	-	-
w1917	פסל	-	-
w0171	להצטרף	לחבר	-
w1989	בעל ברית	-	-
w3740	תלונה	-	-
w2403	לשטוף מוח	-	-
w3363	לגרום	לשכנע	-
w3447	מרשם	-	-
w2472	לא לציית	למרוד	-
w1849	להציע	-	-
w2627	יותר מדי	-	-
w3385	חקיקה	-	-
w3556	להניב	להיכנע	תשואה
w0387	לרצות	משאלה	לאחל
w3093	שפה	חישוק	-
w3903	מעמד	קומה	-
w1398	למקסם	-	-
w1302	אמפתיה	הזדהות	-
w0298	להראות	מופע	תוכנית
w0337	מערכת	-	-
w0564	חדר כושר	-	-
w2071	חוב	-	-
w2343	טיול	למעוד	-
w0115	קודם כל	-	-
w0414	חי	-	-
w2470	אפליה	הבחנה	-
w2997	מתון	קל	-
w3169	לדבוק	להידבק	-
w1172	שימושי	מועיל	-
w2220	לשנות	-	-
w3355	חסר פניות	אובייקטיבי	-
w2809	קיבולת	יכולת	תפקיד
w0215	חדש	-	-
w2428	עימות	-	-
w2183	משקיע	-	-
w0900	נשר	-	-
w1933	עליון	עילאי	-
w3394	זוהר	-	-
w3437	יציבה	עמדה	-
w2056	לבנות	מבנה	-
w1197	להדהים	-	-
w1784	להצדיק	-	-
w0255	עני	גרוע	-
w2959	ללא הגבלה	-	-
w1133	מדינה	מצב	לציין
w0928	אשמה	פגם	-
w0352	זמן	פעם	-
w1594	להרגיז	-	-
w1548	מדים	אחיד	-
w0288	סצנה	זירה	-
w3685	להצטמצם	לדעוך	-
w1504	בשקט	-	-
w3943	היטב	בריא	באר
w0936	להפוך	-	-
w3202	להגדיל	לחזק	-
w2731	לפתות	-	-
w3315	ניצול	-	-
w0464	ענן	-	-
w1387	אגדה	מקרא	-
w1624	קשר	אג"ח	להתחבר
w1850	לעורר	להתגרות	-
w3737	גביע	-	-
w3251	התכתבות	התאמה	-
w1842	עיקרי	ראשוני	-
w3341	למהר	להאיץ	-
w1942	קבר	-	-
w2338	ראשית	-	-
w0495	דילמה	-	-
w2290	מגורים	-	-
w3913	רגיש	נוטה	-
w1388	אורך	-	-
w0838	מרכזי	-	-
w1265	לשכנע	-	-
w0661	פיזי	גופני	-
w0632	רעש	-	-
w2670	משטר	-	-
w2146	גיליוטינה	-	-
w0199	הודעה	מסר	-
w1092	לייצג	-	-
w0165	כדי	-	-
w0588	לבעוט	בעיטה	-
w3449	נפוץ	-	-
w3784	גמיש	-	-
w0214	לעולם לא	-	-
w3800	רשלנות	-	-
w0582	להזמין	-	-
w0950	ציון	דרגה	לדרג
w3289	בצורת	-	-
w1749	להבטיח	אחריות	-
w3429	שכנוע	-	-
w1023	עצבני	מתוח	-
w2733	להפחיד	להבהיל	-
w0754	טון	נימה	-
w3758	שכיחות	-	-
w3029	קישוט	-	-
w0189	להקשיב	-	-
w0840	אתגר	לאתגר	לערער
w1668	מושחת	להשחית	-
w2006	הצידה	-	-
w3770	מילת קריאה	-	-
w3661	סוטה	-	-
w2043	קוגניציה	-	-
w1581	בחו"ל	-	-
w1160	רכבת	להתאמן	לאמן
w3028	מוכוון	-	-
w1019	אומה	עם	-
w1311	לבסוף	-	-
w2666	השתקפות	הרהור	-
w0700	מדע	-	-
w2524	להדק	לחבר	-
w1203	בנפרד	-	-
w1086	דת	-	-
w0327	מוזר	-	-
w2916	גיוס כספים	-	-
w3791	יונק כיס	-	-
w1022	שכונה	-	-
w2822	אודקולון	בושם	-
w1501	תופעת לוואי	-	-
w1361	היברידי	הכלאה	-
w2557	באופן זהה	-	-
w0911	כניסה	-	-
w2182	להשקיע	-	-
w3356	בבוא הזמן	-	-
w2595	ספרות	-	-
w2953	בפזיזות	-	-
w0691	נהר	-	-
w1449	לפרסם	-	-
w1258	לבלבל	-	-
w2664	להתייחס	להפנות	-
w3343	לגרור	שלל	-
w1575	מוכן	-	-
w0970	תמונה	דימוי	-
w0623	מוטציה	-	-
w0140	בריאות	-	-
w0821	פעמון	-	-
w2728	להשעות	לתלות	להשהות
w2772	לרכוש	-	-
