w1442	ראשי	מעולה	שיא
w3312	ציפייה	תוחלת	-
w0384	לנצח	ניצחון	-
w0432	מבוסס על	-	-
w3107	בית מטבחיים	-	-
w2226	לאום	אזרחות	-
w1585	להשיג	-	-
w3569	זיקה	משיכה	-
w2580	לפלוש	-	-
w3686	רהוט	-	-
w1422	התנגדות	אופוזיציה	-
w1290	לחלק	-	-
w3870	להתמרמר	לחוש טינה	-
w2354	לא צודק	-	-
w2793	לצוץ	להתעורר	-
w2357	לא מוכן	לא מעוניין	-
w1024	כבר לא	-	-
w1857	תער	-	-
w2485	לטפטף	טיפה	-
w3453	עמוקות	-	-
w2922	סחורה	מוצרים	-
w0220	לא רק	-	-
w2671	תקנה	רגולציה	-
w0934	שטוח	דירה	-
w3821	עליון	חשוב ביותר	-
w2160	לייבא	ייבוא	חשיבות
w2819	ג'וק	תיקן	-
w1192	אסתטי	-	-
w0261	פרטי	-	-
w3427	פרט	-	-
w0207	הכי	רוב	-
w3726	שוליים	פוני	-
w3826	לשבת	מוט	-
w1787	צולע	גרוע	-
w3422	לגבור על	-	-
w2286	להישאר	שריד	-
w2582	פלישה	-	-
w0248	תמונה	לדמיין	-
w1378	הקדמה	היכרות	-
w3883	תחושה	סנסציה	-
w0314	חייל	-	-
w2423	קומפוסט	-	-
w2358	הפוך	-	-
w2999	אומלל	-	-
w1390	מטען	לטעון	-
w3555	פצע	לפצוע	-
w2309	ספקנות	-	-
w2245	התמצאות	כיוון	-
w0482	נזק	להזיק	-
w2998	לחקות	-	-
w2402	לפרוח	פריחה	-
w3203	יראת כבוד	התפעלות	-
w1173	חסר תועלת	חסר ערך	-
w1394	לצעוד	צעדה	-
w1955	מיותר	-	-
w2125	מועדף	להעדיף	-
w1128	לאיית	כישוף	תקופה
w0636	כמובן... אבל...	-	-
w3032	לפקח על	-	-
w2225	נרטיב	סיפור	-
w1373	לעורר השראה	-	-
w1458	טווח	לנוע	-
w2412	גלימה	להסוות	-
w1156	לגמרי	-	-
w1256	רכיב	מרכיב	-
w1908	לשפוך	דליפה	-
w2982	לארוב	להתחבא	-
w3708	נפלא	מעודן	-
w3067	נדיר	-	-
w1112	משפט	לגזור דין	-
w3011	להזניח	הזנחה	-
w2641	תחזית	ניבוי	-
w2158	יצירתי	בעל דמיון	-
w0549	חזית	קדמי	-
w0575	באותו אופן	-	-
w2296	זבל	אשפה	-
w2034	מסוגל	כשיר	-
w2558	להאליל	להעריץ	-
w3732	מד	להעריך	-
w2703	משמעות	חשיבות	-
w2675	להקל	-	-
w1037	מטופל	חולה	-
w2102	מעורבות	אירוסין	-
w2300	עונה	לתבל	-
w1439	להעמיד פנים	-	-
w0965	לצוד	ציד	-
w3827	תמידית	ללא הרף	-
w1095	מחקר	לחקור	-
w3137	בלתי נסבל	-	-
w2975	קומקום	-	-
w1936	להתנדנד	נדנדה	-
w3154	ארון בגדים	מלתחה	-
w1742	פער	-	-
w0905	יעיל	אפקטיבי	-
w0057	כנסייה	-	-
w2626	לחפוף	חפיפה	-
w3723	מרשים	מפחיד	-
w3301	לדמיין	לחזות	-
w2026	לטשטש	טשטוש	-
w0525	יקר	-	-
w3304	להתפרץ	-	-
w2806	לגדל	זן	-
w1733	טביעת רגל	-	-
w0612	אדון	לשלוט ב	מומחה
w0275	כבוד	לכבד	-
w0515	להיכנס	-	-
w3724	לנטוש	לזנוח	-
w1774	השראה	-	-
w1067	הוכחה	-	-
w2590	פועל	-	-
w2242	לתזמר	לארגן	-
w1630	לבנה	-	-
w2094	תמהוני	משונה	-
w1413	כינוי	-	-
w3277	תלמיד	חסיד	-
w0850	עמית	-	-
w0046	לשרוף	לבעור	-
w1662	להתייעץ	לעיין ב	-
w2460	ייאוש	-	-
w2267	עדיף	מועדף	-
w0583	אירוני	-	-
w3308	סופי	-	-
w1495	בנפרד	-	-
w0343	הודות ל	-	-
w1862	להחלים	להתאושש	לשחזר
w1496	הפרדה	פרידה	-
w0528	להתפוצץ	-	-
w1125	דרומי	-	-
w3666	פירוק נשק	-	-
w1307	מגפה	-	-
w1751	בכבדות	מאוד	-
w3035	משוט	לחתור	-
w0683	לחזור על	חזרה	-
w2613	משקיף	צופה	-
w1245	לגבות	להאשים	מטען
w2511	להחריג	לא לכלול	-
w0973	השפעה	להשפיע	-
w1436	הריון	-	-
w2540	דגן	גרגר	-
w1347	לייצר	ליצור	-
w1411	צר	לצמצם	-
w1793	בול עץ	יומן	לתעד
w2356	לא שגרתי	חריג	-
w3912	רגישות	נטייה	-
w1629	ענף	סניף	להסתעף
w0128	כללי	גנרל	-
w2604	למזג	להתמזג	-
w1706	להביך	-	-
w3818	ישיר	בוטה	-
w1105	לוח זמנים	לתזמן	-
