# summer_2026 · fmt=B · analogy=106 · completion=119
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
סופר	סופר	analogy	1	1	רגל	full	ספר
קורא	קורא	analogy	1	1	רגל	miss	
מאייר	מאייר	analogy	1	1	מסיח 1	miss	
צייר	צייר	analogy	1	1	מסיח 1	full	צור
טבח	טבח	analogy	1	1	מסיח 2	miss	
סועד	סועד	analogy	1	1	מסיח 2	full	סועד
מנצח	מנצח	analogy	1	1	מסיח 3	close	נצח
נגן	נגן	analogy	1	1	מסיח 3	miss	
מחזאי	מחזאי	analogy	1	1	מסיח 4	miss	
שחקן	שחקן	analogy	1	1	מסיח 4	close	שחק
בא	בא	analogy	1	3	רגל	miss	
הדיר רגליו	הדיר רגליו	analogy	1	3	רגל	full	הדיר רגליו
הבחין	הבחין	analogy	1	3	מסיח 1	miss	
נעלם מעיניו	נעלם מעיניו	analogy	1	3	מסיח 1	close	עלמ
דיבר	דיבר	analogy	1	3	מסיח 2	full	דביר
נצר לשונו	נצר לשונו	analogy	1	3	מסיח 2	full	נצר לשונו
היה לאל ידו	היה לאל ידו	analogy	1	3	מסיח 3	full	היה לאל ידו
התרושש	התרושש	analogy	1	3	מסיח 4	full	התרושש
פשט יד	פשט יד	analogy	1	3	מסיח 4	close	פשט
אבקה	אבקה	analogy	1	4	רגל	full	אבוקה
לכתוש	לכתוש	analogy	1	4	רגל	full	כתש
טיפות	טיפות	analogy	1	4	מסיח 1	full	טף
ללחלח	ללחלח	analogy	1	4	מסיח 1	miss	
נוזל	נוזל	analogy	1	4	מסיח 2	miss	
להתיך	להתיך	analogy	1	4	מסיח 2	full	התיך
יהלום	יהלום	analogy	1	4	מסיח 3	close	הלמ
ללטש	ללטש	analogy	1	4	מסיח 3	full	לטש
ברק	ברק	analogy	1	4	מסיח 4	miss	
לצחצח	לצחצח	analogy	1	4	מסיח 4	miss	
כפר	כפר	analogy	1	5	רגל	full	כפר
חף מפשע	חף מפשע	analogy	1	5	רגל	miss	
גינה	גינה	analogy	1	5	מסיח 1	close	גנה
פסול	פסול	analogy	1	5	מסיח 1	close	פסל
החליט	החליט	analogy	1	5	מסיח 2	miss	
נחוש	נחוש	analogy	1	5	מסיח 2	miss	
נעלב	נעלב	analogy	1	5	מסיח 3	miss	
פגוע	פגוע	analogy	1	5	מסיח 3	miss	
התפאר	התפאר	analogy	1	5	מסיח 4	close	פאר
מוצלח	מוצלח	analogy	1	5	מסיח 4	close	צלח
כרך	כרך	analogy	1	6	רגל	full	כרך
עיירה	עיירה	analogy	1	6	רגל	close	ערה
שכונה	שכונה	analogy	1	6	מסיח 1	close	שכנ
רחוב	רחוב	analogy	1	6	מסיח 1	close	רחב
אופנוע	אופנוע	analogy	1	6	מסיח 2	miss	
אופניים	אופניים	analogy	1	6	מסיח 2	close	פנמ
דיבור	דיבור	analogy	1	6	מסיח 3	full	דביר
מלמול	מלמול	analogy	1	6	מסיח 3	close	מלמל
אימה	אימה	analogy	1	6	מסיח 4	full	אימה
חשש	חשש	analogy	1	6	מסיח 4	miss	
נזוף	נזוף	analogy	2	1	רגל	miss	
נזף	נזף	analogy	2	1	רגל	miss	
זועם	זועם	analogy	2	1	מסיח 1	miss	
הקניט	הקניט	analogy	2	1	מסיח 1	full	הקניט
כלוא	כלוא	analogy	2	1	מסיח 2	close	כלא
העניש	העניש	analogy	2	1	מסיח 2	miss	
חצוף	חצוף	analogy	2	1	מסיח 3	miss	
התחצף	התחצף	analogy	2	1	מסיח 3	miss	
מוכה	מוכה	analogy	2	1	מסיח 4	miss	
הרביץ	הרביץ	analogy	2	1	מסיח 4	full	רבץ
