# 2020_autumn · fmt=B · analogy=116 · completion=95
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
המלכה	המלכה	analogy	1	1	רגל	close	מלכ
מלך	מלך	analogy	1	1	רגל	close	מלכ
הרחקה	הרחקה	analogy	1	1	מסיח 1	close	חקה
מרחק	מרחק	analogy	1	1	מסיח 1	close	מרח
הדבקה	הדבקה	analogy	1	1	מסיח 2	close	דבק
דביק	דביק	analogy	1	1	מסיח 2	full	דבק
הרעלה	הרעלה	analogy	1	1	מסיח 3	full	רעלה
רעל	רעל	analogy	1	1	מסיח 3	close	רעל
הדגשה	הדגשה	analogy	1	1	מסיח 4	miss	
מודגש	מודגש	analogy	1	1	מסיח 4	miss	
זמם	זמם	analogy	1	2	רגל	close	זממ
תכנן	תכנן	analogy	1	2	רגל	close	תכנ
בדה	בדה	analogy	1	2	מסיח 1	full	בדה
סיפר	סיפר	analogy	1	2	מסיח 1	full	ספר
טפל	טפל	analogy	1	2	מסיח 2	full	טפל
האשים	האשים	analogy	1	2	מסיח 2	close	אשמ
פגע	פגע	analogy	1	2	מסיח 3	miss	
העליב	העליב	analogy	1	2	מסיח 3	miss	
עולל	עולל	analogy	1	2	מסיח 4	full	עולל
עשה	עשה	analogy	1	2	מסיח 4	close	עשה
אקווריום	אקווריום	analogy	1	3	רגל	close	קרמ
מזווה	מזווה	analogy	1	3	מסיח 1	full	מזווה
מזון	מזון	analogy	1	3	מסיח 1	miss	
אבוס	אבוס	analogy	1	3	מסיח 2	full	אבוס
חציר	חציר	analogy	1	3	מסיח 2	miss	
עציץ	עציץ	analogy	1	3	מסיח 3	miss	
אדמה	אדמה	analogy	1	3	מסיח 3	close	דמה
אח	אח	analogy	1	3	מסיח 4	miss	
אש	אש	analogy	1	3	מסיח 4	miss	
קצר	קצר	analogy	1	4	רגל	close	קצר
קצרצר	קצרצר	analogy	1	4	רגל	close	קצר
חם	חם	analogy	1	4	מסיח 1	miss	
לוהט	לוהט	analogy	1	4	מסיח 1	full	להוט
חרישי	חרישי	analogy	1	4	מסיח 2	full	חרישי
דומם	דומם	analogy	1	4	מסיח 2	full	דומם
חמוץ	חמוץ	analogy	1	4	מסיח 3	close	חמצ
חמצמץ	חמצמץ	analogy	1	4	מסיח 3	close	חמצ
מוקטן	מוקטן	analogy	1	4	מסיח 4	close	קטנ
חתך	חתך	analogy	1	5	רגל	miss	
פרס	פרס	analogy	1	5	רגל	close	פרס
עיקם	עיקם	analogy	1	5	מסיח 1	miss	
קימר	קימר	analogy	1	5	מסיח 1	full	קמור
נקש	נקש	analogy	1	5	מסיח 2	miss	
הלם	הלם	analogy	1	5	מסיח 2	full	הלם
מסק	מסק	analogy	1	5	מסיח 3	full	מסק
בצר	בצר	analogy	1	5	מסיח 3	full	בצר
הצית	הצית	analogy	1	5	מסיח 4	miss	
ליבה	ליבה	analogy	1	5	מסיח 4	full	ליבה
נזיפות	נזיפות	analogy	1	6	רגל	miss	
להוכיח	להוכיח	analogy	1	6	רגל	miss	
קובלנות	קובלנות	analogy	1	6	מסיח 1	close	בלנ
לשבח	לשבח	analogy	1	6	מסיח 1	miss	
השגות	השגות	analogy	1	6	מסיח 2	miss	
לבקר	לבקר	analogy	1	6	מסיח 2	miss	
שמועות	שמועות	analogy	1	6	מסיח 3	miss	
להזם	להזם	analogy	1	6	מסיח 3	full	הזם
פרסומות	פרסומות	analogy	1	6	מסיח 4	close	פרס
לקנות	לקנות	analogy	1	6	מסיח 4	miss	
אות	אות	analogy	2	1	רגל	miss	
נו"ן	נו"ן	analogy	2	1	רגל	miss	
בית	בית	analogy	2	1	מסיח 1	miss	
סלון	סלון	analogy	2	1	מסיח 1	miss	
עיר	עיר	analogy	2	1	מסיח 2	full	עיר
כפר	כפר	analogy	2	1	מסיח 2	full	כפר
כסף	כסף	analogy	2	1	מסיח 3	close	כספ
מטבע	מטבע	analogy	2	1	מסיח 3	close	מטבע
עונה	עונה	analogy	2	1	מסיח 4	miss	
עגלון	עגלון	analogy	2	2	רגל	full	עגלון
עגלה	עגלה	analogy	2	2	רגל	close	גלה
ימאי	ימאי	analogy	2	2	מסיח 1	miss	
שייט	שייט	analogy	2	2	מסיח 2	miss	
משוט	משוט	analogy	2	2	מסיח 2	full	משוט
מכונאי	מכונאי	analogy	2	2	מסיח 3	miss	
מכונית	מכונית	analogy	2	2	מסיח 3	miss	
טייס	טייס	analogy	2	2	מסיח 4	full	טס
