הדרן	הַדְרָן	בטוח
קיבורת	קִיבּוֹרֶת	?
חשבונייה	חֶשְׁבּוֹנִיָּה	בטוח
מהוקצע	מְהוּקְצָע	בטוח
סייס	סַיָּס	בטוח
צביון	צִבְיוֹן	בטוח
מכורה	מְכוֹרָה	בטוח
אצטגנין	אִצְטַגְנִין	?
לודר	לוּדָר	?
קופיץ	קוֹפִיץ	בטוח
זרבובית	זַרְבּוּבִית	?
צפריר	צַפְרִיר	בטוח
מצודד	מְצוֹדֵד	בטוח
אפיל	אָפִיל	?
אסוך	אָסוּךְ	בטוח
אסל	אָסֵל	?
צרי	צֳרִי	בטוח
תרגימה	תַּרְגִּימָה	?
אבן שאין לה הופכין	אֶבֶן שֶׁאֵין לָהּ הוֹפְכִין	?
אור יקרות	אוֹר יְקָרוֹת	בטוח
חרב פיפיות	חֶרֶב פִּיפִיּוֹת	בטוח
לזות שפתיים	לְזוּת שְׂפָתַיִם	בטוח
סלע המחלוקת	סֶלַע הַמַּחֲלֹקֶת	בטוח
שידוד מערכות	שִׁדּוּד מַעֲרָכוֹת	בטוח
סרח עודף	סֶרַח עוֹדֵף	?
היינו הך	הַיְנוּ הָךְ	?
כיליון עיניים	כִּלְיוֹן עֵינַיִם	בטוח
לא יסולא בפז	לֹא יְסֻלָּא בְּפָז	בטוח
קל רגליים	קַל רַגְלַיִם	בטוח
שעת כושר	שְׁעַת כֹּשֶׁר	בטוח
עיר פרזות	עִיר פְּרָזוֹת	בטוח
נחל איתן	נַחַל אֵיתָן	בטוח
קירח מכאן ומכאן	קֵרֵחַ מִכָּאן וּמִכָּאן	בטוח
שוקת שבורה	שֹׁקֶת שְׁבוּרָה	בטוח
עלה על שרטון	עָלָה עַל שִׁרְטוֹן	בטוח
לבטים	לְבָטִים	בטוח
לצמיתות	לִצְמִיתוּת	בטוח
גרידא	גְּרֵידָא	?
בר מינן	בַּר מִנַּן	?
כדבעי	כִּדְבָעֵי	?
אתרע מזלו	אִתְרַע מַזָּלוֹ	?
בוקי סריקי	בּוּקֵי סְרוּקֵי	?
בריש גלי	בְּרֵישׁ גַּלֵּי	?
אליבא ד	אַלִּיבָּא דְּ	?
שור	שׁוּר	בטוח
טס	טַס	בטוח
זוג	זוֹג	?
חלב	חֵלֶב	בטוח
גבר	גֶּבֶר	בטוח
מסה	מַסָּה	בטוח
כרוב	כְּרוּב	בטוח
יובל	יוֹבֵל	בטוח
ענק	עֲנָק	בטוח
אחשדרפן	אֲחַשְׁדַּרְפָּן	?
אחלמה	אַחְלָמָה	בטוח
מורסה	מוּרְסָה	בטוח
רחת	רַחַת	בטוח
סודר	סוּדָר	בטוח
קבה	קֵבָה	בטוח
אפדן	אַפַּדְן	?
כליב	כְּלִיב	?
