יְקִיצָה	נפסל	שם הפעולה הישיר של "הקיץ" (התעורר משנתו) — מי שיודע את הפועל מקבל את שם הפעולה בלי שום צעד נוסף.
כְּסָיָה	חריג	"כסות" היא בגד בכלל, מושג מופשט של לבוש; "כסיה" היא כפפה — פריט קונקרטי ליד. מהשורש אפשר לנחש "כיסוי", לא "כפפה", ולכן זו מילה שצריך ללמוד בנפרד.
לֵאוּת	נפסל	שם הפעולה המדויק של התואר "לאה" (מותש) — אותה משמעות בדיוק, רק בצורת שם עצם.
לַהֲגָן	נפסל	צורת בעל-התכונה של "להג" (פטפוט ריק) בסיומת -ן. מי שיודע מהו להג מנחש מיד מיהו להגן.
נָהִיר	נפסל	המעבר מ"נהרה" (אור בהיר) ל"נהיר" (ברור ומובן) הוא המטפורה השקופה הרגילה בעברית בין אור לבהירות, בדיוק כמו בהיר/מואר.
נִכּוּשׁ	חריג	"הכיש" הוא נשיכת ארס של נחש; "ניכוש" הוא עקירת עשבים מן האדמה. חקלאות מול הכשת נחש — אין שום גשר משמעות בין השניים.
עִרְטֵל	נפסל	אותו פועל בבניין אחר מ"התערטל" — פיעל מול התפעל, חשיפת אחר מול חשיפת עצמו. מי שיודע אחד מבין את השני.
בַּר-מִינָן	נפסל	כפילות ממש של הערך הקיים "בר מינן" — אותה מילה, מקף במקום רווח.
פָּדָה	נפסל	"פדות" היא גאולה ושחרור, ו"פדה" הוא בדיוק הפועל שממנו היא נגזרת — אותה משמעות בשתי צורות.
שִׁיסּוּי	נפסל	שם הפעולה הישיר של "שיסה" — אותה פעולה בדיוק בצורת שם עצם.
בְּרִיּוֹת	חריג	הערך הקיים "ברא" נרשם במשמעות הנדירה של גדיעת עצים ופינוי שטח מיער; "בריות" הן יצורים חיים ובני אדם. מי שלמד "ברא = גדע עצים" לא מקבל מזה שום רמז ליצורים.
יְלוּדָה	חריג	"תולדה" היא תוצאה או השלכה — מושג לוגי-סיבתי מופשט; "ילודה" היא נתון דמוגרפי, מספר התינוקות שנולדו. הידיעה שתולדה היא תוצאה לא מובילה למדד לידות.
כָּלִיל	חריג	"שכלל" הוא לשפר ולהשביח — פעולה על אובייקט; "כליל" הוא תואר הפועל "לגמרי, עד תום". מי שיודע שכלל=שיפר לא מסיק ממנו את משמעות ההשלמה המוחלטת.
קִידָּה	נפסל	הערך הקיים "קד" כבר כולל את הצירוף "קד קידה" בדוגמה שלו — אותה פעולה ממש, פועל ושם הפעולה שלו.
אִיכּוּל	חריג	"מאכלת" היא סכין שחיטה — כלי; "איכול" הוא הרס מתכת מחמצון או בעירה — תהליך כימי. מי שיודע מהי מאכלת לא מגיע מזה לקורוזיה.
גֵּאוּת	נפסל	שם הפעולה של "גאה" (עלה והתרומם), והדוגמה בערך הקיים היא "הנהר גאה" — בדיוק תמונת עליית המפלס.
הִתְוַדֵּעַ	חריג	"דעתן" הוא מי שנחרץ בהשקפותיו ומביע אותן בתקיפות — תכונת אופי; "התוודע" הוא להכיר מישהו או משהו לראשונה — פעולה של יצירת היכרות. שני שימושים רחוקים של השורש בלי גשר ביניהם.
כִּיסוּפִים	נפסל	שם הפעולה של "נכסף" (השתוקק, התגעגע) — אותה משמעות בדיוק בצורת שם עצם.
מַטָף	חריג	"נטף" הוא טפטוף איטי של נוזל; "מטף" הוא מכשיר נייד לכיבוי אש. מי שיודע נטף=טפטף לא מנחש מזה שם של אמצעי בטיחות.
פִּדְיוֹן	חריג	"פדות" היא גאולה ושחרור בהקשר של הצלה; ל"פדיון" יש מובן מסחרי שגור — מחזור ההכנסות של חנות או עסק — שאין שום דרך להסיק אותו מ"גאולה ושחרור".
פְּתִית	נפסל	"פת" היא חתיכת לחם קטנה, ו"פתית" היא בדיוק צורת ההקטנה שלה — רסיס זעיר. מי שיודע פת מנחש פתית בלי מאמץ.
תֵּל	נפסל	"תלולית" היא ערימת עפר קטנה, ו"תל" הוא אותה ערמה בגדול — הפירוש עצמו מסתיים ב"ערמה". זוג של מילה וצורת ההקטנה שלה.
תַּסְכִּית	חריג	"הסכית" הוא להאזין בריכוז — פעולת שמיעה; "תסכית" הוא ז'אנר, מחזה שנכתב במיוחד לרדיו. הידיעה שהסכית=האזין לא נותנת סוגה אמנותית.
