w1410	עכבר	-	-
w2790	למחוא כפיים	להריע	-
w0490	מעצב	-	-
w2624	מוצב	מאחז	-
w2420	השוואה	-	-
w2979	כמו כן	גם כן	-
w1587	להתאים	להסתגל	לעבד
w2802	מועיל	מיטיב	-
w1200	אנלוגי	מקבילה	-
w0381	למה	מדוע	-
w0267	מהיר	זריז	-
w2710	ניצוץ	לעורר	להצית
w2521	לחלץ	תמצית	קטע
w2110	שוויון	-	-
w1268	עותק	להעתיק	-
w1233	פרפר	-	-
w2735	סובלנות	סבילות	-
w1758	להרשים	-	-
w0291	סוד	סודי	-
w2019	גרגר	פרי יער	-
w1977	היעדרות	העדר	-
w3338	קודר	עגום	-
w3885	שלבקת חוגרת	רעף	-
w0974	מרשים	-	-
w3833	מצוקה	מצב קשה	-
w3183	הרדמה	-	-
w3813	לכהן	לערוך טקס	-
w1619	ליד	לצד	-
w1269	קוסמופוליטי	-	-
w1593	מטרה	לשאוף	לכוון
w3630	רכיב	בוחר	-
w0629	רשת	ליצור קשרים	-
w1362	הר קרח	-	-
w1802	ים תיכוני	-	-
w0424	כמו גם	וגם	-
w1541	להפוך	לשנות	-
w1617	בס	דג בס	-
w2669	בכל זאת	ללא קשר	-
w0433	אמבטיה	רחצה	-
w2152	קשה	חמור	-
w3634	כתב	-	-
w2545	הדרכה	הכוונה	-
w3490	ניקוד	תוצאה	לקלוע
w3662	לתכנן	להמציא	-
w1579	יער	-	-
w3700	לנבוע	-	-
w1834	משורר	-	-
w3247	סותר	-	-
w2920	קרחון	-	-
w1945	מעבר	לעבור	-
w1838	בצורה גרועה	-	-
w3564	מוכשר	מיומן	-
w2938	לחרוף	-	-
w1995	כנראה	לכאורה	-
w2905	עובר	-	-
w2048	בן לוויה	מלווה	-
w1613	אופה	-	-
w3458	בתנאי ש	-	-
w3591	זוועה	-	-
w0347	תיאוריה	-	-
w3327	מחבב	-	-
w2565	דחף	-	-
w1188	בנוסף	-	-
w1707	להעסיק	להשתמש	-
w1071	להעניש	-	-
w1417	אגוז	מטורף	-
w1057	קודם	-	-
w2559	להמחיש	לאייר	-
w0449	לדאוג	טיפול	לטפל
w1775	מעורר השראה	-	-
w2944	להשפיל	-	-
w2159	לא מוסרי	-	-
w2845	חיוני	קריטי	-
w3668	פער	אי התאמה	-
w2991	בגרות	-	-
w3844	לנהל	לכהן	-
w1477	תחליף	מחליף	-
w0593	אחרון	להימשך	-
w3139	מהומה	אי שקט	-
w1666	להמיר	מומר	-
w3189	למנות	-	-
w3635	לחמוד	-	-
w0831	לבנות	חטוב	-
w1920	ליישר	להזדקף	-
w0752	מותחן	-	-
w0931	כספי	פיננסי	-
w3652	לרדת בערך	להיפחת	-
w2967	שלם	ללא פגע	-
w1779	פנימי	-	-
w0475	בן דוד	-	-
w0252	כוכב לכת	פלנטה	-
w2646	לקדם	לפרסם	-
w0263	בעיה	-	-
w1074	רבע	רובע	-
w0457	זול	-	-
w3798	אינספור	-	-
w2700	הסעה	מעבורת	-
w1889	מלח	-	-
w1175	ערך	להעריך	-
w3381	ציון דרך	-	-
w1364	חשיבות	-	-
w1284	נואש	-	-
w0145	תקווה	לקוות	-
w3715	מושאל	ציורי	-
w3056	חקירה	לחקור	-
w3674	לנתח	-	-
w0920	פעילות גופנית	להתאמן	תרגיל
w1870	מוניטין	-	-
w1403	נס	-	-
w0349	אלף	-	-
w0610	מפה	למפות	-
w1183	חתונה	-	-
w0816	בנק	גדה	-
w0871	תרבות	-	-
w1650	עמוד	טור	-
w3333	בגד	-	-
w1169	לא הוגן	-	-
w0746	חרב	-	-
w3927	לא ממופה	-	-
w1690	לצאת	לעזוב	-
w1094	להציל	הצלה	-
w1574	של מי	-	-
w0882	לתאר	-	-
w3272	לציין	לסמן	-
w1860	מתכון	-	-
w1521	באופן מפתיע	-	-
w2075	מסור	להקדיש	-
w1586	להפעיל	-	-
w3694	לצרף	להקיף	-
w2572	תובנה	-	-
w0659	פוביה	-	-
w2437	רציף	-	-
w1603	ספורטאי	-	-
w0730	ספונטני	-	-
w0609	מניפולציה	תמרון	-
w2441	חוט	כבל	-
w3400	לגייס	-	-
w3484	מכרסם	-	-
w0366	לבקר	ביקור	-
w2121	להתעלף	קלוש	-
w0122	קדימה	חלוץ	-
w3415	לחייב	לעשות טובה	-
w2483	לרוקן	נקז	-
w0503	תרופה	סם	-
w0994	ברך	-	-
w2941	הכנסת אורחים	-	-
w2956	אגב	-	-
w1982	הסתגלות	עיבוד	-
w0853	נוח	-	-
w1651	נוחות	נחמה	לנחם
