עוֹמֵד בְּעֵינוֹ	נשאר בתוקף, לא השתנה	נכתב	ויקימילון	ניב — נוסח מהמשמעות, לא מהתמונה
עַל אַפּוֹ וְעַל חֲמָתוֹ	בניגוד לרצונו, למרות התנגדותו	נכתב	ויקימילון	ניב
עָנֹג	עדין ומפונק, שאינו מורגל בקושי	נכתב	ויקימילון	הומוגרף: תואר בלבד (לא עִנֵּג ולא עֹנֶג)
פִּיֵּס	הרגיע את הכועס והשלים עמו	נכתב	ויקימילון	הומוגרף: הפועל בלבד (לא פַּיִס)
פִּלְבֵּל	הניע את עיניו לצדדים	נכתב	מילוג	⚑ אומת במילוג: "הזיז מצד לצד"; הקולוקציה השכיחה — בעיניו
פָּסַע	צעד, התקדם בהליכה	נכתב	ויקימילון
פְּרִיטָה	נגינה באצבעות על מיתרים; המרת שטר לכסף קטן	נכתב	מילוג	⚠ צדק: התאמת ויקימילון (פרוטה) היא מילה אחרת — נפסלה; נכתב לפי מילוג
פָּשַׁט יָד	ביקש נדבה, קיבץ נדבות	נכתב	ויקימילון+מילוג	⚠ אין ערך לפועל; אומת דרך "פושט יד" (קבצן) בשני המקורות
צָרוּת עַיִן	קנאה בטובת הזולת	נכתב	ויקימילון
קַו פָּרָשַׁת הַמַּיִם	גבול בין אגני היקוות	נכתב	ויקימילון+מילוג	משמעות מושאלת (נקודת מפנה) לא נמצאה באף מקור — הושמטה
קוֹלָר	רצועת צוואר לכלב או לאסיר; אשמה (תלה בו את הקולר)	נכתב	ויקימילון	הומוגרף: קוֹלָר ולא קוּלֶר (מתקן מים)
קָצְרָה יָדוֹ מֵהוֹשִׁיעַ	לא היה בכוחו לעזור	נכתב	מילוג	⚑ אומת במילוג תחת "קצרה ידו"
רַךְ לֵבָב	מוג לב, חסר אומץ	נכתב	מילוג	⚑ אומת במילוג: "נרתע מסיכונים, פחדן, מוג לב"
שָׁטַח תַּחֲנוּנָיו	התחנן, ביקש רחמים בהפצרה	נכתב	מילוג	⚑ אין ערך ישיר; הורכב מ"שטח" (פרש, הציג — "שטח את טענותיו") + "תחנונים"
שָׁנוּי בְּמַחֲלֹקֶת	מעורר ויכוח, לא מוסכם על הכול	נכתב	ויקימילון	נמנעתי מ"חלוקות" (מעגליות מול מחלוקת)
שִׁנֵּס	אסף את כוחותיו לקראת מאמץ (שינס מותניו)	נכתב	ויקימילון
שִׁנֵּעַ	הוביל מטענים אל יעדם	נכתב	מילוג	⚑ אומת במילוג: "העביר ממקום למקום"
תְּבוּסְתָנוּת	גישה של כניעה וייאוש מראש	נכתב	מילוג	⚑ מילוג נותן רק defeatism + דוגמאות; נמנעתי מ"תבוסה" (מעגליות)
תָּחַם	סימן גבול, הגביל שטח	נכתב	ויקימילון	נמנעתי מ"תחום" (מעגליות)
הִלְשִׁין	מסר מידע מפליל על אחר	נכתב	ויקימילון
