w1295	בגלל	עקב	-
w2522	נאמן	מדויק	-
w0585	מיץ	-	-
w3703	לעורר	להזכיר	-
w3323	טיסה	בריחה	-
w0074	עסקה	לטפל	-
w0056	ילד	-	-
w0569	תחביב	-	-
w3433	לצנוח	לצלול	-
w1901	מבריק	נוצץ	-
w3407	לשלול	לבטל	-
w3194	מערך	מבחר	-
w1429	מסיבה	מפלגה	צד
w1009	חומר	בד	מהותי
w2278	כמות	-	-
w3763	עבירה	הפרה	-
w3152	שכר	לנהל	-
w1814	לצפות	לשמור	להעיר
w0323	תחנה	-	-
w2486	דו-קרב	-	-
w1635	תא	בקתה	-
w2445	אמיץ	-	-
w0690	סיכון	לסכן	-
w0063	צבע	לצבוע	-
w0711	שקט	דומם	-
w1558	וריאציה	שינוי	-
w2251	מסוים	בררן	-
w0922	לצפות	-	-
w3636	לקרקר	למות	-
w2687	תיקון	עדכון	-
w1448	לספק	לפרנס	-
w3751	נטיף קרח	-	-
w2200	לובי	לשדל	-
w2386	עוגן	לעגון	קריין
w3050	להחזיק	לאחוז	-
w2430	מודע	בהכרה	-
w0299	צד	לצדד	-
w3360	לשלב	להתאגד	-
w2009	להשתתף	לטפל	-
w3742	ברד	להלל	-
w1194	חברת תעופה	-	-
w1380	נושא	בעיה	להנפיק
w1015	מסך	לנטר	-
w1658	שמרן	זהיר	-
w1003	שפה	-	-
w3481	ללעוג	לעג	-
w0143	כבד	-	-
w2825	לציית	לקיים	-
w2301	רגישות	-	-
w3669	בוז	לבוז	-
w2785	שגריר	-	-
w0053	סיכוי	הזדמנות	-
w2036	לסווג	-	-
w2365	געשי	-	-
w3408	רשלני	-	-
w2843	אמינות	-	-
w3536	חסר תקדים	יוצא דופן	-
w0657	פילוסופי	-	-
w1986	לפרסם	-	-
w1912	יציב	אורווה	-
w0272	קשר	-	-
w2519	חיצוני	חזית	-
w0192	מכונה	-	-
w2435	לצרוך	לכלות	-
w1815	לפגוע	להעליב	-
w2708	מדרון	שיפוע	-
w1161	להעביר	העברה	-
w3266	לדחות	להישמע	-
w0177	גדול	-	-
w0622	שריר	-	-
w0777	ניצחון	-	-
w3816	כל-יודע	-	-
w0736	סערה	להסתער	-
w2800	בקושי	-	-
w2539	בהדרגה	-	-
w3008	אבל	להתאבל	-
w3362	ילידי	מקומי	-
w0346	אז	-	-
w1589	ממשל	ניהול	-
w2587	כשם ש... כך	-	-
w0281	טבעת	לצלצל	-
w3322	להחמיא	-	-
w0380	מי	-	-
w2869	להיפטר	-	-
w0377	מתי	כאשר	-
w1415	לא... אלא	-	-
w2359	לכלות	-	-
w2029	קצר	לתדרך	-
w2003	זרוע	לחמש	-
w0660	תצלום	לצלם	-
w1199	כמות	להסתכם	-
w3633	לול	-	-
w3265	להסיק	-	-
w0774	חופשה	לנפוש	-
w2727	סקר	לסקור	-
w1045	חתיכה	יצירה	-
w2293	לפרוש	-	-
w2652	בכוונה	-	-
w0873	סקרן	מוזר	-
w0770	לא בטוח	מסוכן	-
w1222	להתחנן	לקבץ נדבות	-
w1786	חוסר	לחסר	-
w2174	חדשני	-	-
w3180	בתוך	באמצע	-
w0372	לצפות	שעון	להשגיח
w3303	שגוי	מוטעה	-
w0895	להציג	תצוגה	-
w0956	חום	לחמם	-
w2830	שימור	-	-
w0230	רק	יחיד	-
w3753	להעביר	להעניק	-
w0160	בלתי אפשרי	-	-
w2713	לייצב	-	-
w3858	הרגעה	-	-
w0846	סיגריה	-	-
w2740	ניצחון	לנצח	-
w0309	איטי	להאט	-
w2038	להתנגש	התנגשות	-
w2383	לצד	-	-
w3190	כראוי	-	-
w0205	כסף	-	-
w1310	ובכל זאת	-	-
w2156	לאשפז	-	-
w1829	דפוס	תבנית	-
w0767	ייחודי	-	-
w0446	כבל	-	-
w2517	מפורש	-	-
w2167	מכיל	כוללני	-
w3837	רב אוכלוסין	-	-
w0089	אדמה	כדור הארץ	-
w1366	בנוסף	-	-
w1708	מעסיק	-	-
w3083	מאגר	-	-
w0339	קבוצה	-	-
w1964	חיוני	-	-
w1423	לארגן	-	-
w1249	כיתה	מעמד	סוג
w2181	ממציא	-	-
w1013	צבאי	צבא	-
w1542	לתרגם	-	-
w3123	תוסף	להשלים	-
w3373	להתערב	-	-
w0724	לדבר	לנאום	-
w1289	תגלית	-	-
w0383	אישה	רעיה	-
w1485	להרוס	חורבה	-
w2829	כובש	קונקיסטדור	-
w0917	חוץ מ	פרט ל	-
w3897	לפלוט	להקיא	-
w1841	מעשי	-	-
