w3918	זמני	ניסיוני	מהוסס
w1134	קיבה	בטן	לסבול
w0796	לפי	על פי	בהתאם ל
w3680	אלוהות	אל	תיאולוגיה
w2176	להתעקש	לדרוש	-
w0250	תוכנית	לתכנן	-
w1383	שכבה	-	-
w3254	מקבילה	עמית	-
w1062	תהליך	לעבד	-
w0894	מחלה	-	-
w1303	קיסר	-	-
w2579	פרשנות	פירוש	-
w2885	להגר	-	-
w1768	אינסופי	-	-
w3706	לזרז	להאיץ	-
w0832	סרטן	-	-
w0681	רלוונטי	-	-
w0103	ליפול	סתיו	נפילה
w3901	בסיסי	סיכת שדכן	לשדך
w1615	איסור	לאסור	-
w1129	רוח	אלכוהול	מורל
w2530	שוטף	-	-
w0098	תירוץ	לסלוח	-
w1825	פנקס	רפידה	לרפד
w3825	לכתוב	לכלוא	-
w3806	מטרד	-	-
w0067	שליטה	לשלוט	בקרה
w3103	מחסור	-	-
w0948	עדין	-	-
w1622	למזג	תערובת	-
w3279	להפלות	להבחין	-
w1969	עשיר	-	-
w0463	שעון	-	-
w0303	זמר	-	-
w1682	להביס	תבוסה	-
w1714	למחוק	-	-
w1893	פסל	-	-
w0013	גם	-	-
w2133	לנסח	-	-
w0591	שפה	-	-
w1385	מנהיגות	-	-
w0005	על	בערך	-
w3010	ימי	-	-
w3369	לברר	לשאול	-
w2331	לטאטא	לגרוף	-
w0626	צוואר	-	-
w3419	לכוון	מזרח	-
w2299	קנה מידה	מאזניים	לטפס
w1934	חשדן	חשוד	-
w1237	קמפיין	מסע	-
w0240	עבר	קודם	ליד
w0045	בניין	-	-
w3351	אנאלפבית	-	-
w3538	מרד	-	-
w2789	משיכה	לפנות	לערער
w3878	סרקופג	ארון קבורה	-
w3211	הטיה	משוא פנים	-
w1981	ממשי	אמיתי	-
w0696	חבל	-	-
w3285	שיבוש	-	-
w3127	נטייה	-	-
w0737	אסטרטגיה	-	-
w2221	נזיר	-	-
w1229	לנשום	-	-
w3862	לפייס	להשלים עם	-
w3513	לשאוף	-	-
w1338	מזלג	הסתעפות	-
w2384	לגמרי	בסך הכל	-
w3001	ללעוג	מדומה	-
w3440	קדרות	-	-
w2992	למכן	-	-
w1479	להשיב	תשובה	-
w3712	אופנה חולפת	טרנד	-
w1767	זיהום	הדבקה	-
w2835	סתירה	-	-
w3217	עונש מוות	-	-
w0496	ישיר	לכוון	לביים
w0674	שאלה	לפקפק	לחקור
w2950	לרמוז	-	-
w1420	מצד אחד... מצד שני	-	-
w3917	מוחשי	-	-
w2175	להכניס	-	-
w1954	בניגוד ל	שונה	-
w1952	לזלזל	-	-
w2890	חובב	-	-
w0682	להסיר	-	-
w1493	בררני	סלקטיבי	-
w3683	לצייר	למשוך	תיקו
w1397	חבר	בן זוג	להזדווג
w2199	מילולי	-	-
w1333	יוצר קולנוע	במאי	-
w2381	ייסורים	סבל	-
w2575	מכוון	-	-
w2883	לחבק	לאמץ	-
w3053	להניח	-	-
w2341	משפט	ניסוי	-
w0039	סירה	-	-
w1059	עדיפות	-	-
w0809	תשומת לב	-	-
w0436	יופי	-	-
w1944	פקק	פקק תנועה	-
w0193	לעשות	ליצור	-
w2218	מיעוט	-	-
w2224	סם	-	-
w2104	עצום	-	-
w1414	לא רק... אלא גם...	-	-
w0778	וירטואלי	-	-
w0290	לחפש	חיפוש	-
w2812	בקר	-	-
w1318	ציפייה	-	-
w3418	בדרך כלל	-	-
w0224	של	-	-
w3006	יתרה מזאת	בנוסף	-
w1070	משאבה	לשאוב	-
w2109	מעטפה	-	-
w0794	לקבל	-	-
w0124	מ	מן	-
w1486	להקריב	קורבן	-
w2373	נגיש	-	-
w2089	תריסר	-	-
w2877	אלוהי	לנחש	-
w0824	לנשוך	נשיכה	-
w1828	במיוחד	-	-
w1165	משאית	-	-
w3463	לאשרר	-	-
w3121	חיסור	-	-
w1275	לקלל	קללה	-
w0566	גיבור	-	-
w1176	אלימות	-	-
w2259	מגפה	להטריד	-
w0887	לפתח	-	-
w3051	דעה קדומה	-	-
w0276	מסעדה	-	-
w2427	להתעמת	-	-
w1723	לבטא	מהיר	-
w3457	משגשג	-	-
w2201	רמקול	-	-
w1610	ממוצע	-	-
w2080	מדבר	לנטוש	-
w1727	של הפנים	טיפול פנים	-
w1699	מנה	-	-
w0998	עורך דין	-	-
w2947	בור	-	-
w2492	סמל	-	-
w2480	הפרעה	-	-
w0319	להוציא	לבלות	-
w3134	תמליל	גיליון ציונים	-
w2095	לחנך	-	-
w0051	מזומן	-	-
w0064	חברה	פלוגה	-
