1: complicated, complex, difficult
2: cure, treat, heal
3: dangerous, treacherous, steep
4: extinct+decipher, forgotten+translate, unknown+interpret
5: answer, solve, grasp
6: rain, criticism, snow
7: abandon, revise, modify
8: desert, wasteland, wilderness
9: snowfall, truck, flood
10: maintain, improve, preserve
11: safe, calm, secure
12: impose, place, set
13: make, take, afford
14: cell, cells, space
15: resolve, settle, defuse
16: exercise, assignment, task
17: refuse, reject, decline
18: approve, grant, accept
19: reputation, brand, image
20: deserted+crowded, empty+packed, quiet+teeming
21: understand, grasp, reshape
22: flaw, defect, fault
23: verify+authenticity, authenticate+validity, examine+accuracy
24: incoherent, ridiculous, predictable
25: produce, achieve, replicate
26: funds, loan, money
27: survive, weather, outrun
28: sleep, breathe, recover
29: hereditary, genetic, inherited
30: ecosystem, river, valley
31: support, sponsor, fund
32: assessment, estimate, judgment
33: implement, execute, apply
34: integrity, credibility, motives
35: ceremony, ritual, custom
36: stimulate+boost, encourage+strengthen, boost+increase
37: break, betray, breach
38: examine, inspect, observe
39: thorough+unfounded, convincing+false, credible+baseless
40: soil, harvest, rainfall
