key	t
P672.עצוב	ת
P675.שמח	פ
P689.פרור	ש
P694.נסתר	ת
P694.נעלמ	ת
P695.בוסר	ש
P721.רוגז	ש
P723.שוקת	ש
P724.מדד	ש
P727.צרה	ש
P744.זקנ	ת
P766.שתה	פ
P783.הסתיר	פ
P796.זוממ	פ
P801.כעס	ש
P801.זעמ	ש
P801.רוגז	ש
P804.נבוכ	ת
P804.נכלמ	ת
P810.אבל	ש
P813.בטלנ	ש
P817.משא	ש
P820.מעט	א
P825.נאמנ	ת
P850.לבש	פ
P850.התכסה	פ
P852.נכספ	פ
P859.סופה	ש
P865.נאות	ת
P892.נסער	ת
P900.קדומ	ת
P902.פתח	ש
P904.שוחח	פ
P920.הגזמה	ש
P920.הפרזה	ש
P922.פסק	פ
P925.החליט	פ
P930.עני	ת
P931.נעל	פ
P932.שפכ	פ
P933.בטלנ	ש
P938.אימ	פ
P938.הרתיע	פ
P939.פרח	פ
P941.התבסמ	פ
P942.כפר	פ
P948.התחננ	פ
P955.מגש	ש
P959.חושש	פ
P972.זוהר	ש
P982.מתוכ	א
P994.חלול	ת
P996.התחרט	פ
P1002.פנה	פ
P1002.יצא	פ
P1002.פקד	פ
P1003.הפציר	פ
P1013.הלכ	פ
P1020.טוענ	ש
P1028.ספקנ	ש
P1031.מאס	פ
P1036.ראה	פ
P1044.עני	ת
P1047.שולי	ת
P1049.שלמ	ת
P1050.סיומ	ש
P1055.שקר	ש
P1056.שקר	ש
P1060.סגור	ת
P1060.עמוס	ת
P1062.בטנ	ש
P1073.פגמ	ש
P1081.התאחה	פ
P1081.נרפא	פ
P1082.מנע	פ
P1082.שלל	פ
P1082.אסר	פ
P1087.התקבל	פ
P1096.שולי	ת
P1106.צולע	ת
P1108.עני	ת
P1109.הרוס	ת
P1109.שוממ	ת
P1116.טיפש	ת
P1116.שוטה	ת
P1119.קשר	פ
P1119.כבל	פ
P1131.חולי	ש
P1136.עני	ת
P1142.מזג	פ
P1152.מימיה	ש
P1157.בור	ש
P1159.זרמ	פ
P1167.נוכל	ש
P1168.אחוז	ש
P1184.חושכ	ש
P1187.מזל	ש
P1188.מעט	א
P1189.צרה	ש
P1192.צולע	ת
P1194.מבוא	ש
P1203.טרחנ	ש
P1210.לעג	פ
P1210.השפיל	פ
P1216.פגמ	ש
P1221.התחלה	ש
P1225.שבר	פ
P1227.עני	ת
P1231.התחננ	פ
P1232.ראה	פ
P1232.שרפ	פ
P1232.צרב	פ
P1236.השחזה	ש
P1238.למד	פ
P1240.קרע	ש
P1241.צעד	ש
P1252.יבול	ש
P1257.ברק	ש
P1259.הפרעה	ש
P1268.סיומ	ש
P1272.מוקפ	ת
P1276.דרכ	ש
P1277.ברכ	ש
P1277.מנוע	ש
P1289.עלה	פ
P1302.שתק	פ
P1302.נאלמ	פ
P1302.דממ	פ
P1302.השתיק	פ
P1305.נפטר	פ
