⛔ עברו 2 מתוך 2 בשלב 2 · טרם עברו פאנל שלב 3 · אינם ממצאים לפי החוק המוצהר
מילה	פירוש היום	מובן להוסיף
about	ליד, בערך; אודות	על
absolutely	לחלוטין	בהחלט
against	כנגד, ממול	נגד
alone	לבד	בודד
answer	תשובה	לענות
architect	ארכיטקט	אדריכל
area	אזור, תחום	שטח
as well as	כמו גם	וגם
ask	לשאול	לבקש
attack	לתקוף, מתקפה	התקפה
authentic	מקורי, אותנטי	אמיתי
bath	אמבטיה, להתרחץ	רחצה
beach	חוף ים	חוף
begin/an/un	להתחיל / התחיל / התחיל	להתחיל
behind	מאחורי; ישבן	באיחור
better	טוב יותר	לשפר
break	לשבור	הפסקה
burn	לשרוף, להישרף	לבעור
call	לקרוא, להתקשר	שיחה
candy	ממתק	סוכריה
case	תיבה; מקרה, טיעון	תיק
catch, caught	לתפוס, תפס	להידבק
cause	מטרה; גורם, סיבה	לגרום
chance	סיכוי	הזדמנות
circle	להקיף בעיגול; מעגל	להקיף
code	קוד	לתכנת
cold	קר, התקררות	הצטננות
comic	קומי (מהמילה קומדיה)	קומיקס
connect	לחבר	להתחבר
contact	ליצור קשר, מגע	קשר
cool	לצנן, צונן	מגניב, קריר
copy	להעתיק	עותק
country	ארץ; כפר, אזור	מדינה
crash	להתנגש, התנגשות	להתרסק
crowd	קהל; להצטופף	המון
damage	נזק, לגרום נזק	להזיק
dance	לרקוד	ריקוד
darkness	חשיכה	חושך
depression	דיכאון	מיתון
design	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב
dictator	עריץ, דיקטטור	רודן
direction	כיוון	הכוונה
done	גמור, עשוי	מוכן
drastic	דרסטי	קיצוני
earlier	קודם לכן	מוקדם
echo	הד	להדהד
ecological	אקולוגי	סביבתי
energy	אנרגיה, כוח	מרץ
enter	נכנס	להיכנס
episode	פרק	אירוע
error	שגיאה	טעות
every day	כל יום	מדי יום
excellent	מצוין	נהדר
experience	ניסיון, לחוות	חוויה
feel	להרגיש	תחושה
feeling	הרגשה	רגש
fight, fought	להילחם, להיאבק; לריב	קרב
filter	פילטר, מסנן	לסנן
first of all	ראשית	קודם כל
flow	זרם	לזרום, זרימה
flower	פרח	לפרוח
fly	זבוב; לעוף	לטוס
for	מפני ש-; עבור	בשביל
forward	קדימה, לפנים	חלוץ
full	מלא, למלא	שבע
gift	מתנה	כישרון
government	ממשל	ממשלה
ground	בסיס, אדמה	קרקע
human	אנושי	אדם
in a moment	בעוד רגע	מיד, עוד רגע
in front of	בחזית של, מול	לפני
into	אל תוך	לתוך
joke	בדיחה	להתלוצץ
jump	לקפוץ	קפיצה
know, knew	לדעת, ידע	להכיר
late	מאוחר, לאחר	מנוח
later	מאוחר יותר	אחר כך
laugh	לצחוק	צחוק
left	שמאלה	שמאל, לעזוב
lie	לשקר, שֶקֶר	לשכב
like	כמו; לחבב, להעדיף	לאהוב
list	רשימה, להכין רשימה	לרשום
meeting	פגישה	ישיבה
message	הודעה	מסר
mistake	טעות	לטעות
mix	לערבב, ערבוב	תערובת
must	חייב, חובה, הכרח	צריך
near	קרוב	ליד
never	אף פעם	לעולם לא
often	לעיתים קרובות	תכופות
only	רק	יחיד
over	על, מעל; מחדש, שוב	נגמר
own	משלו; בעלות על משהו	להחזיק
pain	כאב, להכאיב	לכאוב
part	חלק	להיפרד
pay	לשלם	שכר
place	מקום, למקם	להניח
planet	כוכב לכת	פלנטה
pool	בריכה	מאגר
quick	זריז	מהיר
rain	גשם	לרדת גשם
relationship	מערכת יחסים	קשר
relax	להירגע	לנוח
ride	רכיבה, לרכוב	נסיעה
right	ימינה; זכות	ימין, נכון
ring	טבעת; זירה	לצלצל
road	דרך	כביש
run, ran	לרוץ, רץ	לנהל
safe	בטוח	כספת
short	קצר	נמוך
sir	אדון, תואר אצולה אנגלי	אדוני
snow	שלג	לרדת שלג
so that	כך ש-	כדי ש
soon	בהקדם, מוקדם	בקרוב
spend	לבזבז, לפזר; לבלות, להעביר	להוציא
stand	לעמוד	עמדה
start	להתחיל	התחלה
step	צעד, לצעוד	מדרגה
suddenly	לפתע	פתאום
surprise	הפתעה	להפתיע
sweet	מתוק, ממתק	חמוד
team	צוות	קבוצה
than	מ-	מאשר
thanks to	תודות ל-	הודות ל
that	ש-	ההוא
through	דרך, מבעד	באמצעות
ticket	כרטיס	דוח
time	זמן	פעם
too	גם; יותר מידי	מדי
turn	לפנות, סיבוב	תור
until	עד ש-	עד
until now	עד עתה	עד כה, עד עכשיו
usually	בדרך-כלל	לרוב
visit	לבקר	ביקור
voice	קול, להשמיע קול	להביע
wait	להמתין, המתנה	לחכות
wall	קיר	חומה
watch	להסתכל, להשגיח; שעון	לצפות
way	דרך	אופן
when	כאשר, כש-	מתי
why	מדוע	למה
without	מבלי, ללא	בלי
wonderful	נפלא	נהדר
writer	סופר	כותב
