מילה	פירוש היום	הפירוש החדש	הכרעה	נימוק
abide	לציית	לציית; לסבול	פאנל 3/3	פירוש צר מדי
abuse	התעללות, ניצול; להתעלל, לנצל	התעללות, ניצול; להתעלל, לנצל; שימוש לרעה	פאנל 3/3	פירוש צר מדי
acclaim	להריע, לשבח	שבח, להריע, לשבח	פאנל 3/3	מובן נפוץ חסר
adjust	להתרגל; לכוונן	להתאים, להתרגל; לכוונן	פאנל 3/3	פירוש שגוי
administration	מנהל	ממשל, מנהל; ניהול	פאנל 3/3	פירוש שגוי
affluence	שפע	עושר, שפע	פאנל 3/3	מובן נפוץ חסר
agitate	להסעיר, לזעזע, לעצבן	להסעיר, לזעזע, לעצבן; לנער	פאנל 3/3	פירוש צר מדי
airborne	נישא באוויר	נישא באוויר; באוויר	פאנל 3/3	פירוש שגוי
align	ליישר; להסתדר בשורה	ליישר; להסתדר בשורה; להתאים	פאנל 3/3	פירוש צר מדי
allow	להרשות	להרשות; לאפשר	פאנל 3/3	פירוש צר מדי
amid	בקרב, בין	בתוך, בקרב, בין	פאנל 3/3	פירוש שגוי
amount	כמות	כמות; להסתכם	פאנל 3/3	פירוש צר מדי
analog	אנלוגי (ההיפך מדיגיטלי)	אנלוגי (ההיפך מדיגיטלי); מקבילה	פאנל 3/3	פירוש צר מדי
anchor	עוגן	עוגן; קריין	פאנל 3/3	פירוש צר מדי
annoy	להציק	להרגיז, להציק	פאנל 3/3	פירוש שגוי
answer	תשובה	תשובה; לענות	פאנל 3/3	פירוש צר מדי
appreciation	הערכה	הערכה; תודה	פאנל 3/3	פירוש צר מדי
arise, arose	לקום, קם	לצוץ, לקום, קם	פאנל 3/3	מובן נפוץ חסר
arrange	לסדר	לסדר; לארגן	פאנל 3/3	פירוש צר מדי
as far as	לגבי, בכל הנוגע ל-	ככל ש, לגבי, בכל הנוגע ל-	פאנל 3/3	פירוש שגוי
ascertain	לוודא	לוודא; לברר	פאנל 3/3	פירוש צר מדי
ask	לשאול	לשאול; לבקש	פאנל 3/3	פירוש צר מדי
asset	נכס	נכס; יתרון	פאנל 3/3	פירוש צר מדי
associate	לקשר	לקשר; עמית	פאנל 3/3	פירוש צר מדי
association	אסוציאציה; איגוד	אסוציאציה; איגוד; קשר	פאנל 3/3	פירוש שגוי
attach	לחבר, לייחס	לצרף, לחבר, לייחס	פאנל 3/3	מובן נפוץ חסר
attraction	משיכה	משיכה; אטרקציה	פאנל 3/3	פירוש צר מדי
augment	להרחיב	להגדיל, להרחיב	פאנל 3/3	פירוש שגוי
authority	סמכות	סמכות; רשות	פאנל 3/3	פירוש צר מדי
backward	לאחור	לאחור; נחשל	פאנל 3/3	פירוש שגוי
bald	קרח	קירח, קרח	פאנל 3/3	פירוש שגוי
beat	מקצב; מכה, להכות	לנצח, מקצב; מכה, להכות	פאנל 3/3	מובן נפוץ חסר
beg	להתחנן	להתחנן; לקבץ נדבות	פאנל 3/3	פירוש צר מדי
bend	לכופף	לכופף; עיקול	פאנל 3/3	פירוש צר מדי
bent	כופף	כפוף, כופף	פאנל 3/3	פירוש שגוי
blame	להאשים	להאשים; אשמה	פאנל 3/3	פירוש צר מדי
bland	תפל	תפל; משעמם	פאנל 3/3	פירוש צר מדי
blow, blew	לנשוף, נשף; לפוצץ, פוצץ	לנשוף, נשף; לפוצץ, פוצץ; מכה	פאנל 3/3	פירוש צר מדי
bond	קשר	קשר; אג"ח	פאנל 3/3	פירוש צר מדי
boost	דחף, המריץ	להגביר, דחף, המריץ	פאנל 3/3	פירוש שגוי
break	לשבור	לשבור; הפסקה	פאנל 3/3	פירוש צר מדי
briefly	בקצרה	בקצרה; לזמן קצר	פאנל 3/3	פירוש צר מדי
broad	נרחב	רחב, נרחב; כללי	פאנל 3/3	פירוש שגוי
broadcast	לשדר	לשדר; שידור	פאנל 3/3	פירוש צר מדי
bully	בריון	בריון; להציק	פאנל 3/3	פירוש צר מדי
burden	עול	נטל, עול; להכביד	פאנל 3/3	מובן נפוץ חסר
cabin	בקתה	תא, בקתה	פאנל 3/3	מובן נפוץ חסר
call	לקרוא, להתקשר	לקרוא, להתקשר; שיחה	פאנל 3/3	פירוש צר מדי
canvass	לבדוק, לסקור	לגייס תמיכה, לבדוק, לסקור	פאנל 3/3	פירוש שגוי
capitalize	לנצל	לנצל; לכתוב ברישיות	פאנל 3/3	פירוש צר מדי
carry	לסחוב	לשאת, לסחוב	פאנל 3/3	מובן נפוץ חסר
cater	לספק	לספק קייטרינג, לספק	פאנל 3/3	פירוש שגוי
cause	מטרה; גורם, סיבה	לגרום, מטרה; גורם, סיבה	פאנל 3/3	מובן נפוץ חסר
cavity	חור	חלל, חור; עששת	פאנל 3/3	פירוש שגוי
cereal	דגני בוקר	דגן, דגני בוקר	פאנל 3/3	מובן נפוץ חסר
certify	להצהיר, לאשר	להצהיר, לאשר; להסמיך	פאנל 3/3	פירוש צר מדי
chance	סיכוי	סיכוי; הזדמנות	פאנל 3/3	פירוש צר מדי
characteristic	מאפיין	מאפיין; אופייני	פאנל 3/3	פירוש צר מדי
comic	קומי (מהמילה קומדיה)	קומי (מהמילה קומדיה); קומיקס	פאנל 3/3	פירוש צר מדי
communal	משותף, ציבורי	קהילתי, משותף, ציבורי	פאנל 3/3	מובן נפוץ חסר
complex	מסובך	מורכב, מסובך; מתחם	פאנל 3/3	פירוש שגוי
composed	רגוע, שלו, שולט בעצמו; הלחין, חיבר	רגוע, שלו, שולט בעצמו; הלחין, חיבר; מורכב	פאנל 3/3	פירוש צר מדי
comprise	לכלול	לכלול; להיות מורכב	פאנל 3/3	פירוש צר מדי
conclusion	מסקנה	מסקנה; סיום	פאנל 3/3	פירוש צר מדי
condone	לסלוח, למחול	להשלים עם, לסלוח, למחול	פאנל 3/3	מובן נפוץ חסר
confession	וידוי	הודאה, וידוי	פאנל 3/3	מובן נפוץ חסר
confident	בטוח בעצמו	בטוח בעצמו; בטוח	פאנל 3/3	פירוש צר מדי
conquer	לכבוש	לכבוש; להתגבר על	פאנל 3/3	פירוש צר מדי
conscious	מודע	מודע; בהכרה	פאנל 3/3	פירוש צר מדי
conserve	לשמר	לשמר; לחסוך	פאנל 3/3	פירוש צר מדי
consult	להתייעץ	להתייעץ; לעיין ב	פאנל 3/3	פירוש צר מדי
contain	להכיל, מכיל	להכיל, מכיל; לבלום	פאנל 3/3	פירוש צר מדי
continuous	מתמשך	רציף, מתמשך	פאנל 3/3	פירוש שגוי
cool	לצנן, צונן	קריר, לצנן, צונן; מגניב	פאנל 3/3	פירוש שגוי
copy	להעתיק	עותק, להעתיק	פאנל 3/3	מובן נפוץ חסר
correspondence	התכתבות	התכתבות; התאמה	פאנל 3/3	פירוש צר מדי
counsel	לייעץ, להדריך; פרקליט, יועץ	עצה, לייעץ, להדריך; פרקליט, יועץ; עורך דין	פאנל 3/3	מובן נפוץ חסר
cripple	להטיל מום	לשתק, להטיל מום; נכה	פאנל 3/3	פירוש שגוי
curious	סקרן	סקרן; מוזר	פאנל 3/3	פירוש צר מדי
daily	יומיומי	יומי, יומיומי; מדי יום	פאנל 3/3	פירוש שגוי
dairy	מחלבה	חלבי, מחלבה	פאנל 3/3	מובן נפוץ חסר
dampen	לדכא	להרטיב, לדכא; להחליש	פאנל 3/3	פירוש שגוי
dart	חץ	חץ; לזנק	פאנל 3/3	פירוש צר מדי
deaf	חרש	חירש, חרש	פאנל 3/3	פירוש שגוי
debate	ויכוח, דיון	ויכוח, דיון; להתווכח	פאנל 3/3	פירוש צר מדי
decay	ריקבון	להירקב, ריקבון	פאנל 3/3	מובן נפוץ חסר
deeply	מאוד, במידה רבה	עמוקות, מאוד, במידה רבה	פאנל 3/3	מובן נפוץ חסר
defer	לעכב, לדחות	לעכב, לדחות; להישמע	פאנל 3/3	פירוש צר מדי
deficiency	מחסור	מחסור; ליקוי	פאנל 3/3	פירוש צר מדי
deliberation	דיון	שיקול דעת, דיון	פאנל 3/3	מובן נפוץ חסר
delight	תענוג	תענוג; לשמח	פאנל 3/3	פירוש צר מדי
demand	לדרוש, דרישה	לדרוש, דרישה; ביקוש	פאנל 3/3	פירוש צר מדי
depression	דיכאון	דיכאון; מיתון	פאנל 3/3	פירוש צר מדי
derive	לשאוב, להפיק, לגזור מ-	לנבוע, לשאוב, להפיק, לגזור מ-	פאנל 3/3	מובן נפוץ חסר
design	תכנית, דוגמה, תרשים; לתכנן, לעצב	עיצוב, תכנית, דוגמה, תרשים; לתכנן, לעצב	פאנל 3/3	מובן נפוץ חסר
desirable	נחשק	רצוי, נחשק	פאנל 3/3	פירוש שגוי
despair	להתייאש	ייאוש, להתייאש	פאנל 3/3	מובן נפוץ חסר
determined	נחוש, נחרץ	נחוש, נחרץ; לקבוע	פאנל 3/3	פירוש צר מדי
differ	להיבדל, לחלוק	להיות שונה, להיבדל, לחלוק; לחלוק על	פאנל 3/3	פירוש שגוי
differences	חילוקי דעות	חילוקי דעות; שוני	פאנל 3/3	פירוש שגוי
dimension	מימד	ממד, מימד; היבט	פאנל 3/3	פירוש שגוי
diminish	לצמצם	לפחות, לצמצם	פאנל 3/3	פירוש שגוי
direction	כיוון	כיוון; הכוונה	פאנל 3/3	פירוש צר מדי
discourage	להרתיע, לשכנע שלא	לייאש, להרתיע, לשכנע שלא; להניא	פאנל 3/3	פירוש שגוי
disguise	תחפושת	תחפושת; להסוות	פאנל 3/3	פירוש צר מדי
dispatch	לשגר	לשלוח, לשגר; דיווח	פאנל 3/3	מובן נפוץ חסר
displacement	עקירה	עקירה; תזוזה	פאנל 3/3	פירוש צר מדי
disregard	להתעלם	להתעלם; זלזול	פאנל 3/3	פירוש צר מדי
dissection	חיתוך, ביתור	ניתוח, חיתוך, ביתור; נתיחה	פאנל 3/3	פירוש שגוי
dissolve	להתמוסס	להתמוסס; לפרק	פאנל 3/3	פירוש צר מדי
distinctive	מיוחד	ייחודי, מיוחד	פאנל 3/3	פירוש שגוי
distress	מצוקה	מצוקה; לצער	פאנל 3/3	פירוש צר מדי
distribute	להפיץ	להפיץ; לחלק	פאנל 3/3	פירוש צר מדי
distribution	הפצה	הפצה; חלוקה	פאנל 3/3	פירוש צר מדי
diverge	לסטות	להתפצל, לסטות	פאנל 3/3	מובן נפוץ חסר
downhill	מדרון, מורד	מדרון, מורד; מתדרדר	פאנל 3/3	פירוש שגוי
draw	תיקו, שוויון; לצייר	תיקו, שוויון; לצייר; למשוך	פאנל 3/3	פירוש צר מדי
draw (drew)	לשלוף, שלף	לצייר, לשלוף, שלף; למשוך	פאנל 3/3	פירוש שגוי
drift	זרם, סחף	לנדוד, זרם, סחף	פאנל 3/3	פירוש שגוי
dull	סתום; משעמם; עמום	סתום; משעמם; עמום; קהה	פאנל 3/3	פירוש צר מדי
dump	לשפוך	לזרוק, לשפוך; מזבלה	פאנל 3/3	פירוש שגוי
dwell	להתגורר	להתגורר; להתעכב	פאנל 3/3	פירוש שגוי
earlier	קודם לכן	מוקדם, קודם לכן	פאנל 3/3	פירוש שגוי
earn	להרוויח	להרוויח; לזכות ב	פאנל 3/3	פירוש צר מדי
echo	הד	הד; להדהד	פאנל 3/3	פירוש צר מדי
education	השכלה	חינוך, השכלה	פאנל 3/3	מובן נפוץ חסר
enclose	לצרף	לצרף; להקיף	פאנל 3/3	פירוש צר מדי
enclosing	לסגור, להקיף	לצרף, לסגור, להקיף	פאנל 3/3	מובן נפוץ חסר
engagement	התחייבות; אירוסין	מעורבות, התחייבות; אירוסין	פאנל 3/3	מובן נפוץ חסר
enhance	להעצים	לשפר, להעצים	פאנל 3/3	מובן נפוץ חסר
enlist	להתגייס	להתגייס; לגייס	פאנל 3/3	פירוש צר מדי
envision	לחזות, לצפות	לדמיין, לחזות, לצפות	פאנל 3/3	מובן נפוץ חסר
episode	פרק	פרק; אירוע	פאנל 3/3	פירוש צר מדי
erosion	סחף, כרסום	שחיקה, סחף, כרסום	פאנל 3/3	פירוש שגוי
establish	לייסד	לייסד; לבסס	פאנל 3/3	פירוש צר מדי
evolutionary	התפתחותי	אבולוציוני, התפתחותי	פאנל 3/3	פירוש שגוי
exclusive	בלעדי	בלעדי; יוקרתי	פאנל 3/3	פירוש צר מדי
exercise	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית, תרגיל; להתאמן; לממש, ליישם	פאנל 3/3	מובן נפוץ חסר
exile	להגלות, לגרש	גלות, להגלות, לגרש	פאנל 3/3	מובן נפוץ חסר
expand	להרחיב	להתרחב, להרחיב	פאנל 3/3	מובן נפוץ חסר
explosive	חומר נפץ	נפיץ, חומר נפץ	פאנל 3/3	מובן נפוץ חסר
expression	ביטוי	ביטוי; הבעה	פאנל 3/3	פירוש צר מדי
fabric	בד	בד; מרקם	פאנל 3/3	פירוש צר מדי
fabricate	לבדות	לבדות; לייצר	פאנל 3/3	פירוש צר מדי
fancy	מחבב; מגונדר	מפואר, מחבב; מגונדר; לחבב	פאנל 3/3	פירוש שגוי
farmer	חוואי	חקלאי, חוואי; איכר	פאנל 3/3	פירוש שגוי
fiction	בדיון, לא אמיתי	בדיון, לא אמיתי; ספרות בדיונית	פאנל 3/3	פירוש צר מדי
filter	פילטר, מסנן	פילטר, מסנן; לסנן	פאנל 3/3	פירוש צר מדי
flood	שיטפון	שיטפון; להציף	פאנל 3/3	פירוש צר מדי
flow	זרם	לזרום, זרם; זרימה	פאנל 3/3	פירוש שגוי
fluctuation	חוסר יציבות	תנודה, חוסר יציבות	פאנל 3/3	פירוש שגוי
foil	לסכל	לסכל; רדיד	פאנל 3/3	פירוש צר מדי
folk	עממי	עממי; אנשים	פאנל 3/3	פירוש צר מדי
folklore	פולקלור	פולקלור; מסורת עממית	פאנל 3/3	פירוש צר מדי
fork	מזלג	מזלג; הסתעפות	פאנל 3/3	פירוש צר מדי
form	צורה; ליצור, להקים	צורה; ליצור, להקים; טופס	פאנל 3/3	פירוש צר מדי
foundation	יסוד	יסוד; קרן	פאנל 3/3	פירוש צר מדי
fraction	שבר	שבר; חלק קטן	פאנל 3/3	פירוש צר מדי
fracture	שבר	שבר; לשבור	פאנל 3/3	פירוש צר מדי
freeze, froze	להקפיא, הקפיא	לקפוא, להקפיא, הקפיא	פאנל 3/3	מובן נפוץ חסר
front	חזית, להתעמת	חזית, להתעמת; קדמי	פאנל 3/3	פירוש צר מדי
fuel	דלק	דלק; לתדלק	פאנל 3/3	פירוש צר מדי
fulfill	להגשים	למלא, להגשים	פאנל 3/3	מובן נפוץ חסר
fume	אדים, עשן	לזעום, אדים, עשן	פאנל 3/3	פירוש שגוי
function	תפקוד, לתפקד	תפקיד, תפקוד, לתפקד	פאנל 3/3	מובן נפוץ חסר
furnish	לרהט	לרהט; לספק	פאנל 3/3	פירוש צר מדי
gain	להרוויח, לצבור, להוסיף	להשיג, להרוויח, לצבור, להוסיף; רווח	פאנל 3/3	פירוש שגוי
gather	אסף	להתאסף, אסף; לאסוף	פאנל 3/3	פירוש שגוי
gauge	למדוד, להעריך, מידה	מד, למדוד, להעריך, מידה	פאנל 3/3	מובן נפוץ חסר
generally	באופן כללי	בדרך כלל, באופן כללי	פאנל 3/3	פירוש שגוי
genuine	אמיתי, מקורי	אמיתי, מקורי; כן	פאנל 3/3	פירוש צר מדי
gift	מתנה	מתנה; כישרון	פאנל 3/3	פירוש צר מדי
glance	מבט חטוף	מבט חטוף; להעיף מבט	פאנל 3/3	פירוש שגוי
goal	מטרה	מטרה; שער	פאנל 3/3	פירוש צר מדי
golden	מוזהב	זהוב, מוזהב	פאנל 3/3	פירוש שגוי
graduate	לסיים לימודים	בוגר, לסיים לימודים	פאנל 3/3	מובן נפוץ חסר
granted (that)	בהנחה ש-, נתון ש-	אמנם, בהנחה ש-, נתון ש-	פאנל 3/3	פירוש שגוי
grocery	מכולת	מכולת; מצרכים	פאנל 3/3	פירוש צר מדי
guide	להדריך	מדריך, להדריך	פאנל 3/3	מובן נפוץ חסר
gym	אולם ספורט	חדר כושר, אולם ספורט	פאנל 3/3	פירוש שגוי
hall	מסדרון; היכל	אולם, מסדרון; היכל	פאנל 3/3	מובן נפוץ חסר
handle	להתמודד	לטפל, להתמודד; ידית	פאנל 3/3	פירוש שגוי
harness	לרתום	לרתום; רתמה	פאנל 3/3	פירוש צר מדי
harsh	נוקשה, אכזרי	קשה, נוקשה, אכזרי; חמור	פאנל 3/3	פירוש שגוי
hasty	מהיר, בהול	מהיר, בהול; פזיז	פאנל 3/3	פירוש שגוי
hegemony	הגמוניה	הגמוניה; שליטה	פאנל 3/3	פירוש צר מדי
herb	עשב	עשב תיבול, עשב	פאנל 3/3	פירוש שגוי
hike	הליכה, טיול	טיול רגלי, הליכה, טיול; העלאה	פאנל 3/3	פירוש שגוי
hold back	לעכב, למנוע	להתאפק, לעכב, למנוע	פאנל 3/3	מובן נפוץ חסר
honest	הגון	כן, הגון; ישר	פאנל 3/3	פירוש שגוי
horrific	איום	מזעזע, איום	פאנל 3/3	מובן נפוץ חסר
identify	לזהות	לזהות; להזדהות	פאנל 3/3	פירוש צר מדי
illuminate	להאיר	להאיר; להבהיר	פאנל 3/3	פירוש צר מדי
image	דמות, תמונה	דמות, תמונה; דימוי	פאנל 3/3	פירוש צר מדי
